# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00457.cm
# date:    Sat May 14 04:42:27 2016
# seed:    1463200947
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_mnt                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:37.95       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -85.7925     -85.7925      0.0000
  QRF01739_AGJC01000011.1        62     -84.8298     -84.8298      0.0000
  QRF01739_AP012205.1            62     -86.3912     -86.3912      0.0000
  QRF01739_AEPQ01000180.1        85     -76.5646     -76.5646      0.0000
  QRF01739_AACY023065314.1       57     -90.6083     -90.6083      0.0000
  QRF01739_AACY020081009.1       57     -90.6083     -90.6083      0.0000
  QRF01739_ACSK01000180.1        92     -75.9366     -75.9366      0.0000
  QRF01739_BA000039.2           113     -67.3178     -67.3178      0.0000
  QRF01739_AACY023081145.1       53     -96.5670     -96.5670      0.0000
  QRF01739_AFSR01000238.1        99     -73.7260     -73.7260      0.0000
  QRF01739_AGJC01000003.1        76     -79.2471     -79.2471      0.0000
  QRF01739_AFSR01000146.1        92     -75.1370     -75.1370      0.0000
  QRF01739_CACA01000349.1        84     -79.2179     -79.2179      0.0000
  QRF01739_AACY022751187.1       52     -92.9239     -92.9239      0.0000
  QRF01739_AACY022283709.1       52     -92.9239     -92.9239      0.0000
  QRF01739_ABPS01003770.1       123     -57.3291     -57.3291      0.0000
  QRF01739_AFEJ01000345.1        83     -67.5982     -67.5982      0.0000
  QRF00005_CABR01000029.1        73     -83.6617     -83.6617      0.0000
  QRF00005_AFSR01002788.1        74     -77.3425     -77.3425      0.0000
  QRF00005_CP000927.1            72     -83.2143     -83.2143      0.0000
  QRF00005_AY741371.1            72     -77.8844     -77.8844      0.0000
  QRF00005_AEGR01000006.1        73     -75.2730     -75.2730      0.0000
  QRF00005_CP001189.1            73     -79.1830     -79.1830      0.0000
  QRF00005_CP000493.1            72     -76.9533     -76.9533      0.0000
  QRF00005_AP012159.1            73     -79.1830     -79.1830      0.0000
  QRF00005_AM889285.1            73     -79.1830     -79.1830      0.0000
  QRF00005_AGFR01000003.1        73     -79.5621     -79.5621      0.0000
  QRF00005_AFCH01000046.1        73     -79.1830     -79.1830      0.0000
  QRF00005_ADTV01000009.1        73     -79.1830     -79.1830      0.0000
  QRF00005_ABCE01000025.1        73     -79.0277     -79.0277      0.0000
  QRF00005_HM565909.1            72     -80.2574     -80.2574      0.0000
  QRF00005_CAFG01000441.1        73     -74.1707     -74.1707      0.0000
  QRF00005_AACY020656879.1       72     -79.8256     -79.8256      0.0000
  QRF00005_CP001744.1            73     -80.2283     -80.2283      0.0000
  QRF00005_CP000880.1            73     -70.4897     -70.4897      0.0000
  QRF00005_CACD01000012.1        73     -70.4897     -70.4897      0.0000
  QRF00005_CACD01000012.1        73     -70.4897     -70.4897      0.0000
  QRF00005_CACD01000012.1        73     -70.4897     -70.4897      0.0000
  QRF00005_AM849034.1            74     -78.4387     -78.4387      0.0000
  QRF00005_AM711867.1            74     -78.4387     -78.4387      0.0000
  QRF00005_AEQT01000005.1        73     -70.4897     -70.4897      0.0000
  QRF00005_AEQT01000005.1        73     -70.4897     -70.4897      0.0000
  QRF00005_ACDJ01000003.1        73     -70.4897     -70.4897      0.0000
  QRF00005_ABWL02000007.1        73     -70.4897     -70.4897      0.0000
  QRF00005_Z71579.1              73     -80.6057     -80.6057      0.0000
  QRF00005_X53782.1              73     -80.6057     -80.6057      0.0000
  QRF00005_M19391.1              73     -80.6057     -80.6057      0.0000
  QRF00005_M15314.1              73     -80.6057     -80.6057      0.0000
  QRF00005_L42023.1              73     -80.6057     -80.6057      0.0000
  QRF00005_L42023.1              73     -80.6057     -80.6057      0.0000
  QRF00005_L42023.1              73     -80.6057     -80.6057      0.0000
  QRF00005_FQ670204.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ670204.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ670204.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ670178.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ670178.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ670178.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ670178.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ312006.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ312006.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ312006.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ312002.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ312002.1            73     -80.6057     -80.6057      0.0000
  QRF00005_FQ312002.1            73     -80.6057     -80.6057      0.0000
  QRF00005_EF196803.1            73     -80.6057     -80.6057      0.0000
  QRF00005_EF196803.1            73     -80.6057     -80.6057      0.0000
  QRF00005_CP003022.1            73     -80.6057     -80.6057      0.0000
  QRF00001_EU093378.1           119     -62.6463     -62.6463      0.0000
  QRF00001_AAAA02047827.1       119     -62.3264     -62.3264      0.0000
  QRF00001_AAAA02043281.1       119     -60.6870     -60.6870      0.0000
  QRF00001_EF064700.1           119     -64.9470     -65.8738      0.9268
  QRF00001_EF064692.1           119     -64.9470     -65.8738      0.9268
  QRF00001_EF064687.1           119     -64.9470     -65.8738      0.9268
  QRF00001_EF064680.1           119     -64.9470     -65.8738      0.9268
  QRF00001_EF064678.1           119     -64.9470     -65.8738      0.9268
  QRF00001_EF064556.1           119     -64.9470     -65.8738      0.9268
  QRF00001_AJ390135.1           119     -64.9470     -65.8738      0.9268
  QRF00001_HQ270965.1           119     -62.3264     -62.3264      0.0000
  QRF00001_GQ324770.1           119     -62.3264     -62.3264      0.0000
  QRF00001_FJ882503.1           119     -62.3264     -62.3264      0.0000
  QRF00001_AF550740.1           119     -62.3264     -62.3264      0.0000
  QRF00001_HQ270648.1           119     -62.7562     -62.7562      0.0000
  QRF00001_EU924818.1           119     -62.7562     -62.7562      0.0000
  QRF00001_EU093153.1           119     -62.7562     -62.7562      0.0000
  QRF00001_EF524209.1           119     -62.7562     -62.7562      0.0000
  QRF00001_AY316209.1           119     -62.7562     -62.7562      0.0000
  QRF00001_AY034674.1           119     -62.7562     -62.7562      0.0000
  QRF00001_AJ409525.1           119     -62.7562     -62.7562      0.0000
