# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00064.cm
# date:    Sat May 14 04:59:16 2016
# seed:    1463201956
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HgcG                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:01.64       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -117.1566    -117.1566      0.0000
  QRF01739_AGJC01000011.1        62    -118.6567    -118.6567      0.0000
  QRF01739_AP012205.1            62    -117.3432    -117.3432      0.0000
  QRF01739_AEPQ01000180.1        85    -102.6653    -102.6653      0.0000
  QRF01739_AACY023065314.1       57    -118.7823    -118.7823      0.0000
  QRF01739_AACY020081009.1       57    -118.7823    -118.7823      0.0000
  QRF01739_ACSK01000180.1        92    -101.6325    -101.6325      0.0000
  QRF01739_BA000039.2           113     -90.9674     -90.9674      0.0000
  QRF01739_AACY023081145.1       53    -126.6059    -126.6059      0.0000
  QRF01739_AFSR01000238.1        99     -94.2685     -94.2685      0.0000
  QRF01739_AGJC01000003.1        76    -108.8394    -108.8394      0.0000
  QRF01739_AFSR01000146.1        92    -102.8950    -102.8950      0.0000
  QRF01739_CACA01000349.1        84    -107.9193    -107.9193      0.0000
  QRF01739_AACY022751187.1       52    -126.1095    -126.1095      0.0000
  QRF01739_AACY022283709.1       52    -126.1095    -126.1095      0.0000
  QRF01739_ABPS01003770.1       123     -86.8787     -86.8787      0.0000
  QRF01739_AFEJ01000345.1        83    -109.8125    -109.8125      0.0000
  QRF00005_CABR01000029.1        73    -120.5761    -120.5761      0.0000
  QRF00005_AFSR01002788.1        74    -118.0098    -118.0098      0.0000
  QRF00005_CP000927.1            72    -121.2670    -121.2670      0.0000
  QRF00005_AY741371.1            72    -120.9173    -120.9173      0.0000
  QRF00005_AEGR01000006.1        73    -111.6140    -111.6140      0.0000
  QRF00005_CP001189.1            73    -122.8638    -122.8638      0.0000
  QRF00005_CP000493.1            72    -116.4026    -116.4026      0.0000
  QRF00005_AP012159.1            73    -122.8638    -122.8638      0.0000
  QRF00005_AM889285.1            73    -122.8638    -122.8638      0.0000
  QRF00005_AGFR01000003.1        73    -122.2405    -122.2405      0.0000
  QRF00005_AFCH01000046.1        73    -122.8638    -122.8638      0.0000
