# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01966.cm
# date:    Sat May 14 04:36:25 2016
# seed:    1463200585
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RMST_5                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:56.48       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -39.0897     -39.0897      0.0000
  QRF01739_AGJC01000011.1        62     -40.0525     -40.0525      0.0000
  QRF01739_AP012205.1            62     -42.2744     -42.2744      0.0000
  QRF01739_AEPQ01000180.1        85     -37.2723     -37.2723      0.0000
  QRF01739_AACY023065314.1       57     -47.5206     -47.5206      0.0000
  QRF01739_AACY020081009.1       57     -47.5206     -47.5206      0.0000
  QRF01739_ACSK01000180.1        92     -35.5156     -35.5156      0.0000
  QRF01739_BA000039.2           113     -38.0845     -38.0845      0.0000
  QRF01739_AACY023081145.1       53     -50.9841     -50.9841      0.0000
  QRF01739_AFSR01000238.1        99     -33.5605     -33.5605      0.0000
  QRF01739_AGJC01000003.1        76     -40.3416     -40.3416      0.0000
  QRF01739_AFSR01000146.1        92     -41.6103     -41.6103      0.0000
  QRF01739_CACA01000349.1        84     -43.8507     -43.8507      0.0000
  QRF01739_AACY022751187.1       52     -52.0996     -52.0996      0.0000
  QRF01739_AACY022283709.1       52     -52.0996     -52.0996      0.0000
  QRF01739_ABPS01003770.1       123     -32.5514     -32.5514      0.0000
  QRF01739_AFEJ01000345.1        83     -43.2458     -43.2458      0.0000
  QRF00005_CABR01000029.1        73     -48.1433     -48.1433      0.0000
  QRF00005_AFSR01002788.1        74     -46.1593     -46.1593      0.0000
  QRF00005_CP000927.1            72     -39.4355     -39.4355      0.0000
  QRF00005_AY741371.1            72     -41.5683     -41.5683      0.0000
  QRF00005_AEGR01000006.1        73     -42.3824     -42.3824      0.0000
  QRF00005_CP001189.1            73     -50.0699     -50.0699      0.0000
  QRF00005_CP000493.1            72     -46.3758     -46.3758      0.0000
  QRF00005_AP012159.1            73     -50.0699     -50.0699      0.0000
  QRF00005_AM889285.1            73     -50.0699     -50.0699      0.0000
  QRF00005_AGFR01000003.1        73     -46.1584     -46.1584      0.0000
  QRF00005_AFCH01000046.1        73     -50.0699     -50.0699      0.0000
  QRF00005_ADTV01000009.1        73     -50.0699     -50.0699      0.0000
  QRF00005_ABCE01000025.1        73     -42.8334     -42.8334      0.0000
  QRF00005_HM565909.1            72     -41.2626     -41.2626      0.0000
  QRF00005_CAFG01000441.1        73     -44.4042     -44.4042      0.0000
  QRF00005_AACY020656879.1       72     -37.0956     -37.0956      0.0000
  QRF00005_CP001744.1            73     -51.4928     -51.4928      0.0000
  QRF00005_CP000880.1            73     -44.9504     -44.9504      0.0000
  QRF00005_CACD01000012.1        73     -44.9504     -44.9504      0.0000
  QRF00005_CACD01000012.1        73     -44.9504     -44.9504      0.0000
  QRF00005_CACD01000012.1        73     -44.9504     -44.9504      0.0000
  QRF00005_AM849034.1            74     -36.9097     -36.9097      0.0000
  QRF00005_AM711867.1            74     -36.9097     -36.9097      0.0000
  QRF00005_AEQT01000005.1        73     -44.9504     -44.9504      0.0000
  QRF00005_AEQT01000005.1        73     -44.9504     -44.9504      0.0000
  QRF00005_ACDJ01000003.1        73     -44.9504     -44.9504      0.0000
  QRF00005_ABWL02000007.1        73     -44.9504     -44.9504      0.0000
