# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00186.cm
# date:    Fri May 13 21:52:04 2016
# seed:    1463176324
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SNORD101                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:22.18       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -13.3860     -13.3860      0.0000
  QRF01739_AGJC01000011.1        62     -13.6473     -13.6473      0.0000
  QRF01739_AP012205.1            62     -14.7716     -14.7716      0.0000
  QRF01739_AEPQ01000180.1        85     -15.5021     -15.5021      0.0000
  QRF01739_AACY023065314.1       57     -16.8017     -16.8017      0.0000
  QRF01739_AACY020081009.1       57     -16.8017     -16.8017      0.0000
  QRF01739_ACSK01000180.1        92     -19.4286     -19.4286      0.0000
  QRF01739_BA000039.2           113     -16.1534     -16.1534      0.0000
  QRF01739_AACY023081145.1       53     -18.8488     -18.8488      0.0000
  QRF01739_AFSR01000238.1        99     -18.9474     -18.9474      0.0000
  QRF01739_AGJC01000003.1        76     -19.3398     -19.3398      0.0000
  QRF01739_AFSR01000146.1        92     -22.3359     -22.3359      0.0000
  QRF01739_CACA01000349.1        84     -17.1194     -17.1194      0.0000
  QRF01739_AACY022751187.1       52     -14.5366     -14.5366      0.0000
  QRF01739_AACY022283709.1       52     -14.5366     -14.5366      0.0000
  QRF01739_ABPS01003770.1       123     -16.1689     -16.1689      0.0000
  QRF01739_AFEJ01000345.1        83     -12.8027     -12.8027      0.0000
  QRF00005_CABR01000029.1        73     -18.8889     -18.8889      0.0000
