# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01825.cm
# date:    Sat May 14 05:14:38 2016
# seed:    1463202878
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RUF21                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:04:16.00       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -320.2265    -320.2265      0.0000
  QRF01739_AGJC01000011.1        62    -312.8052    -312.8052      0.0000
  QRF01739_AP012205.1            62    -317.2938    -317.2938      0.0000
  QRF01739_AEPQ01000180.1        85    -299.2036    -299.2036      0.0000
  QRF01739_AACY023065314.1       57    -318.7220    -318.7220      0.0000
  QRF01739_AACY020081009.1       57    -318.7220    -318.7220      0.0000
  QRF01739_ACSK01000180.1        92    -296.3536    -296.3536      0.0000
  QRF01739_BA000039.2           113    -283.6714    -283.6714      0.0000
  QRF01739_AACY023081145.1       53    -324.8250    -324.8250      0.0000
  QRF01739_AFSR01000238.1        99    -297.5128    -297.5128      0.0000
  QRF01739_AGJC01000003.1        76    -308.5692    -308.5692      0.0000
  QRF01739_AFSR01000146.1        92    -305.0948    -305.0948      0.0000
  QRF01739_CACA01000349.1        84    -310.0174    -310.0174      0.0000
  QRF01739_AACY022751187.1       52    -327.5675    -327.5675      0.0000
  QRF01739_AACY022283709.1       52    -327.5675    -327.5675      0.0000
  QRF01739_ABPS01003770.1       123    -276.5914    -276.5914      0.0000
  QRF01739_AFEJ01000345.1        83    -316.1649    -316.1649      0.0000
  QRF00005_CABR01000029.1        73    -323.7396    -323.7396      0.0000
  QRF00005_AFSR01002788.1        74    -317.4209    -317.4209      0.0000
  QRF00005_CP000927.1            72    -323.8085    -323.8640      0.0556
  QRF00005_AY741371.1            72    -322.0272    -322.0272      0.0000
  QRF00005_AEGR01000006.1        73    -317.8514    -317.8514      0.0000
  QRF00005_CP001189.1            73    -321.2355    -321.2355      0.0000
  QRF00005_CP000493.1            72    -326.4061    -326.4061      0.0000
  QRF00005_AP012159.1            73    -321.2355    -321.2355      0.0000
  QRF00005_AM889285.1            73    -321.2355    -321.2355      0.0000
  QRF00005_AGFR01000003.1        73    -318.9775    -318.9775      0.0000
  QRF00005_AFCH01000046.1        73    -321.2355    -321.2355      0.0000
  QRF00005_ADTV01000009.1        73    -321.2355    -321.2355      0.0000
  QRF00005_ABCE01000025.1        73    -318.9718    -318.9718      0.0000
  QRF00005_HM565909.1            72    -317.8385    -317.8385      0.0000
  QRF00005_CAFG01000441.1        73    -317.5070    -317.5070      0.0000
  QRF00005_AACY020656879.1       72    -319.7821    -319.7821      0.0000
  QRF00005_CP001744.1            73    -319.5245    -319.5245      0.0000
  QRF00005_CP000880.1            73    -311.0211    -311.0211      0.0000
  QRF00005_CACD01000012.1        73    -311.0211    -311.0211      0.0000
  QRF00005_CACD01000012.1        73    -311.0211    -311.0211      0.0000
  QRF00005_CACD01000012.1        73    -311.0211    -311.0211      0.0000
  QRF00005_AM849034.1            74    -314.0520    -314.0520      0.0000
  QRF00005_AM711867.1            74    -314.0520    -314.0520      0.0000
  QRF00005_AEQT01000005.1        73    -311.0211    -311.0211      0.0000
  QRF00005_AEQT01000005.1        73    -311.0211    -311.0211      0.0000
  QRF00005_ACDJ01000003.1        73    -311.0211    -311.0211      0.0000
  QRF00005_ABWL02000007.1        73    -311.0211    -311.0211      0.0000
  QRF00005_Z71579.1              73    -315.9085    -315.9085      0.0000
  QRF00005_X53782.1              73    -315.9085    -315.9085      0.0000
  QRF00005_M19391.1              73    -315.9085    -315.9085      0.0000
  QRF00005_M15314.1              73    -315.9085    -315.9085      0.0000
  QRF00005_L42023.1              73    -315.9085    -315.9085      0.0000
  QRF00005_L42023.1              73    -315.9085    -315.9085      0.0000
  QRF00005_L42023.1              73    -315.9085    -315.9085      0.0000
  QRF00005_FQ670204.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ670204.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ670204.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ670178.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ670178.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ670178.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ670178.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ312006.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ312006.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ312006.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ312002.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ312002.1            73    -315.9085    -315.9085      0.0000
  QRF00005_FQ312002.1            73    -315.9085    -315.9085      0.0000
  QRF00005_EF196803.1            73    -315.9085    -315.9085      0.0000
  QRF00005_EF196803.1            73    -315.9085    -315.9085      0.0000
  QRF00005_CP003022.1            73    -315.9085    -315.9085      0.0000
