# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01107.cm
# date:    Sat May 14 03:56:46 2016
# seed:    1463198206
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SBRMV1_UPD-PKf             search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:05.62       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -4.4521      -4.4521      0.0000
  QRF01739_AGJC01000011.1        62      -5.2860      -5.2860      0.0000
  QRF01739_AP012205.1            62      -4.7678      -4.7678      0.0000
  QRF01739_AEPQ01000180.1        85      -5.7044      -5.7044      0.0000
  QRF01739_AACY023065314.1       57      -8.6543      -8.6543      0.0000
  QRF01739_AACY020081009.1       57      -8.6543      -8.6543      0.0000
  QRF01739_ACSK01000180.1        92      -4.6007      -4.6007      0.0000
  QRF01739_BA000039.2           113      -1.9980      -1.9980      0.0000
  QRF01739_AACY023081145.1       53       1.8255       1.8255      0.0000
  QRF01739_AFSR01000238.1        99      -2.1249      -2.1249      0.0000
  QRF01739_AGJC01000003.1        76      -4.6167      -4.6167      0.0000
  QRF01739_AFSR01000146.1        92      -6.2182      -6.2182      0.0000
  QRF01739_CACA01000349.1        84      -2.3367      -2.3367      0.0000
  QRF01739_AACY022751187.1       52      -8.0534      -8.0534      0.0000
  QRF01739_AACY022283709.1       52      -8.0534      -8.0534      0.0000
  QRF01739_ABPS01003770.1       123      -4.8904      -4.8904      0.0000
  QRF01739_AFEJ01000345.1        83      -8.7545      -8.7545      0.0000
  QRF00005_CABR01000029.1        73       2.5151       2.5151      0.0000
  QRF00005_AFSR01002788.1        74       3.2248       3.2248      0.0000
  QRF00005_CP000927.1            72       0.6183       0.6183      0.0000
  QRF00005_AY741371.1            72      -3.0273      -3.0273      0.0000
  QRF00005_AEGR01000006.1        73       2.5151       2.5151      0.0000
  QRF00005_CP001189.1            73       0.6183       0.6183      0.0000
  QRF00005_CP000493.1            72      -0.7285      -0.7285      0.0000
  QRF00005_AP012159.1            73       0.6183       0.6183      0.0000
  QRF00005_AM889285.1            73       0.6183       0.6183      0.0000
  QRF00005_AGFR01000003.1        73       0.6183       0.6183      0.0000
  QRF00005_AFCH01000046.1        73       0.6183       0.6183      0.0000
  QRF00005_ADTV01000009.1        73       0.6183       0.6183      0.0000
  QRF00005_ABCE01000025.1        73      -3.4219      -3.4219      0.0000
  QRF00005_HM565909.1            72      -7.0197      -7.0197      0.0000
  QRF00005_CAFG01000441.1        73       2.5151       2.5151      0.0000
  QRF00005_AACY020656879.1       72      -6.0765      -6.0765      0.0000
  QRF00005_CP001744.1            73       0.9541       0.9541      0.0000
  QRF00005_CP000880.1            73      -0.3346      -0.3346      0.0000
  QRF00005_CACD01000012.1        73      -0.3346      -0.3346      0.0000
  QRF00005_CACD01000012.1        73      -0.3346      -0.3346      0.0000
  QRF00005_CACD01000012.1        73      -0.3346      -0.3346      0.0000
  QRF00005_AM849034.1            74      -4.7952      -4.7952      0.0000
  QRF00005_AM711867.1            74      -4.7952      -4.7952      0.0000
  QRF00005_AEQT01000005.1        73      -0.3346      -0.3346      0.0000
  QRF00005_AEQT01000005.1        73      -0.3346      -0.3346      0.0000
  QRF00005_ACDJ01000003.1        73      -0.3346      -0.3346      0.0000
  QRF00005_ABWL02000007.1        73      -0.3346      -0.3346      0.0000
  QRF00005_Z71579.1              73       2.5151       2.5151      0.0000
  QRF00005_X53782.1              73       2.5151       2.5151      0.0000
  QRF00005_M19391.1              73       2.5151       2.5151      0.0000
