# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00377.cm
# date:    Sat May 14 01:51:33 2016
# seed:    1463190693
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoU6-53                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:35.78       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -34.2551     -34.2551      0.0000
  QRF01739_AGJC01000011.1        62     -33.6884     -33.6884      0.0000
  QRF01739_AP012205.1            62     -31.1129     -31.1129      0.0000
  QRF01739_AEPQ01000180.1        85     -19.6673     -19.6673      0.0000
  QRF01739_AACY023065314.1       57     -36.1126     -36.1126      0.0000
  QRF01739_AACY020081009.1       57     -36.1126     -36.1126      0.0000
  QRF01739_ACSK01000180.1        92     -33.4222     -33.4222      0.0000
  QRF01739_BA000039.2           113     -25.4457     -25.4457      0.0000
  QRF01739_AACY023081145.1       53     -39.5640     -39.5640      0.0000
  QRF01739_AFSR01000238.1        99     -34.1643     -34.1643      0.0000
  QRF01739_AGJC01000003.1        76     -25.3779     -25.3779      0.0000
  QRF01739_AFSR01000146.1        92     -30.5691     -30.5691      0.0000
  QRF01739_CACA01000349.1        84     -28.0218     -28.0218      0.0000
  QRF01739_AACY022751187.1       52     -38.6254     -38.6254      0.0000
  QRF01739_AACY022283709.1       52     -38.6254     -38.6254      0.0000
  QRF01739_ABPS01003770.1       123     -25.8104     -25.8104      0.0000
  QRF01739_AFEJ01000345.1        83     -30.2234     -30.2234      0.0000
  QRF00005_CABR01000029.1        73     -30.8510     -30.8510      0.0000
  QRF00005_AFSR01002788.1        74     -31.0913     -31.0913      0.0000
  QRF00005_CP000927.1            72     -24.3351     -24.3351      0.0000
  QRF00005_AY741371.1            72     -31.1804     -31.1804      0.0000
  QRF00005_AEGR01000006.1        73     -30.2889     -30.2889      0.0000
  QRF00005_CP001189.1            73     -22.6389     -22.6389      0.0000
  QRF00005_CP000493.1            72     -29.7928     -29.7928      0.0000
  QRF00005_AP012159.1            73     -22.6389     -22.6389      0.0000
  QRF00005_AM889285.1            73     -22.6389     -22.6389      0.0000
  QRF00005_AGFR01000003.1        73     -23.2530     -23.2530      0.0000
  QRF00005_AFCH01000046.1        73     -22.6389     -22.6389      0.0000
  QRF00005_ADTV01000009.1        73     -22.6389     -22.6389      0.0000
  QRF00005_ABCE01000025.1        73     -29.9878     -29.9878      0.0000
  QRF00005_HM565909.1            72     -31.5550     -31.5550      0.0000
  QRF00005_CAFG01000441.1        73     -29.1612     -29.1612      0.0000
  QRF00005_AACY020656879.1       72     -31.8825     -31.8825      0.0000
  QRF00005_CP001744.1            73     -33.1582     -33.1582      0.0000
  QRF00005_CP000880.1            73     -28.4069     -28.4069      0.0000
  QRF00005_CACD01000012.1        73     -28.4069     -28.4069      0.0000
  QRF00005_CACD01000012.1        73     -28.4069     -28.4069      0.0000
  QRF00005_CACD01000012.1        73     -28.4069     -28.4069      0.0000
  QRF00005_AM849034.1            74     -31.3100     -31.3100      0.0000
  QRF00005_AM711867.1            74     -31.3100     -31.3100      0.0000
  QRF00005_AEQT01000005.1        73     -28.4069     -28.4069      0.0000
  QRF00005_AEQT01000005.1        73     -28.4069     -28.4069      0.0000
  QRF00005_ACDJ01000003.1        73     -28.4069     -28.4069      0.0000
  QRF00005_ABWL02000007.1        73     -28.4069     -28.4069      0.0000
  QRF00005_Z71579.1              73     -28.0307     -28.0307      0.0000
  QRF00005_X53782.1              73     -28.0307     -28.0307      0.0000
  QRF00005_M19391.1              73     -28.0307     -28.0307      0.0000
  QRF00005_M15314.1              73     -28.0307     -28.0307      0.0000
  QRF00005_L42023.1              73     -28.0307     -28.0307      0.0000
  QRF00005_L42023.1              73     -28.0307     -28.0307      0.0000
  QRF00005_L42023.1              73     -28.0307     -28.0307      0.0000
  QRF00005_FQ670204.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ670204.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ670204.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ670178.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ670178.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ670178.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ670178.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ312006.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ312006.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ312006.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ312002.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ312002.1            73     -28.0307     -28.0307      0.0000
  QRF00005_FQ312002.1            73     -28.0307     -28.0307      0.0000
  QRF00005_EF196803.1            73     -28.0307     -28.0307      0.0000
  QRF00005_EF196803.1            73     -28.0307     -28.0307      0.0000
  QRF00005_CP003022.1            73     -28.0307     -28.0307      0.0000
  QRF00001_EU093378.1           119     -23.2785     -23.2785      0.0000
  QRF00001_AAAA02047827.1       119     -23.2785     -23.2785      0.0000
  QRF00001_AAAA02043281.1       119     -24.2025     -24.2025      0.0000
  QRF00001_EF064700.1           119     -22.3558     -22.3558      0.0000
  QRF00001_EF064692.1           119     -22.3558     -22.3558      0.0000
  QRF00001_EF064687.1           119     -22.3558     -22.3558      0.0000
  QRF00001_EF064680.1           119     -22.3558     -22.3558      0.0000
  QRF00001_EF064678.1           119     -22.3558     -22.3558      0.0000
  QRF00001_EF064556.1           119     -22.3558     -22.3558      0.0000
  QRF00001_AJ390135.1           119     -22.3558     -22.3558      0.0000
  QRF00001_HQ270965.1           119     -23.2785     -23.2785      0.0000
  QRF00001_GQ324770.1           119     -23.2785     -23.2785      0.0000
  QRF00001_FJ882503.1           119     -23.2785     -23.2785      0.0000
  QRF00001_AF550740.1           119     -23.2785     -23.2785      0.0000
