# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01415.cm
# date:    Sat May 14 03:58:56 2016
# seed:    1463198336
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Flavivirus_SLIV            search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:33.74       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -18.2577     -18.2577      0.0000
  QRF01739_AGJC01000011.1        62     -15.1804     -15.1804      0.0000
  QRF01739_AP012205.1            62     -14.1013     -14.1013      0.0000
  QRF01739_AEPQ01000180.1        85     -14.4112     -14.4112      0.0000
  QRF01739_AACY023065314.1       57     -19.9825     -19.9825      0.0000
  QRF01739_AACY020081009.1       57     -19.9825     -19.9825      0.0000
  QRF01739_ACSK01000180.1        92     -17.7581     -17.7581      0.0000
  QRF01739_BA000039.2           113      -5.3804      -5.3804      0.0000
  QRF01739_AACY023081145.1       53     -20.2057     -20.2057      0.0000
  QRF01739_AFSR01000238.1        99     -16.2659     -16.2659      0.0000
  QRF01739_AGJC01000003.1        76     -16.7904     -16.7904      0.0000
  QRF01739_AFSR01000146.1        92      -8.0122      -8.0122      0.0000
  QRF01739_CACA01000349.1        84     -17.5803     -17.5803      0.0000
  QRF01739_AACY022751187.1       52     -21.9973     -21.9973      0.0000
  QRF01739_AACY022283709.1       52     -21.9973     -21.9973      0.0000
  QRF01739_ABPS01003770.1       123     -10.1821     -10.1821      0.0000
  QRF01739_AFEJ01000345.1        83     -13.0182     -13.0182      0.0000
  QRF00005_CABR01000029.1        73     -15.6878     -15.6878      0.0000
  QRF00005_AFSR01002788.1        74     -17.2945     -17.2945      0.0000
  QRF00005_CP000927.1            72     -12.2643     -12.2643      0.0000
  QRF00005_AY741371.1            72     -17.2964     -17.2964      0.0000
  QRF00005_AEGR01000006.1        73     -14.0967     -14.0967      0.0000
  QRF00005_CP001189.1            73     -19.0779     -19.0779      0.0000
  QRF00005_CP000493.1            72      -6.2649      -6.2649      0.0000
  QRF00005_AP012159.1            73     -19.0779     -19.0779      0.0000
  QRF00005_AM889285.1            73     -19.0779     -19.0779      0.0000
  QRF00005_AGFR01000003.1        73     -13.5875     -13.5875      0.0000
  QRF00005_AFCH01000046.1        73     -19.0779     -19.0779      0.0000
  QRF00005_ADTV01000009.1        73     -19.0779     -19.0779      0.0000
  QRF00005_ABCE01000025.1        73     -17.9102     -17.9102      0.0000
  QRF00005_HM565909.1            72     -22.3334     -22.3334      0.0000
  QRF00005_CAFG01000441.1        73     -16.2490     -16.2490      0.0000
  QRF00005_AACY020656879.1       72     -21.3148     -21.3148      0.0000
  QRF00005_CP001744.1            73     -14.9237     -14.9237      0.0000
  QRF00005_CP000880.1            73     -18.3620     -18.3620      0.0000
  QRF00005_CACD01000012.1        73     -18.3620     -18.3620      0.0000
  QRF00005_CACD01000012.1        73     -18.3620     -18.3620      0.0000
  QRF00005_CACD01000012.1        73     -18.3620     -18.3620      0.0000
  QRF00005_AM849034.1            74     -11.4405     -11.4405      0.0000
  QRF00005_AM711867.1            74     -11.4405     -11.4405      0.0000
  QRF00005_AEQT01000005.1        73     -18.3620     -18.3620      0.0000
  QRF00005_AEQT01000005.1        73     -18.3620     -18.3620      0.0000
  QRF00005_ACDJ01000003.1        73     -18.3620     -18.3620      0.0000
  QRF00005_ABWL02000007.1        73     -18.3620     -18.3620      0.0000
  QRF00005_Z71579.1              73     -10.3814     -10.3814      0.0000
  QRF00005_X53782.1              73     -10.3814     -10.3814      0.0000
  QRF00005_M19391.1              73     -10.3814     -10.3814      0.0000
  QRF00005_M15314.1              73     -10.3814     -10.3814      0.0000
  QRF00005_L42023.1              73     -10.3814     -10.3814      0.0000
  QRF00005_L42023.1              73     -10.3814     -10.3814      0.0000
  QRF00005_L42023.1              73     -10.3814     -10.3814      0.0000
  QRF00005_FQ670204.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ670204.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ670204.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ670178.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ670178.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ670178.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ670178.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ312006.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ312006.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ312006.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ312002.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ312002.1            73     -10.3814     -10.3814      0.0000
  QRF00005_FQ312002.1            73     -10.3814     -10.3814      0.0000
  QRF00005_EF196803.1            73     -10.3814     -10.3814      0.0000
  QRF00005_EF196803.1            73     -10.3814     -10.3814      0.0000
  QRF00005_CP003022.1            73     -10.3814     -10.3814      0.0000
  QRF00001_EU093378.1           119     -11.7611     -11.7611      0.0000
  QRF00001_AAAA02047827.1       119     -11.4291     -11.4291      0.0000
  QRF00001_AAAA02043281.1       119     -14.7785     -14.7785      0.0000
  QRF00001_EF064700.1           119     -10.1571     -10.1571      0.0000
  QRF00001_EF064692.1           119     -10.1571     -10.1571      0.0000
  QRF00001_EF064687.1           119     -10.1571     -10.1571      0.0000
  QRF00001_EF064680.1           119     -10.1571     -10.1571      0.0000
  QRF00001_EF064678.1           119     -10.1571     -10.1571      0.0000
  QRF00001_EF064556.1           119     -10.1571     -10.1571      0.0000
  QRF00001_AJ390135.1           119     -10.1571     -10.1571      0.0000
  QRF00001_HQ270965.1           119     -11.4291     -11.4291      0.0000
  QRF00001_GQ324770.1           119     -11.4291     -11.4291      0.0000
  QRF00001_FJ882503.1           119     -11.4291     -11.4291      0.0000
  QRF00001_AF550740.1           119     -11.4291     -11.4291      0.0000
  QRF00001_HQ270648.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU924818.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU093153.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EF524209.1           119     -11.4291     -11.4291      0.0000
  QRF00001_AY316209.1           119     -11.4291     -11.4291      0.0000
  QRF00001_AY034674.1           119     -11.4291     -11.4291      0.0000
  QRF00001_AJ409525.1           119     -11.4291     -11.4291      0.0000
  QRF00001_AF550715.1           119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01010155.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01009775.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01009775.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01009775.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01009135.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01009119.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01009117.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01005845.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01005845.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01005844.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01005841.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01005839.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01005838.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01005838.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01005835.1       119     -11.4291     -11.4291      0.0000
  QRF00001_ABXC01005835.1       119     -11.4291     -11.4291      0.0000
  QRF00001_AAAA02039752.1       119     -11.4291     -11.4291      0.0000
  QRF00001_EU925066.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU093209.1           119     -11.4291     -11.4291      0.0000
  QRF00001_U02637.1             119     -11.4291     -11.4291      0.0000
  QRF00001_EU439291.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU439286.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU439284.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU439282.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU439280.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU439279.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU439278.1           119     -11.4291     -11.4291      0.0000
  QRF00001_EU439277.1           119     -11.4291     -11.4291      0.0000
  QRF01704_ACNY01000005.1        62     -17.4072     -17.4072      0.0000
  QRF01704_ADXL01000065.1        61      -7.5624      -7.5624      0.0000
  QRF01704_ADXL01000046.1        61      -9.4744      -9.4744      0.0000
  QRF01704_ADHP01001127.1        63     -17.4151     -17.4151      0.0000
  QRF01704_ADXM01000029.1        71     -10.3010     -10.3010      0.0000
  QRF01704_FJ869257.1            62     -14.6345     -14.6345      0.0000
  QRF01704_BX569692.1            62     -14.6345     -14.6345      0.0000
  QRF01704_AACY023835177.1       64     -14.8071     -14.8071      0.0000
  QRF01704_ACNY01000003.1        61     -14.9520     -14.9520      0.0000
  QRF01704_AACY020212823.1       62     -17.3727     -17.3727      0.0000
  QRF01704_GQ237222.1            58     -13.8769     -13.8769      0.0000
  QRF01704_ADHP01000860.1        64     -19.5534     -19.5534      0.0000
  QRF01704_AACY020313707.1       62     -18.4577     -18.4577      0.0000
  QRF01704_ACDW01000004.1        62     -17.2597     -17.2597      0.0000
  QRF01704_AACY022014507.1       62     -17.2597     -17.2597      0.0000
  QRF01704_ADHP01000878.1        59     -18.8780     -18.8780      0.0000
  QRF01704_AACY022415810.1       58     -13.6509     -13.6509      0.0000
  QRF01704_AACY020575673.1       58     -13.6509     -13.6509      0.0000
  QRF01704_ACNY01000005.1        59     -14.2129     -14.2129      0.0000
  QRF01704_ADHP01000854.1        63     -13.2636     -13.2636      0.0000
  QRF01704_GU936714.1            59     -11.5329     -11.5329      0.0000
  QRF01704_AACY021622950.1       62     -17.3727     -17.3727      0.0000
  QRF01704_CP000825.1            58     -12.8729     -12.8729      0.0000
  QRF01704_EU795157.1            64     -14.9628     -14.9628      0.0000
  QRF01704_ABVN01004790.1        61      -8.5282      -8.5282      0.0000
  QRF01704_ABMN01086741.1        60     -22.5709     -22.5709      0.0000
  QRF01704_DQ325539.1            60     -17.5025     -17.5025      0.0000
  QRF01704_ACNY01000005.1        62     -17.0835     -17.0835      0.0000
  QRF01704_ACNY01000004.1        60     -11.3415     -11.3415      0.0000
  QRF01704_ABVT01000061.1        57      -8.7578      -8.7578      0.0000
  QRF00023_CP001665.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP001509.3           363      -6.1573      -6.1573      0.0000
  QRF00023_CP000819.1           363      -6.1573      -6.1573      0.0000
  QRF00023_AM946981.2           363      -6.1573      -6.1573      0.0000
  QRF00023_ADTQ01000184.1       363      -6.1573      -6.1573      0.0000
  QRF00023_ADBT01000188.1       363      -6.1573      -6.1573      0.0000
  QRF00023_FN543093.2           364      -3.4513      -3.4513      0.0000
  QRF00023_AFAG01000033.1       363      -6.1573      -6.1573      0.0000
  QRF00023_AFAF01000014.1       363      -6.1573      -6.1573      0.0000
  QRF00023_ADUS01000034.1       363      -6.1573      -6.1573      0.0000
  QRF00023_U36840.1             363      -6.1573      -6.1573      0.0000
  QRF00023_FN649414.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CU928162.2           363      -6.1573      -6.1573      0.0000
  QRF00023_CU928161.2           363      -6.1573      -6.1573      0.0000
  QRF00023_CU928158.2           363      -6.1573      -6.1573      0.0000
  QRF00023_CU651637.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP003034.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP002797.2           363      -6.1573      -6.1573      0.0000
  QRF00023_CP002729.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP002516.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP002212.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP002211.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP002185.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP002167.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP001969.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP001855.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP001671.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP001637.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP001396.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP001383.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP000970.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP000948.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP000802.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP000243.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CP000038.1           363      -6.1573      -6.1573      0.0000
  QRF00023_CAFL01000074.1       363      -6.1573      -6.1573      0.0000
  QRF00023_CADZ01000057.1       363      -6.1573      -6.1573      0.0000
  QRF00023_BAAV01002786.1       363      -6.1573      -6.1573      0.0000
  QRF00023_AP012030.1           363      -6.1573      -6.1573      0.0000
  QRF00023_AP010960.1           363      -6.1573      -6.1573      0.0000
  QRF00023_AP010958.1           363      -6.1573      -6.1573      0.0000
  QRF00023_AP010953.1           363      -6.1573      -6.1573      0.0000
  QRF00023_AP009378.1           363      -6.1573      -6.1573      0.0000
  QRF00023_AP009240.1           363      -6.1573      -6.1573      0.0000
  QRF00023_AP009048.1           363      -6.1573      -6.1573      0.0000
  QRF00023_AJ304858.2           363      -6.1573      -6.1573      0.0000
  QRF00023_AGTK01000236.1       363      -6.1573      -6.1573      0.0000
  QRF00023_AGTJ01000345.1       363      -6.1573      -6.1573      0.0000
  QRF00023_AGTI01000029.1       363      -6.1573      -6.1573      0.0000
  QRF00023_AGTH01000033.1       363      -6.1573      -6.1573      0.0000
  QRF00010_CP002738.1           351      -4.2577      -4.2577      0.0000
  QRF00010_ABSP01001676.1       350      -5.2712      -5.2712      0.0000
  QRF00010_FO082060.1           365      -8.7887      -8.7887      0.0000
  QRF00010_AFJF01000001.1       394      -4.6060      -4.6060      0.0000
  QRF00010_AEGW02000003.1       350      -5.2712      -5.2712      0.0000
  QRF00010_CP002086.1           354      -8.8546      -8.8546      0.0000
  QRF00010_ACJN02000001.1       533       2.7085       2.7085      0.0000
  QRF00010_CP002881.1           360      -5.9100      -5.9100      0.0000
  QRF00010_AFOH01000117.1       345      -5.1549      -5.1549      0.0000
  QRF00010_AACY020185705.1      350      -4.0828      -4.0828      0.0000
  QRF00010_AGSX01000193.1       359      -5.9100      -5.9100      0.0000
  QRF00010_AFWT01000009.1       368      -3.6608      -3.6608      0.0000
  QRF00010_FM209186.1           350      -6.8182      -6.8182      0.0000
  QRF00010_CP002496.1           350      -6.8182      -6.8182      0.0000
  QRF00010_CP000438.1           350      -6.8182      -6.8182      0.0000
  QRF00010_BADP01000198.1       350      -6.8182      -6.8182      0.0000
  QRF00010_AP012280.1           350      -6.8182      -6.8182      0.0000
  QRF00010_AFXK01000001.1       350      -6.8182      -6.8182      0.0000
  QRF00010_AFXJ01000001.1       350      -6.8182      -6.8182      0.0000
  QRF00010_AFXI01000001.1       350      -6.8182      -6.8182      0.0000
  QRF00010_AFNF01000315.1       350      -6.8182      -6.8182      0.0000
  QRF00010_AEVW01000050.1       350      -6.8182      -6.8182      0.0000
  QRF00010_AEVV01000076.1       350      -6.8182      -6.8182      0.0000
  QRF00010_AEEX01000069.1       350      -6.8182      -6.8182      0.0000
  QRF00010_AE004091.2           350      -6.8182      -6.8182      0.0000
  QRF00010_ACWU01000204.1       350      -6.8182      -6.8182      0.0000
  QRF00010_ABKZ01000485.1       350      -6.8182      -6.8182      0.0000
