# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00336.cm
# date:    Sat May 14 03:10:10 2016
# seed:    1463195410
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoJ26                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:55.26       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -49.3190     -49.3190      0.0000
  QRF01739_AGJC01000011.1        62     -54.0583     -54.0583      0.0000
  QRF01739_AP012205.1            62     -39.5497     -39.5497      0.0000
  QRF01739_AEPQ01000180.1        85     -38.8566     -38.8566      0.0000
  QRF01739_AACY023065314.1       57     -49.3667     -49.3667      0.0000
  QRF01739_AACY020081009.1       57     -49.3667     -49.3667      0.0000
  QRF01739_ACSK01000180.1        92     -41.8920     -41.8920      0.0000
  QRF01739_BA000039.2           113     -34.9250     -34.9250      0.0000
  QRF01739_AACY023081145.1       53     -49.0923     -49.0923      0.0000
  QRF01739_AFSR01000238.1        99     -47.5550     -47.9069      0.3519
  QRF01739_AGJC01000003.1        76     -46.2902     -46.2902      0.0000
  QRF01739_AFSR01000146.1        92     -47.1803     -47.1803      0.0000
  QRF01739_CACA01000349.1        84     -50.0739     -50.0739      0.0000
  QRF01739_AACY022751187.1       52     -50.0083     -50.0083      0.0000
  QRF01739_AACY022283709.1       52     -50.0083     -50.0083      0.0000
