# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01810.cm
# date:    Sat May 14 00:22:45 2016
# seed:    1463185365
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  pntA                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:26.74       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -14.2032     -14.2032      0.0000
  QRF01739_AGJC01000011.1        62     -13.0048     -13.0048      0.0000
  QRF01739_AP012205.1            62     -12.0167     -12.0167      0.0000
  QRF01739_AEPQ01000180.1        85     -13.4130     -13.4130      0.0000
  QRF01739_AACY023065314.1       57      -4.6868      -4.6868      0.0000
  QRF01739_AACY020081009.1       57      -4.6868      -4.6868      0.0000
  QRF01739_ACSK01000180.1        92     -19.1629     -19.1629      0.0000
  QRF01739_BA000039.2           113     -20.2206     -20.2206      0.0000
  QRF01739_AACY023081145.1       53     -21.4496     -21.4496      0.0000
  QRF01739_AFSR01000238.1        99     -20.8255     -20.8255      0.0000
  QRF01739_AGJC01000003.1        76     -12.9128     -12.9128      0.0000
  QRF01739_AFSR01000146.1        92     -18.5184     -18.5184      0.0000
  QRF01739_CACA01000349.1        84     -19.6673     -19.6673      0.0000
  QRF01739_AACY022751187.1       52     -22.0513     -22.0513      0.0000
  QRF01739_AACY022283709.1       52     -22.0513     -22.0513      0.0000
  QRF01739_ABPS01003770.1       123     -14.1900     -14.1900      0.0000
  QRF01739_AFEJ01000345.1        83     -18.5948     -18.5948      0.0000
  QRF00005_CABR01000029.1        73     -14.3188     -14.3188      0.0000
  QRF00005_AFSR01002788.1        74     -14.6097     -14.6097      0.0000
  QRF00005_CP000927.1            72     -14.1781     -14.1781      0.0000
  QRF00005_AY741371.1            72     -14.8932     -14.8932      0.0000
  QRF00005_AEGR01000006.1        73     -14.7407     -14.7407      0.0000
  QRF00005_CP001189.1            73      -9.0183      -9.0183      0.0000
  QRF00005_CP000493.1            72     -18.2145     -18.2145      0.0000
  QRF00005_AP012159.1            73      -9.0183      -9.0183      0.0000
  QRF00005_AM889285.1            73      -9.0183      -9.0183      0.0000
  QRF00005_AGFR01000003.1        73      -8.9103      -8.9103      0.0000
  QRF00005_AFCH01000046.1        73      -9.0183      -9.0183      0.0000
  QRF00005_ADTV01000009.1        73      -9.0183      -9.0183      0.0000
  QRF00005_ABCE01000025.1        73     -14.0670     -14.0670      0.0000
  QRF00005_HM565909.1            72     -13.8622     -13.8622      0.0000
  QRF00005_CAFG01000441.1        73     -14.7407     -14.7407      0.0000
  QRF00005_AACY020656879.1       72     -14.4082     -14.4082      0.0000
  QRF00005_CP001744.1            73     -13.1820     -13.1820      0.0000
  QRF00005_CP000880.1            73     -12.6498     -12.6498      0.0000
  QRF00005_CACD01000012.1        73     -12.6498     -12.6498      0.0000
  QRF00005_CACD01000012.1        73     -12.6498     -12.6498      0.0000
  QRF00005_CACD01000012.1        73     -12.6498     -12.6498      0.0000
  QRF00005_AM849034.1            74      -9.2333      -9.2333      0.0000
  QRF00005_AM711867.1            74      -9.2333      -9.2333      0.0000
  QRF00005_AEQT01000005.1        73     -12.6498     -12.6498      0.0000
  QRF00005_AEQT01000005.1        73     -12.6498     -12.6498      0.0000
  QRF00005_ACDJ01000003.1        73     -12.6498     -12.6498      0.0000
  QRF00005_ABWL02000007.1        73     -12.6498     -12.6498      0.0000
  QRF00005_Z71579.1              73     -16.3867     -16.3867      0.0000
  QRF00005_X53782.1              73     -16.3867     -16.3867      0.0000
  QRF00005_M19391.1              73     -16.3867     -16.3867      0.0000
  QRF00005_M15314.1              73     -16.3867     -16.3867      0.0000
  QRF00005_L42023.1              73     -16.3867     -16.3867      0.0000
  QRF00005_L42023.1              73     -16.3867     -16.3867      0.0000
  QRF00005_L42023.1              73     -16.3867     -16.3867      0.0000
  QRF00005_FQ670204.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ670204.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ670204.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ670178.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ670178.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ670178.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ670178.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ312006.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ312006.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ312006.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ312002.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ312002.1            73     -16.3867     -16.3867      0.0000
  QRF00005_FQ312002.1            73     -16.3867     -16.3867      0.0000
  QRF00005_EF196803.1            73     -16.3867     -16.3867      0.0000
  QRF00005_EF196803.1            73     -16.3867     -16.3867      0.0000
  QRF00005_CP003022.1            73     -16.3867     -16.3867      0.0000
  QRF00001_EU093378.1           119     -16.4856     -16.4856      0.0000
  QRF00001_AAAA02047827.1       119     -16.4406     -16.4406      0.0000
  QRF00001_AAAA02043281.1       119     -14.6964     -14.6964      0.0000
  QRF00001_EF064700.1           119     -14.5164     -14.5164      0.0000
  QRF00001_EF064692.1           119     -14.5164     -14.5164      0.0000
  QRF00001_EF064687.1           119     -14.5164     -14.5164      0.0000
  QRF00001_EF064680.1           119     -14.5164     -14.5164      0.0000
  QRF00001_EF064678.1           119     -14.5164     -14.5164      0.0000
  QRF00001_EF064556.1           119     -14.5164     -14.5164      0.0000
  QRF00001_AJ390135.1           119     -14.5164     -14.5164      0.0000
  QRF00001_HQ270965.1           119     -16.4406     -16.4406      0.0000
  QRF00001_GQ324770.1           119     -16.4406     -16.4406      0.0000
  QRF00001_FJ882503.1           119     -16.4406     -16.4406      0.0000
  QRF00001_AF550740.1           119     -16.4406     -16.4406      0.0000
  QRF00001_HQ270648.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU924818.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU093153.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EF524209.1           119     -16.4406     -16.4406      0.0000
  QRF00001_AY316209.1           119     -16.4406     -16.4406      0.0000
  QRF00001_AY034674.1           119     -16.4406     -16.4406      0.0000
  QRF00001_AJ409525.1           119     -16.4406     -16.4406      0.0000
  QRF00001_AF550715.1           119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01010155.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01009775.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01009775.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01009775.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01009135.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01009119.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01009117.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01005845.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01005845.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01005844.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01005841.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01005839.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01005838.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01005838.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01005835.1       119     -16.4406     -16.4406      0.0000
  QRF00001_ABXC01005835.1       119     -16.4406     -16.4406      0.0000
  QRF00001_AAAA02039752.1       119     -16.4406     -16.4406      0.0000
  QRF00001_EU925066.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU093209.1           119     -16.4406     -16.4406      0.0000
  QRF00001_U02637.1             119     -16.4406     -16.4406      0.0000
  QRF00001_EU439291.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU439286.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU439284.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU439282.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU439280.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU439279.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU439278.1           119     -16.4406     -16.4406      0.0000
  QRF00001_EU439277.1           119     -16.4406     -16.4406      0.0000
  QRF01704_ACNY01000005.1        62     -25.4518     -25.4518      0.0000
  QRF01704_ADXL01000065.1        61     -20.5169     -20.5169      0.0000
  QRF01704_ADXL01000046.1        61     -21.8510     -21.8510      0.0000
  QRF01704_ADHP01001127.1        63     -18.1984     -18.1984      0.0000
  QRF01704_ADXM01000029.1        71     -12.1802     -12.1802      0.0000
  QRF01704_FJ869257.1            62     -24.8889     -24.8889      0.0000
  QRF01704_BX569692.1            62     -24.8889     -24.8889      0.0000
  QRF01704_AACY023835177.1       64     -14.2014     -14.2014      0.0000
  QRF01704_ACNY01000003.1        61     -22.2997     -22.2997      0.0000
  QRF01704_AACY020212823.1       62     -11.4294     -11.4294      0.0000
  QRF01704_GQ237222.1            58     -19.8229     -19.8229      0.0000
  QRF01704_ADHP01000860.1        64     -16.8155     -16.8155      0.0000
  QRF01704_AACY020313707.1       62     -16.5575     -16.5575      0.0000
  QRF01704_ACDW01000004.1        62     -19.7000     -19.7000      0.0000
  QRF01704_AACY022014507.1       62     -12.5354     -12.5354      0.0000
  QRF01704_ADHP01000878.1        59     -21.2346     -21.2346      0.0000
  QRF01704_AACY022415810.1       58     -21.5350     -21.5350      0.0000
  QRF01704_AACY020575673.1       58     -21.5350     -21.5350      0.0000
  QRF01704_ACNY01000005.1        59     -21.1391     -21.1391      0.0000
  QRF01704_ADHP01000854.1        63     -15.4040     -15.4040      0.0000
  QRF01704_GU936714.1            59     -24.5450     -24.5450      0.0000
  QRF01704_AACY021622950.1       62     -11.4294     -11.4294      0.0000
  QRF01704_CP000825.1            58     -17.3280     -17.3280      0.0000
  QRF01704_EU795157.1            64     -19.5566     -19.5566      0.0000
  QRF01704_ABVN01004790.1        61     -17.1358     -17.1358      0.0000
  QRF01704_ABMN01086741.1        60     -14.7906     -14.7906      0.0000
  QRF01704_DQ325539.1            60     -22.3684     -22.3684      0.0000
  QRF01704_ACNY01000005.1        62     -14.1373     -14.1373      0.0000
  QRF01704_ACNY01000004.1        60     -18.6765     -18.6765      0.0000
  QRF01704_ABVT01000061.1        57     -16.9966     -16.9966      0.0000
  QRF00023_CP001665.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP001509.3           363      -1.1356      -1.1356      0.0000
  QRF00023_CP000819.1           363      -1.1356      -1.1356      0.0000
  QRF00023_AM946981.2           363      -1.1356      -1.1356      0.0000
  QRF00023_ADTQ01000184.1       363      -1.1356      -1.1356      0.0000
  QRF00023_ADBT01000188.1       363      -1.1356      -1.1356      0.0000
  QRF00023_FN543093.2           364      -1.1356      -1.1356      0.0000
  QRF00023_AFAG01000033.1       363      -1.1356      -1.1356      0.0000
  QRF00023_AFAF01000014.1       363      -1.1356      -1.1356      0.0000
  QRF00023_ADUS01000034.1       363      -1.1356      -1.1356      0.0000
  QRF00023_U36840.1             363      -1.1356      -1.1356      0.0000
  QRF00023_FN649414.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CU928162.2           363      -1.1356      -1.1356      0.0000
  QRF00023_CU928161.2           363      -1.1356      -1.1356      0.0000
  QRF00023_CU928158.2           363      -1.1356      -1.1356      0.0000
  QRF00023_CU651637.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP003034.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP002797.2           363      -1.1356      -1.1356      0.0000
  QRF00023_CP002729.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP002516.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP002212.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP002211.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP002185.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP002167.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP001969.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP001855.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP001671.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP001637.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP001396.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP001383.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP000970.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP000948.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP000802.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP000243.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CP000038.1           363      -1.1356      -1.1356      0.0000
  QRF00023_CAFL01000074.1       363      -1.1356      -1.1356      0.0000
  QRF00023_CADZ01000057.1       363      -1.1356      -1.1356      0.0000
  QRF00023_BAAV01002786.1       363      -1.1356      -1.1356      0.0000
  QRF00023_AP012030.1           363      -1.1356      -1.1356      0.0000
  QRF00023_AP010960.1           363      -1.1356      -1.1356      0.0000
  QRF00023_AP010958.1           363      -1.1356      -1.1356      0.0000
  QRF00023_AP010953.1           363      -1.1356      -1.1356      0.0000
  QRF00023_AP009378.1           363      -1.1356      -1.1356      0.0000
  QRF00023_AP009240.1           363      -1.1356      -1.1356      0.0000
  QRF00023_AP009048.1           363      -1.1356      -1.1356      0.0000
  QRF00023_AJ304858.2           363      -1.1356      -1.1356      0.0000
