# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00030.cm
# date:    Fri May 13 21:20:08 2016
# seed:    1463174408
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RNase_MRP                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:00.50       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -94.9853     -94.9853      0.0000
  QRF01739_AGJC01000011.1        62     -92.1575     -92.1575      0.0000
  QRF01739_AP012205.1            62     -98.2881     -98.2881      0.0000
  QRF01739_AEPQ01000180.1        85     -79.1563     -79.1563      0.0000
  QRF01739_AACY023065314.1       57     -91.3112     -91.3112      0.0000
  QRF01739_AACY020081009.1       57     -91.3112     -91.3112      0.0000
  QRF01739_ACSK01000180.1        92     -77.8373     -77.8373      0.0000
  QRF01739_BA000039.2           113     -73.9924     -73.9924      0.0000
  QRF01739_AACY023081145.1       53     -94.6677     -94.6677      0.0000
  QRF01739_AFSR01000238.1        99     -81.6383     -81.6383      0.0000
  QRF01739_AGJC01000003.1        76     -86.3786     -86.3786      0.0000
  QRF01739_AFSR01000146.1        92     -85.2221     -85.2221      0.0000
  QRF01739_CACA01000349.1        84     -85.8798     -85.8798      0.0000
  QRF01739_AACY022751187.1       52     -94.3302     -94.3302      0.0000
  QRF01739_AACY022283709.1       52     -94.3302     -94.3302      0.0000
  QRF01739_ABPS01003770.1       123     -71.3333     -71.3333      0.0000
  QRF01739_AFEJ01000345.1        83     -83.3973     -83.3973      0.0000
  QRF00005_CABR01000029.1        73     -88.2422     -88.2422      0.0000
  QRF00005_AFSR01002788.1        74     -89.8477     -89.8477      0.0000
  QRF00005_CP000927.1            72     -84.6062     -84.6062      0.0000
  QRF00005_AY741371.1            72     -86.4873     -86.4873      0.0000
  QRF00005_AEGR01000006.1        73     -86.5522     -86.5522      0.0000
  QRF00005_CP001189.1            73     -81.0672     -81.0672      0.0000
  QRF00005_CP000493.1            72     -86.6376     -86.6376      0.0000
  QRF00005_AP012159.1            73     -81.0672     -81.0672      0.0000
  QRF00005_AM889285.1            73     -81.0672     -81.0672      0.0000
  QRF00005_AGFR01000003.1        73     -85.9045     -85.9045      0.0000
  QRF00005_AFCH01000046.1        73     -81.0672     -81.0672      0.0000
