# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01400.cm
# date:    Sat May 14 01:39:59 2016
# seed:    1463189999
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  istR                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:13.09       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -35.8332     -35.8332      0.0000
  QRF01739_AGJC01000011.1        62     -34.0442     -34.0442      0.0000
  QRF01739_AP012205.1            62     -40.2351     -40.2351      0.0000
  QRF01739_AEPQ01000180.1        85     -31.5537     -31.5537      0.0000
  QRF01739_AACY023065314.1       57     -39.7930     -39.7930      0.0000
  QRF01739_AACY020081009.1       57     -39.7930     -39.7930      0.0000
  QRF01739_ACSK01000180.1        92     -33.6954     -33.6954      0.0000
  QRF01739_BA000039.2           113     -26.9546     -26.9546      0.0000
  QRF01739_AACY023081145.1       53     -42.3578     -42.3578      0.0000
  QRF01739_AFSR01000238.1        99     -33.4830     -33.4830      0.0000
  QRF01739_AGJC01000003.1        76     -36.8722     -36.8722      0.0000
  QRF01739_AFSR01000146.1        92     -24.6761     -24.6761      0.0000
  QRF01739_CACA01000349.1        84     -32.8372     -32.8372      0.0000
  QRF01739_AACY022751187.1       52     -44.5938     -44.5938      0.0000
  QRF01739_AACY022283709.1       52     -44.5938     -44.5938      0.0000
  QRF01739_ABPS01003770.1       123     -26.7448     -26.7448      0.0000
  QRF01739_AFEJ01000345.1        83     -35.2920     -35.2920      0.0000
  QRF00005_CABR01000029.1        73     -36.2476     -36.2476      0.0000
  QRF00005_AFSR01002788.1        74     -29.5506     -29.5506      0.0000
  QRF00005_CP000927.1            72     -36.0362     -36.0362      0.0000
  QRF00005_AY741371.1            72     -27.0511     -27.0511      0.0000
  QRF00005_AEGR01000006.1        73     -35.8911     -35.8911      0.0000
  QRF00005_CP001189.1            73     -31.4310     -31.4310      0.0000
  QRF00005_CP000493.1            72     -31.7305     -31.7305      0.0000
  QRF00005_AP012159.1            73     -31.4310     -31.4310      0.0000
  QRF00005_AM889285.1            73     -31.4310     -31.4310      0.0000
  QRF00005_AGFR01000003.1        73     -30.5363     -30.5363      0.0000
  QRF00005_AFCH01000046.1        73     -31.4310     -31.4310      0.0000
  QRF00005_ADTV01000009.1        73     -31.4310     -31.4310      0.0000
  QRF00005_ABCE01000025.1        73     -37.0828     -37.0828      0.0000
  QRF00005_HM565909.1            72     -26.3561     -26.3561      0.0000
  QRF00005_CAFG01000441.1        73     -35.4106     -35.4106      0.0000
  QRF00005_AACY020656879.1       72     -29.9081     -29.9081      0.0000
  QRF00005_CP001744.1            73     -37.2493     -37.2493      0.0000
  QRF00005_CP000880.1            73     -38.4201     -38.4201      0.0000
  QRF00005_CACD01000012.1        73     -38.4201     -38.4201      0.0000
  QRF00005_CACD01000012.1        73     -38.4201     -38.4201      0.0000
  QRF00005_CACD01000012.1        73     -38.4201     -38.4201      0.0000
