# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00376.cm
# date:    Fri May 13 22:12:46 2016
# seed:    1463177566
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HIV_GSL3                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:27.68       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -19.5322     -19.5322      0.0000
  QRF01739_AGJC01000011.1        62     -24.5770     -24.5770      0.0000
  QRF01739_AP012205.1            62     -16.9897     -16.9897      0.0000
  QRF01739_AEPQ01000180.1        85     -12.5975     -12.5975      0.0000
  QRF01739_AACY023065314.1       57     -22.1514     -22.1514      0.0000
  QRF01739_AACY020081009.1       57     -22.1514     -22.1514      0.0000
  QRF01739_ACSK01000180.1        92     -22.5356     -22.5356      0.0000
  QRF01739_BA000039.2           113     -17.2642     -17.2642      0.0000
  QRF01739_AACY023081145.1       53     -23.9198     -23.9198      0.0000
  QRF01739_AFSR01000238.1        99     -17.6335     -17.6335      0.0000
  QRF01739_AGJC01000003.1        76     -16.3689     -16.3689      0.0000
  QRF01739_AFSR01000146.1        92     -22.0034     -22.0034      0.0000
  QRF01739_CACA01000349.1        84     -19.1265     -19.1265      0.0000
  QRF01739_AACY022751187.1       52     -23.9985     -23.9985      0.0000
  QRF01739_AACY022283709.1       52     -23.9985     -23.9985      0.0000
  QRF01739_ABPS01003770.1       123     -20.4612     -20.4612      0.0000
  QRF01739_AFEJ01000345.1        83     -24.6075     -24.6075      0.0000
  QRF00005_CABR01000029.1        73     -19.9533     -19.9533      0.0000
  QRF00005_AFSR01002788.1        74     -14.9410     -14.9410      0.0000
  QRF00005_CP000927.1            72      -7.1413      -7.1413      0.0000
  QRF00005_AY741371.1            72     -14.8226     -14.8226      0.0000
  QRF00005_AEGR01000006.1        73     -24.9800     -24.9800      0.0000
  QRF00005_CP001189.1            73     -12.7120     -12.7120      0.0000
  QRF00005_CP000493.1            72     -27.7740     -27.7740      0.0000
  QRF00005_AP012159.1            73     -12.7120     -12.7120      0.0000
  QRF00005_AM889285.1            73     -12.7120     -12.7120      0.0000
  QRF00005_AGFR01000003.1        73     -14.0349     -14.0349      0.0000
  QRF00005_AFCH01000046.1        73     -12.7120     -12.7120      0.0000
  QRF00005_ADTV01000009.1        73     -12.7120     -12.7120      0.0000
  QRF00005_ABCE01000025.1        73     -18.3487     -18.3487      0.0000
  QRF00005_HM565909.1            72     -13.0146     -13.0146      0.0000
  QRF00005_CAFG01000441.1        73     -23.7730     -23.7730      0.0000
  QRF00005_AACY020656879.1       72     -11.8846     -11.8846      0.0000
  QRF00005_CP001744.1            73     -23.8123     -23.8123      0.0000
  QRF00005_CP000880.1            73     -22.7970     -22.7970      0.0000
  QRF00005_CACD01000012.1        73     -22.7970     -22.7970      0.0000
  QRF00005_CACD01000012.1        73     -22.7970     -22.7970      0.0000
  QRF00005_CACD01000012.1        73     -22.7970     -22.7970      0.0000
  QRF00005_AM849034.1            74     -23.4584     -23.4584      0.0000
  QRF00005_AM711867.1            74     -23.4584     -23.4584      0.0000
  QRF00005_AEQT01000005.1        73     -22.7970     -22.7970      0.0000
  QRF00005_AEQT01000005.1        73     -22.7970     -22.7970      0.0000
  QRF00005_ACDJ01000003.1        73     -22.7970     -22.7970      0.0000
  QRF00005_ABWL02000007.1        73     -22.7970     -22.7970      0.0000
  QRF00005_Z71579.1              73     -21.6426     -21.6426      0.0000
  QRF00005_X53782.1              73     -21.6426     -21.6426      0.0000
  QRF00005_M19391.1              73     -21.6426     -21.6426      0.0000
  QRF00005_M15314.1              73     -21.6426     -21.6426      0.0000
  QRF00005_L42023.1              73     -21.6426     -21.6426      0.0000
  QRF00005_L42023.1              73     -21.6426     -21.6426      0.0000
  QRF00005_L42023.1              73     -21.6426     -21.6426      0.0000
  QRF00005_FQ670204.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ670204.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ670204.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ670178.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ670178.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ670178.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ670178.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ312006.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ312006.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ312006.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ312002.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ312002.1            73     -21.6426     -21.6426      0.0000
  QRF00005_FQ312002.1            73     -21.6426     -21.6426      0.0000
  QRF00005_EF196803.1            73     -21.6426     -21.6426      0.0000
  QRF00005_EF196803.1            73     -21.6426     -21.6426      0.0000
  QRF00005_CP003022.1            73     -21.6426     -21.6426      0.0000
  QRF00001_EU093378.1           119     -18.5428     -18.5428      0.0000
  QRF00001_AAAA02047827.1       119     -18.5428     -18.5428      0.0000
  QRF00001_AAAA02043281.1       119     -19.4098     -19.4098      0.0000
  QRF00001_EF064700.1           119     -19.7537     -19.7537      0.0000
  QRF00001_EF064692.1           119     -19.7537     -19.7537      0.0000
  QRF00001_EF064687.1           119     -19.7537     -19.7537      0.0000
  QRF00001_EF064680.1           119     -19.7537     -19.7537      0.0000
  QRF00001_EF064678.1           119     -19.7537     -19.7537      0.0000
  QRF00001_EF064556.1           119     -19.7537     -19.7537      0.0000
  QRF00001_AJ390135.1           119     -19.7537     -19.7537      0.0000
  QRF00001_HQ270965.1           119     -18.5428     -18.5428      0.0000
  QRF00001_GQ324770.1           119     -18.5428     -18.5428      0.0000
  QRF00001_FJ882503.1           119     -18.5428     -18.5428      0.0000
  QRF00001_AF550740.1           119     -18.5428     -18.5428      0.0000
  QRF00001_HQ270648.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU924818.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU093153.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EF524209.1           119     -18.5428     -18.5428      0.0000
  QRF00001_AY316209.1           119     -18.5428     -18.5428      0.0000
  QRF00001_AY034674.1           119     -18.5428     -18.5428      0.0000
  QRF00001_AJ409525.1           119     -18.5428     -18.5428      0.0000
  QRF00001_AF550715.1           119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01010155.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01009775.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01009775.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01009775.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01009135.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01009119.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01009117.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01005845.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01005845.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01005844.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01005841.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01005839.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01005838.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01005838.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01005835.1       119     -18.5428     -18.5428      0.0000
  QRF00001_ABXC01005835.1       119     -18.5428     -18.5428      0.0000
  QRF00001_AAAA02039752.1       119     -18.5428     -18.5428      0.0000
  QRF00001_EU925066.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU093209.1           119     -18.5428     -18.5428      0.0000
  QRF00001_U02637.1             119     -18.5428     -18.5428      0.0000
  QRF00001_EU439291.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU439286.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU439284.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU439282.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU439280.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU439279.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU439278.1           119     -18.5428     -18.5428      0.0000
  QRF00001_EU439277.1           119     -18.5428     -18.5428      0.0000
  QRF01704_ACNY01000005.1        62     -31.4802     -31.4802      0.0000
  QRF01704_ADXL01000065.1        61     -31.7250     -31.7250      0.0000
  QRF01704_ADXL01000046.1        61     -31.6787     -31.6787      0.0000
  QRF01704_ADHP01001127.1        63     -25.8867     -25.8867      0.0000
  QRF01704_ADXM01000029.1        71     -31.0635     -31.0635      0.0000
  QRF01704_FJ869257.1            62     -31.4802     -31.4802      0.0000
  QRF01704_BX569692.1            62     -31.4802     -31.4802      0.0000
  QRF01704_AACY023835177.1       64     -30.1645     -30.1645      0.0000
  QRF01704_ACNY01000003.1        61     -30.9838     -30.9838      0.0000
  QRF01704_AACY020212823.1       62     -27.9131     -27.9131      0.0000
  QRF01704_GQ237222.1            58     -34.7678     -34.7678      0.0000
  QRF01704_ADHP01000860.1        64     -22.6698     -22.6698      0.0000
  QRF01704_AACY020313707.1       62     -35.4067     -35.4067      0.0000
  QRF01704_ACDW01000004.1        62     -29.4114     -29.4114      0.0000
  QRF01704_AACY022014507.1       62     -29.6634     -29.6634      0.0000
  QRF01704_ADHP01000878.1        59     -29.6336     -29.6336      0.0000
  QRF01704_AACY022415810.1       58     -30.8091     -30.8091      0.0000
  QRF01704_AACY020575673.1       58     -30.8091     -30.8091      0.0000
  QRF01704_ACNY01000005.1        59     -31.1044     -31.1044      0.0000
  QRF01704_ADHP01000854.1        63     -22.2142     -22.2142      0.0000
  QRF01704_GU936714.1            59     -30.4557     -30.4557      0.0000
  QRF01704_AACY021622950.1       62     -29.2891     -29.2891      0.0000
  QRF01704_CP000825.1            58     -32.5659     -32.5659      0.0000
  QRF01704_EU795157.1            64     -31.1271     -31.1271      0.0000
  QRF01704_ABVN01004790.1        61     -32.8724     -32.8724      0.0000
  QRF01704_ABMN01086741.1        60     -26.3522     -26.3522      0.0000
  QRF01704_DQ325539.1            60     -34.9460     -34.9460      0.0000
  QRF01704_ACNY01000005.1        62     -31.1132     -31.1132      0.0000
  QRF01704_ACNY01000004.1        60     -34.5079     -34.5079      0.0000
  QRF01704_ABVT01000061.1        57     -30.9237     -30.9237      0.0000
  QRF00023_CP001665.1           363      -1.2107      -1.2107      0.0000
  QRF00023_CP001509.3           363      -1.2107      -1.2107      0.0000
  QRF00023_CP000819.1           363      -1.2107      -1.2107      0.0000
  QRF00023_AM946981.2           363      -1.2107      -1.2107      0.0000
  QRF00023_ADTQ01000184.1       363      -1.2107      -1.2107      0.0000
  QRF00023_ADBT01000188.1       363      -1.2107      -1.2107      0.0000
  QRF00023_FN543093.2           364      -6.1903      -6.1903      0.0000
  QRF00023_AFAG01000033.1       363      -4.5197      -4.5197      0.0000
  QRF00023_AFAF01000014.1       363      -4.5197      -4.5197      0.0000
  QRF00023_ADUS01000034.1       363      -4.5197      -4.5197      0.0000
  QRF00023_U36840.1             363      -4.5197      -4.5197      0.0000
  QRF00023_FN649414.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CU928162.2           363      -4.5197      -4.5197      0.0000
  QRF00023_CU928161.2           363      -4.5197      -4.5197      0.0000
  QRF00023_CU928158.2           363      -4.5197      -4.5197      0.0000
  QRF00023_CU651637.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP003034.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP002797.2           363      -4.5197      -4.5197      0.0000
  QRF00023_CP002729.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP002516.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP002212.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP002211.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP002185.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP002167.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP001969.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP001855.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP001671.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP001637.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP001396.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP001383.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP000970.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP000948.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP000802.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP000243.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CP000038.1           363      -4.5197      -4.5197      0.0000
  QRF00023_CAFL01000074.1       363      -4.5197      -4.5197      0.0000
  QRF00023_CADZ01000057.1       363      -4.5197      -4.5197      0.0000
  QRF00023_BAAV01002786.1       363      -4.5197      -4.5197      0.0000
  QRF00023_AP012030.1           363      -4.5197      -4.5197      0.0000
  QRF00023_AP010960.1           363      -4.5197      -4.5197      0.0000
  QRF00023_AP010958.1           363      -4.5197      -4.5197      0.0000
  QRF00023_AP010953.1           363      -4.5197      -4.5197      0.0000
  QRF00023_AP009378.1           363      -4.5197      -4.5197      0.0000
  QRF00023_AP009240.1           363      -4.5197      -4.5197      0.0000
  QRF00023_AP009048.1           363      -4.5197      -4.5197      0.0000
  QRF00023_AJ304858.2           363      -4.5197      -4.5197      0.0000
  QRF00023_AGTK01000236.1       363      -4.5197      -4.5197      0.0000
  QRF00023_AGTJ01000345.1       363      -4.5197      -4.5197      0.0000
  QRF00023_AGTI01000029.1       363      -4.5197      -4.5197      0.0000
  QRF00023_AGTH01000033.1       363      -4.5197      -4.5197      0.0000
  QRF00010_CP002738.1           351     -10.0727     -10.0727      0.0000
  QRF00010_ABSP01001676.1       350     -13.0051     -13.0051      0.0000
  QRF00010_FO082060.1           365     -10.5354     -10.5354      0.0000
  QRF00010_AFJF01000001.1       394     -10.6459     -10.6459      0.0000
  QRF00010_AEGW02000003.1       350     -11.5774     -11.5774      0.0000
  QRF00010_CP002086.1           354     -14.6729     -14.6729      0.0000
  QRF00010_ACJN02000001.1       533     -10.6711     -10.6711      0.0000
  QRF00010_CP002881.1           360      -4.8558      -4.8558      0.0000
  QRF00010_AFOH01000117.1       345     -13.3025     -13.3025      0.0000
  QRF00010_AACY020185705.1      350     -15.2177     -15.2177      0.0000
  QRF00010_AGSX01000193.1       359      -7.9275      -7.9275      0.0000
  QRF00010_AFWT01000009.1       368     -15.9544     -15.9544      0.0000
  QRF00010_FM209186.1           350     -14.6188     -14.6188      0.0000
  QRF00010_CP002496.1           350     -14.6188     -14.6188      0.0000
  QRF00010_CP000438.1           350     -14.6188     -14.6188      0.0000
  QRF00010_BADP01000198.1       350     -14.6188     -14.6188      0.0000
  QRF00010_AP012280.1           350     -14.6188     -14.6188      0.0000
