# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01736.cm
# date:    Fri May 13 19:42:05 2016
# seed:    1463168525
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  flg-Rhizobiales            search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:12.92       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -35.9165     -35.9165      0.0000
  QRF01739_AGJC01000011.1        62     -38.0237     -38.0237      0.0000
  QRF01739_AP012205.1            62     -47.4376     -47.4376      0.0000
  QRF01739_AEPQ01000180.1        85     -37.6049     -37.6049      0.0000
  QRF01739_AACY023065314.1       57     -49.9538     -49.9538      0.0000
  QRF01739_AACY020081009.1       57     -49.9538     -49.9538      0.0000
  QRF01739_ACSK01000180.1        92     -37.3823     -37.3823      0.0000
  QRF01739_BA000039.2           113     -28.1030     -28.1030      0.0000
  QRF01739_AACY023081145.1       53     -54.3867     -54.3867      0.0000
  QRF01739_AFSR01000238.1        99     -36.7119     -37.4639      0.7521
  QRF01739_AGJC01000003.1        76     -47.8683     -47.8683      0.0000
  QRF01739_AFSR01000146.1        92     -42.1684     -42.1684      0.0000
  QRF01739_CACA01000349.1        84     -36.5314     -36.5314      0.0000
  QRF01739_AACY022751187.1       52     -56.1942     -56.1942      0.0000
  QRF01739_AACY022283709.1       52     -56.1942     -56.1942      0.0000
  QRF01739_ABPS01003770.1       123     -29.9853     -29.9853      0.0000
  QRF01739_AFEJ01000345.1        83     -47.8004     -47.8004      0.0000
  QRF00005_CABR01000029.1        73     -41.6510     -41.6510      0.0000
  QRF00005_AFSR01002788.1        74     -40.8770     -40.8770      0.0000
  QRF00005_CP000927.1            72     -46.4766     -46.4766      0.0000
  QRF00005_AY741371.1            72     -37.3300     -37.3300      0.0000
  QRF00005_AEGR01000006.1        73     -40.5376     -40.5376      0.0000
  QRF00005_CP001189.1            73     -38.4422     -38.4422      0.0000
  QRF00005_CP000493.1            72     -38.3009     -38.3009      0.0000
  QRF00005_AP012159.1            73     -38.4422     -38.4422      0.0000
  QRF00005_AM889285.1            73     -38.4422     -38.4422      0.0000
  QRF00005_AGFR01000003.1        73     -41.2078     -41.2078      0.0000
  QRF00005_AFCH01000046.1        73     -38.4422     -38.4422      0.0000
  QRF00005_ADTV01000009.1        73     -38.4422     -38.4422      0.0000
  QRF00005_ABCE01000025.1        73     -46.2179     -46.2179      0.0000
  QRF00005_HM565909.1            72     -40.7988     -40.7988      0.0000
  QRF00005_CAFG01000441.1        73     -44.7807     -44.7807      0.0000
  QRF00005_AACY020656879.1       72     -41.0198     -41.0198      0.0000
  QRF00005_CP001744.1            73     -42.1551     -42.1551      0.0000
  QRF00005_CP000880.1            73     -42.1491     -42.1491      0.0000
  QRF00005_CACD01000012.1        73     -42.1491     -42.1491      0.0000
  QRF00005_CACD01000012.1        73     -42.1491     -42.1491      0.0000
  QRF00005_CACD01000012.1        73     -42.1491     -42.1491      0.0000
  QRF00005_AM849034.1            74     -43.6219     -43.6219      0.0000
  QRF00005_AM711867.1            74     -43.6219     -43.6219      0.0000
  QRF00005_AEQT01000005.1        73     -42.1491     -42.1491      0.0000
  QRF00005_AEQT01000005.1        73     -42.1491     -42.1491      0.0000
  QRF00005_ACDJ01000003.1        73     -42.1491     -42.1491      0.0000
  QRF00005_ABWL02000007.1        73     -42.1491     -42.1491      0.0000
  QRF00005_Z71579.1              73     -44.7821     -44.7821      0.0000
  QRF00005_X53782.1              73     -44.7821     -44.7821      0.0000
  QRF00005_M19391.1              73     -44.7821     -44.7821      0.0000
  QRF00005_M15314.1              73     -44.7821     -44.7821      0.0000
  QRF00005_L42023.1              73     -44.7821     -44.7821      0.0000
  QRF00005_L42023.1              73     -44.7821     -44.7821      0.0000
  QRF00005_L42023.1              73     -44.7821     -44.7821      0.0000
  QRF00005_FQ670204.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ670204.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ670204.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ670178.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ670178.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ670178.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ670178.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ312006.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ312006.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ312006.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ312002.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ312002.1            73     -44.7821     -44.7821      0.0000
  QRF00005_FQ312002.1            73     -44.7821     -44.7821      0.0000
  QRF00005_EF196803.1            73     -44.7821     -44.7821      0.0000
  QRF00005_EF196803.1            73     -44.7821     -44.7821      0.0000
  QRF00005_CP003022.1            73     -44.7821     -44.7821      0.0000
