# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01798.cm
# date:    Sat May 14 02:14:03 2016
# seed:    1463192043
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  g2                         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:25.24       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -13.8325     -13.8325      0.0000
  QRF01739_AGJC01000011.1        62     -12.5543     -12.5543      0.0000
  QRF01739_AP012205.1            62     -13.6235     -13.6235      0.0000
  QRF01739_AEPQ01000180.1        85      -8.3027      -8.3027      0.0000
  QRF01739_AACY023065314.1       57     -14.3558     -14.3558      0.0000
  QRF01739_AACY020081009.1       57     -14.3558     -14.3558      0.0000
  QRF01739_ACSK01000180.1        92      -4.3587      -4.3587      0.0000
  QRF01739_BA000039.2           113      -8.2798      -8.2798      0.0000
  QRF01739_AACY023081145.1       53     -15.9030     -15.9030      0.0000
  QRF01739_AFSR01000238.1        99     -16.6907     -16.6907      0.0000
  QRF01739_AGJC01000003.1        76     -10.8239     -10.8239      0.0000
  QRF01739_AFSR01000146.1        92      -8.6558      -8.6558      0.0000
  QRF01739_CACA01000349.1        84     -15.9311     -15.9311      0.0000
  QRF01739_AACY022751187.1       52     -16.4290     -16.4290      0.0000
  QRF01739_AACY022283709.1       52     -16.4290     -16.4290      0.0000
  QRF01739_ABPS01003770.1       123      -6.0201      -6.0201      0.0000
  QRF01739_AFEJ01000345.1        83     -11.2006     -11.2006      0.0000
  QRF00005_CABR01000029.1        73      -7.9611      -7.9611      0.0000
  QRF00005_AFSR01002788.1        74      -8.4831      -8.4831      0.0000
  QRF00005_CP000927.1            72      -8.8155      -8.8155      0.0000
  QRF00005_AY741371.1            72     -10.0895     -10.0895      0.0000
  QRF00005_AEGR01000006.1        73      -6.8303      -6.8303      0.0000
  QRF00005_CP001189.1            73      -9.4967      -9.4967      0.0000
  QRF00005_CP000493.1            72      -8.3163      -8.3163      0.0000
  QRF00005_AP012159.1            73      -9.4967      -9.4967      0.0000
  QRF00005_AM889285.1            73      -9.4967      -9.4967      0.0000
  QRF00005_AGFR01000003.1        73      -3.0977      -3.0977      0.0000
  QRF00005_AFCH01000046.1        73      -9.4967      -9.4967      0.0000
  QRF00005_ADTV01000009.1        73      -9.4967      -9.4967      0.0000
  QRF00005_ABCE01000025.1        73      -9.1577      -9.1577      0.0000
  QRF00005_HM565909.1            72     -10.1905     -10.1905      0.0000
  QRF00005_CAFG01000441.1        73      -6.7383      -6.7383      0.0000
  QRF00005_AACY020656879.1       72     -10.3051     -10.3051      0.0000
  QRF00005_CP001744.1            73      -9.7166      -9.7166      0.0000
  QRF00005_CP000880.1            73      -6.7103      -6.7103      0.0000
  QRF00005_CACD01000012.1        73      -6.7103      -6.7103      0.0000
  QRF00005_CACD01000012.1        73      -6.7103      -6.7103      0.0000
  QRF00005_CACD01000012.1        73      -6.7103      -6.7103      0.0000
  QRF00005_AM849034.1            74     -13.5314     -13.5314      0.0000
  QRF00005_AM711867.1            74     -13.5314     -13.5314      0.0000
  QRF00005_AEQT01000005.1        73      -6.7103      -6.7103      0.0000
  QRF00005_AEQT01000005.1        73      -6.7103      -6.7103      0.0000
  QRF00005_ACDJ01000003.1        73      -6.7103      -6.7103      0.0000
  QRF00005_ABWL02000007.1        73      -6.7103      -6.7103      0.0000
  QRF00005_Z71579.1              73      -6.3687      -6.3687      0.0000
  QRF00005_X53782.1              73      -6.3687      -6.3687      0.0000
  QRF00005_M19391.1              73      -6.3687      -6.3687      0.0000
  QRF00005_M15314.1              73      -6.3687      -6.3687      0.0000
  QRF00005_L42023.1              73      -6.3687      -6.3687      0.0000
  QRF00005_L42023.1              73      -6.3687      -6.3687      0.0000
  QRF00005_L42023.1              73      -6.3687      -6.3687      0.0000
  QRF00005_FQ670204.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ670204.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ670204.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ670178.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ670178.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ670178.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ670178.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ312006.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ312006.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ312006.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ312002.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ312002.1            73      -6.3687      -6.3687      0.0000
  QRF00005_FQ312002.1            73      -6.3687      -6.3687      0.0000
  QRF00005_EF196803.1            73      -6.3687      -6.3687      0.0000
  QRF00005_EF196803.1            73      -6.3687      -6.3687      0.0000
  QRF00005_CP003022.1            73      -6.3687      -6.3687      0.0000
  QRF00001_EU093378.1           119     -10.7176     -10.7176      0.0000
  QRF00001_AAAA02047827.1       119     -11.3469     -11.3469      0.0000
  QRF00001_AAAA02043281.1       119      -9.4665      -9.4665      0.0000
  QRF00001_EF064700.1           119     -11.3469     -11.3469      0.0000
  QRF00001_EF064692.1           119     -11.3469     -11.3469      0.0000
  QRF00001_EF064687.1           119     -11.3469     -11.3469      0.0000
  QRF00001_EF064680.1           119     -11.3469     -11.3469      0.0000
  QRF00001_EF064678.1           119     -11.3469     -11.3469      0.0000
  QRF00001_EF064556.1           119     -11.3469     -11.3469      0.0000
  QRF00001_AJ390135.1           119     -11.3469     -11.3469      0.0000
  QRF00001_HQ270965.1           119     -10.7176     -10.7176      0.0000
  QRF00001_GQ324770.1           119     -10.7176     -10.7176      0.0000
  QRF00001_FJ882503.1           119     -10.7176     -10.7176      0.0000
  QRF00001_AF550740.1           119     -10.7176     -10.7176      0.0000
  QRF00001_HQ270648.1           119     -10.7176     -10.7176      0.0000
