# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00517.cm
# date:    Fri May 13 20:39:48 2016
# seed:    1463171988
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  serC                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:18.11       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -5.1333      -5.1333      0.0000
  QRF01739_AGJC01000011.1        62      -2.8657      -2.8657      0.0000
  QRF01739_AP012205.1            62     -14.8245     -14.8245      0.0000
  QRF01739_AEPQ01000180.1        85     -14.3393     -14.3393      0.0000
  QRF01739_AACY023065314.1       57      -8.9230      -8.9230      0.0000
  QRF01739_AACY020081009.1       57      -8.9230      -8.9230      0.0000
  QRF01739_ACSK01000180.1        92     -13.7441     -13.7441      0.0000
  QRF01739_BA000039.2           113     -12.1732     -12.1732      0.0000
  QRF01739_AACY023081145.1       53     -13.2403     -13.2403      0.0000
  QRF01739_AFSR01000238.1        99     -11.9436     -11.9436      0.0000
  QRF01739_AGJC01000003.1        76      -8.7516      -8.7516      0.0000
  QRF01739_AFSR01000146.1        92     -15.8090     -15.8090      0.0000
  QRF01739_CACA01000349.1        84     -14.5159     -14.5159      0.0000
  QRF01739_AACY022751187.1       52     -13.0556     -13.0556      0.0000
  QRF01739_AACY022283709.1       52     -13.0556     -13.0556      0.0000
  QRF01739_ABPS01003770.1       123      -9.7717      -9.7717      0.0000
  QRF01739_AFEJ01000345.1        83     -18.9590     -18.9590      0.0000
  QRF00005_CABR01000029.1        73     -18.7356     -18.7356      0.0000
  QRF00005_AFSR01002788.1        74     -17.4075     -17.4075      0.0000
  QRF00005_CP000927.1            72     -14.7902     -14.7902      0.0000
  QRF00005_AY741371.1            72     -12.9167     -12.9167      0.0000
  QRF00005_AEGR01000006.1        73     -17.6366     -17.6366      0.0000
  QRF00005_CP001189.1            73     -15.6274     -15.6274      0.0000
  QRF00005_CP000493.1            72     -13.6116     -13.6116      0.0000
  QRF00005_AP012159.1            73     -15.6274     -15.6274      0.0000
  QRF00005_AM889285.1            73     -15.6274     -15.6274      0.0000
  QRF00005_AGFR01000003.1        73     -15.7538     -15.7538      0.0000
  QRF00005_AFCH01000046.1        73     -15.6274     -15.6274      0.0000
  QRF00005_ADTV01000009.1        73     -15.6274     -15.6274      0.0000
  QRF00005_ABCE01000025.1        73     -13.3964     -13.3964      0.0000
  QRF00005_HM565909.1            72     -10.9553     -10.9553      0.0000
  QRF00005_CAFG01000441.1        73     -17.6366     -17.6366      0.0000
  QRF00005_AACY020656879.1       72     -11.9933     -11.9933      0.0000
  QRF00005_CP001744.1            73     -14.4779     -14.4779      0.0000
  QRF00005_CP000880.1            73     -19.1443     -19.1443      0.0000
  QRF00005_CACD01000012.1        73     -19.1443     -19.1443      0.0000
  QRF00005_CACD01000012.1        73     -19.1443     -19.1443      0.0000
  QRF00005_CACD01000012.1        73     -19.1443     -19.1443      0.0000
  QRF00005_AM849034.1            74     -12.9374     -12.9374      0.0000
  QRF00005_AM711867.1            74     -12.9374     -12.9374      0.0000
  QRF00005_AEQT01000005.1        73     -19.1443     -19.1443      0.0000
  QRF00005_AEQT01000005.1        73     -19.1443     -19.1443      0.0000
  QRF00005_ACDJ01000003.1        73     -19.1443     -19.1443      0.0000
  QRF00005_ABWL02000007.1        73     -19.1443     -19.1443      0.0000
  QRF00005_Z71579.1              73     -17.1903     -17.1903      0.0000
  QRF00005_X53782.1              73     -17.1903     -17.1903      0.0000
  QRF00005_M19391.1              73     -17.1903     -17.1903      0.0000
  QRF00005_M15314.1              73     -17.1903     -17.1903      0.0000
  QRF00005_L42023.1              73     -17.1903     -17.1903      0.0000
  QRF00005_L42023.1              73     -17.1903     -17.1903      0.0000
  QRF00005_L42023.1              73     -17.1903     -17.1903      0.0000
  QRF00005_FQ670204.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ670204.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ670204.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ670178.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ670178.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ670178.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ670178.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ312006.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ312006.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ312006.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ312002.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ312002.1            73     -17.1903     -17.1903      0.0000
  QRF00005_FQ312002.1            73     -17.1903     -17.1903      0.0000
  QRF00005_EF196803.1            73     -17.1903     -17.1903      0.0000
  QRF00005_EF196803.1            73     -17.1903     -17.1903      0.0000
  QRF00005_CP003022.1            73     -17.1903     -17.1903      0.0000
  QRF00001_EU093378.1           119     -13.4553     -13.4553      0.0000
  QRF00001_AAAA02047827.1       119     -13.4553     -13.4553      0.0000
  QRF00001_AAAA02043281.1       119     -13.4553     -13.4553      0.0000
  QRF00001_EF064700.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EF064692.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EF064687.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EF064680.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EF064678.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EF064556.1           119     -13.4553     -13.4553      0.0000
  QRF00001_AJ390135.1           119     -13.4553     -13.4553      0.0000
  QRF00001_HQ270965.1           119     -13.4553     -13.4553      0.0000
  QRF00001_GQ324770.1           119     -13.4553     -13.4553      0.0000
  QRF00001_FJ882503.1           119     -13.4553     -13.4553      0.0000
  QRF00001_AF550740.1           119     -13.4553     -13.4553      0.0000
  QRF00001_HQ270648.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU924818.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU093153.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EF524209.1           119     -13.4553     -13.4553      0.0000
  QRF00001_AY316209.1           119     -13.4553     -13.4553      0.0000
  QRF00001_AY034674.1           119     -13.4553     -13.4553      0.0000
  QRF00001_AJ409525.1           119     -13.4553     -13.4553      0.0000
  QRF00001_AF550715.1           119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01010155.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01009775.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01009775.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01009775.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01009135.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01009119.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01009117.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01005845.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01005845.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01005844.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01005841.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01005839.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01005838.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01005838.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01005835.1       119     -13.4553     -13.4553      0.0000
  QRF00001_ABXC01005835.1       119     -13.4553     -13.4553      0.0000
  QRF00001_AAAA02039752.1       119     -12.6010     -12.6010      0.0000
  QRF00001_EU925066.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU093209.1           119     -13.4553     -13.4553      0.0000
  QRF00001_U02637.1             119     -13.4553     -13.4553      0.0000
  QRF00001_EU439291.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU439286.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU439284.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU439282.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU439280.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU439279.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU439278.1           119     -13.4553     -13.4553      0.0000
  QRF00001_EU439277.1           119     -13.4553     -13.4553      0.0000
  QRF01704_ACNY01000005.1        62     -18.4729     -18.4729      0.0000
  QRF01704_ADXL01000065.1        61      -3.3209      -3.3209      0.0000
  QRF01704_ADXL01000046.1        61      -2.6003      -2.6003      0.0000
  QRF01704_ADHP01001127.1        63     -13.4526     -13.4526      0.0000
  QRF01704_ADXM01000029.1        71     -18.8310     -18.8310      0.0000
  QRF01704_FJ869257.1            62     -13.7257     -13.7257      0.0000
  QRF01704_BX569692.1            62     -13.7257     -13.7257      0.0000
  QRF01704_AACY023835177.1       64     -10.1839     -10.1839      0.0000
  QRF01704_ACNY01000003.1        61     -14.9283     -14.9283      0.0000
  QRF01704_AACY020212823.1       62     -18.2620     -18.2620      0.0000
  QRF01704_GQ237222.1            58     -13.4945     -13.4945      0.0000
  QRF01704_ADHP01000860.1        64     -19.0240     -19.0240      0.0000
  QRF01704_AACY020313707.1       62     -15.3595     -15.3595      0.0000
  QRF01704_ACDW01000004.1        62     -18.3736     -18.3736      0.0000
  QRF01704_AACY022014507.1       62     -18.7813     -18.7813      0.0000
  QRF01704_ADHP01000878.1        59     -13.6635     -13.6635      0.0000
