# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00018.cm
# date:    Fri May 13 19:21:09 2016
# seed:    1463167269
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  CsrB                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:04:41.60       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -177.9994    -177.9994      0.0000
  QRF01739_AGJC01000011.1        62    -182.0572    -182.0572      0.0000
  QRF01739_AP012205.1            62    -176.5589    -176.5589      0.0000
  QRF01739_AEPQ01000180.1        85    -161.3117    -161.3117      0.0000
  QRF01739_AACY023065314.1       57    -180.9047    -180.9047      0.0000
  QRF01739_AACY020081009.1       57    -180.9047    -180.9047      0.0000
  QRF01739_ACSK01000180.1        92    -162.9053    -162.9053      0.0000
  QRF01739_BA000039.2           113    -147.2376    -147.2376      0.0000
  QRF01739_AACY023081145.1       53    -186.7711    -186.7711      0.0000
  QRF01739_AFSR01000238.1        99    -155.4145    -155.4145      0.0000
  QRF01739_AGJC01000003.1        76    -170.7790    -170.7790      0.0000
  QRF01739_AFSR01000146.1        92    -154.3619    -154.3619      0.0000
  QRF01739_CACA01000349.1        84    -158.0073    -158.0073      0.0000
  QRF01739_AACY022751187.1       52    -187.5265    -187.5265      0.0000
  QRF01739_AACY022283709.1       52    -187.5265    -187.5265      0.0000
  QRF01739_ABPS01003770.1       123    -136.5828    -136.5828      0.0000
  QRF01739_AFEJ01000345.1        83    -176.5916    -176.5916      0.0000
  QRF00005_CABR01000029.1        73    -182.0765    -182.0765      0.0000
  QRF00005_AFSR01002788.1        74    -176.2101    -176.2101      0.0000
  QRF00005_CP000927.1            72    -177.9286    -177.9286      0.0000
  QRF00005_AY741371.1            72    -181.5948    -181.5948      0.0000
  QRF00005_AEGR01000006.1        73    -182.5083    -182.5083      0.0000
  QRF00005_CP001189.1            73    -174.9760    -174.9760      0.0000
  QRF00005_CP000493.1            72    -175.8698    -175.8698      0.0000
  QRF00005_AP012159.1            73    -174.9760    -174.9760      0.0000
  QRF00005_AM889285.1            73    -174.9760    -174.9760      0.0000
  QRF00005_AGFR01000003.1        73    -176.5208    -176.5208      0.0000
  QRF00005_AFCH01000046.1        73    -174.9760    -174.9760      0.0000
  QRF00005_ADTV01000009.1        73    -174.9760    -174.9760      0.0000
  QRF00005_ABCE01000025.1        73    -177.8637    -177.8637      0.0000
  QRF00005_HM565909.1            72    -180.9627    -180.9627      0.0000
  QRF00005_CAFG01000441.1        73    -182.7628    -182.7628      0.0000
  QRF00005_AACY020656879.1       72    -181.9734    -181.9734      0.0000
  QRF00005_CP001744.1            73    -181.3916    -181.3916      0.0000
  QRF00005_CP000880.1            73    -182.3030    -182.3030      0.0000
  QRF00005_CACD01000012.1        73    -182.3030    -182.3030      0.0000
  QRF00005_CACD01000012.1        73    -182.3030    -182.3030      0.0000
  QRF00005_CACD01000012.1        73    -182.3030    -182.3030      0.0000
  QRF00005_AM849034.1            74    -173.1633    -173.1633      0.0000
  QRF00005_AM711867.1            74    -173.1633    -173.1633      0.0000
  QRF00005_AEQT01000005.1        73    -182.3030    -182.3030      0.0000
  QRF00005_AEQT01000005.1        73    -182.3030    -182.3030      0.0000
  QRF00005_ACDJ01000003.1        73    -182.3030    -182.3030      0.0000
  QRF00005_ABWL02000007.1        73    -182.3030    -182.3030      0.0000
  QRF00005_Z71579.1              73    -182.4941    -182.4941      0.0000
  QRF00005_X53782.1              73    -182.4941    -182.4941      0.0000
  QRF00005_M19391.1              73    -182.4941    -182.4941      0.0000
  QRF00005_M15314.1              73    -182.4941    -182.4941      0.0000
  QRF00005_L42023.1              73    -182.4941    -182.4941      0.0000
  QRF00005_L42023.1              73    -182.4941    -182.4941      0.0000
  QRF00005_L42023.1              73    -182.4941    -182.4941      0.0000
  QRF00005_FQ670204.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ670204.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ670204.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ670178.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ670178.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ670178.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ670178.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ312006.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ312006.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ312006.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ312002.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ312002.1            73    -182.4941    -182.4941      0.0000
  QRF00005_FQ312002.1            73    -182.4941    -182.4941      0.0000
  QRF00005_EF196803.1            73    -182.4941    -182.4941      0.0000
  QRF00005_EF196803.1            73    -182.4941    -182.4941      0.0000
  QRF00005_CP003022.1            73    -182.4941    -182.4941      0.0000
  QRF00001_EU093378.1           119    -143.9792    -143.9792      0.0000
  QRF00001_AAAA02047827.1       119    -147.8499    -147.8499      0.0000
  QRF00001_AAAA02043281.1       119    -146.0983    -146.0983      0.0000
  QRF00001_EF064700.1           119    -145.3524    -145.3524      0.0000
  QRF00001_EF064692.1           119    -145.3524    -145.3524      0.0000
  QRF00001_EF064687.1           119    -145.3524    -145.3524      0.0000
  QRF00001_EF064680.1           119    -145.3524    -145.3524      0.0000
  QRF00001_EF064678.1           119    -145.3524    -145.3524      0.0000
  QRF00001_EF064556.1           119    -145.3524    -145.3524      0.0000
  QRF00001_AJ390135.1           119    -145.3524    -145.3524      0.0000
  QRF00001_HQ270965.1           119    -146.0882    -146.0882      0.0000
  QRF00001_GQ324770.1           119    -146.0882    -146.0882      0.0000
  QRF00001_FJ882503.1           119    -146.0882    -146.0882      0.0000
  QRF00001_AF550740.1           119    -146.0882    -146.0882      0.0000
  QRF00001_HQ270648.1           119    -146.3313    -146.3313      0.0000
  QRF00001_EU924818.1           119    -146.3313    -146.3313      0.0000
  QRF00001_EU093153.1           119    -146.3313    -146.3313      0.0000
  QRF00001_EF524209.1           119    -146.3313    -146.3313      0.0000
  QRF00001_AY316209.1           119    -146.3313    -146.3313      0.0000
  QRF00001_AY034674.1           119    -146.3313    -146.3313      0.0000
  QRF00001_AJ409525.1           119    -146.3313    -146.3313      0.0000
  QRF00001_AF550715.1           119    -146.3313    -146.3313      0.0000
  QRF00001_ABXC01010155.1       119    -146.3313    -146.3313      0.0000
  QRF00001_ABXC01009775.1       119    -146.3313    -146.3313      0.0000
  QRF00001_ABXC01009775.1       119    -146.3313    -146.3313      0.0000
  QRF00001_ABXC01009775.1       119    -146.3313    -146.3313      0.0000
