ID	Len	GC	Group
novel-1hp_1	71	0.479	novel-1hp
novel-1hp_10	71	0.366	novel-1hp
novel-1hp_11	71	0.521	novel-1hp
novel-1hp_12	71	0.521	novel-1hp
novel-1hp_13	71	0.606	novel-1hp
novel-1hp_14	71	0.535	novel-1hp
novel-1hp_15	71	0.563	novel-1hp
novel-1hp_16	71	0.394	novel-1hp
novel-1hp_17	71	0.535	novel-1hp
novel-1hp_18	71	0.408	novel-1hp
novel-1hp_19	71	0.493	novel-1hp
novel-1hp_2	71	0.423	novel-1hp
novel-1hp_20	71	0.507	novel-1hp
novel-1hp_21	71	0.592	novel-1hp
novel-1hp_22	71	0.338	novel-1hp
novel-1hp_23	71	0.535	novel-1hp
novel-1hp_24	71	0.465	novel-1hp
novel-1hp_25	71	0.451	novel-1hp
novel-1hp_26	71	0.549	novel-1hp
novel-1hp_27	71	0.465	novel-1hp
novel-1hp_28	71	0.549	novel-1hp
novel-1hp_29	71	0.408	novel-1hp
novel-1hp_3	71	0.563	novel-1hp
novel-1hp_30	71	0.648	novel-1hp
novel-1hp_31	71	0.577	novel-1hp
novel-1hp_32	71	0.577	novel-1hp
novel-1hp_33	71	0.296	novel-1hp
novel-1hp_34	71	0.324	novel-1hp
novel-1hp_35	71	0.423	novel-1hp
novel-1hp_36	71	0.465	novel-1hp
novel-1hp_37	71	0.507	novel-1hp
novel-1hp_38	71	0.493	novel-1hp
novel-1hp_39	71	0.408	novel-1hp
novel-1hp_4	71	0.535	novel-1hp
novel-1hp_40	71	0.338	novel-1hp
novel-1hp_41	71	0.577	novel-1hp
novel-1hp_42	71	0.507	novel-1hp
novel-1hp_43	71	0.366	novel-1hp
novel-1hp_44	71	0.535	novel-1hp
novel-1hp_45	71	0.394	novel-1hp
novel-1hp_46	71	0.465	novel-1hp
novel-1hp_47	71	0.437	novel-1hp
novel-1hp_48	71	0.465	novel-1hp
novel-1hp_49	71	0.437	novel-1hp
novel-1hp_5	71	0.521	novel-1hp
novel-1hp_50	71	0.535	novel-1hp
novel-1hp_6	71	0.366	novel-1hp
novel-1hp_7	71	0.352	novel-1hp
novel-1hp_8	71	0.352	novel-1hp
novel-1hp_9	71	0.606	novel-1hp
