ClustID	SigLvl	Count	MFE	AvgDist	Members
1686	**	3	-	0.24	RF00004_23,RF00004_39,RF00004_66
730	**	4	-	0.30	RF00032_2,RF00032_25,RF00032_31,RF00032_36
1883	**	3	-	0.31	RF00032_33,RF00032_34,RF00032_8
1469	**	3	-	0.32	RF00020_34,RF00020_43,RF00020_54
494	**	3	-	0.32	RF00018_1,RF00018_2,RF00018_6
840	**	4	-	0.33	RF00019_1,RF00019_11,RF00019_18,RF00019_6
1760	**	3	-	0.34	RF00032_10,RF00032_29,RF00032_37
1358	**	3	-	0.35	RF00032_17,RF00032_40,RF00032_9
1129	**	3	-	0.36	RF00009_13,RF00009_20,RF00009_51
1122	**	3	-	0.36	RF00010_13,RF00010_16,RF00010_53
192	**	3	-	0.37	RF00020_10,RF00020_68,RF00020_9
1548	**	3	-	0.38	RF00019_10,RF00019_22,RF00019_7
1747	**	3	-	0.38	RF00019_12,RF00019_3,RF00019_9
97	**	3	-	0.38	RF00019_13,RF00019_2,RF00019_24
848	**	4	-	0.39	RF00020_27,RF00020_61,RF00020_62,RF00020_73
594	**	3	-	0.40	RF00002_12,RF00002_21,RF00002_6
163	**	3	-	0.40	RF00001_14,RF00001_4,RF00001_79
1366	**	3	-	0.40	RF00010_11,RF00010_51,RF00010_95
1382	**	3	-	0.40	RF00020_28,RF00020_3,RF00020_30
214	**	3	-	0.41	RF00010_27,RF00010_54,RF00010_66
87	**	3	-	0.41	RF00010_63,RF00010_79,RF00010_8
1265	**	3	-	0.42	RF00001_15,RF00001_64,RF00001_74
1070	**	3	-	0.42	RF00010_12,RF00010_92,RF00010_98
1783	**	3	-	0.42	RF00013_2,RF00013_3,RF00013_8
1150	**	3	-	0.42	RF00006_34,RF00006_43,RF00006_45
463	**	3	-	0.43	RF00004_22,RF00004_28,RF00004_65
427	**	4	-	0.43	RF00020_14,RF00020_24,RF00020_55,RF00020_71
1691	**	3	-	0.43	RF00010_47,RF00010_73,RF00010_82
1456	**	3	-	0.43	RF00020_16,RF00020_26,RF00020_48
1535	**	3	-	0.43	RF00005_53,RF00005_79,RF00005_86
231	**	3	-	0.44	RF00008_12,RF00008_13,RF00008_4
1108	**	3	-	0.44	RF00010_44,RF00010_86,RF00010_99
1124	**	3	-	0.44	RF00011_10,RF00011_11,RF00011_8
533	**	3	-	0.44	RF00013_23,RF00013_43,RF00013_52
193	**	3	-	0.45	RF00020_17,RF00020_19,RF00020_74
1824	**	3	-	0.45	RF00004_14,RF00004_42,RF00004_7
588	**	3	-	0.45	RF00006_1,RF00006_29,RF00006_36
27	**	4	-	0.45	RF00004_29,RF00004_31,RF00004_44,RF00004_6
179	**	3	-	0.45	RF00015_14,RF00015_55,RF00015_9
