# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01712.cm
# date:    Fri May 13 21:10:23 2016
# seed:    1463173823
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Methylobacterium-1         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:52.80       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -25.3169     -25.3169      0.0000
  QRF01739_AGJC01000011.1        62     -22.7263     -22.7263      0.0000
  QRF01739_AP012205.1            62     -28.2682     -28.2682      0.0000
  QRF01739_AEPQ01000180.1        85     -29.7251     -29.7251      0.0000
  QRF01739_AACY023065314.1       57     -28.3560     -28.3560      0.0000
  QRF01739_AACY020081009.1       57     -28.3560     -28.3560      0.0000
  QRF01739_ACSK01000180.1        92     -31.9310     -31.9310      0.0000
  QRF01739_BA000039.2           113     -24.2529     -24.2529      0.0000
  QRF01739_AACY023081145.1       53     -29.8944     -29.8944      0.0000
  QRF01739_AFSR01000238.1        99     -30.6872     -30.6872      0.0000
  QRF01739_AGJC01000003.1        76     -28.8520     -28.8520      0.0000
  QRF01739_AFSR01000146.1        92     -24.2116     -24.2116      0.0000
  QRF01739_CACA01000349.1        84     -34.3871     -34.3871      0.0000
  QRF01739_AACY022751187.1       52     -35.5497     -35.5497      0.0000
  QRF01739_AACY022283709.1       52     -35.5497     -35.5497      0.0000
  QRF01739_ABPS01003770.1       123     -16.1489     -16.1489      0.0000
  QRF01739_AFEJ01000345.1        83     -26.7620     -26.7620      0.0000
  QRF00005_CABR01000029.1        73     -21.2093     -21.2093      0.0000
  QRF00005_AFSR01002788.1        74     -21.3143     -21.3143      0.0000
  QRF00005_CP000927.1            72     -27.1427     -27.1427      0.0000
  QRF00005_AY741371.1            72     -24.5054     -24.5054      0.0000
  QRF00005_AEGR01000006.1        73     -26.9029     -26.9029      0.0000
  QRF00005_CP001189.1            73     -22.2019     -22.2019      0.0000
  QRF00005_CP000493.1            72     -25.1454     -25.1454      0.0000
  QRF00005_AP012159.1            73     -22.2019     -22.2019      0.0000
  QRF00005_AM889285.1            73     -22.2019     -22.2019      0.0000
  QRF00005_AGFR01000003.1        73     -22.0053     -22.0053      0.0000
  QRF00005_AFCH01000046.1        73     -22.2019     -22.2019      0.0000
  QRF00005_ADTV01000009.1        73     -22.2019     -22.2019      0.0000
  QRF00005_ABCE01000025.1        73     -25.5474     -25.5474      0.0000
  QRF00005_HM565909.1            72     -23.3274     -23.3274      0.0000
  QRF00005_CAFG01000441.1        73     -23.0760     -23.0760      0.0000
  QRF00005_AACY020656879.1       72     -26.3439     -26.3439      0.0000
  QRF00005_CP001744.1            73     -23.6224     -23.6224      0.0000
  QRF00005_CP000880.1            73     -16.9553     -16.9553      0.0000
  QRF00005_CACD01000012.1        73     -16.9553     -16.9553      0.0000
  QRF00005_CACD01000012.1        73     -16.9553     -16.9553      0.0000
  QRF00005_CACD01000012.1        73     -16.9553     -16.9553      0.0000
  QRF00005_AM849034.1            74     -26.5071     -26.5071      0.0000
  QRF00005_AM711867.1            74     -26.5071     -26.5071      0.0000
  QRF00005_AEQT01000005.1        73     -16.9553     -16.9553      0.0000
  QRF00005_AEQT01000005.1        73     -16.9553     -16.9553      0.0000
  QRF00005_ACDJ01000003.1        73     -16.9553     -16.9553      0.0000
  QRF00005_ABWL02000007.1        73     -16.9553     -16.9553      0.0000
  QRF00005_Z71579.1              73     -20.5388     -20.5388      0.0000
  QRF00005_X53782.1              73     -20.5388     -20.5388      0.0000
  QRF00005_M19391.1              73     -20.5388     -20.5388      0.0000
  QRF00005_M15314.1              73     -20.5388     -20.5388      0.0000
  QRF00005_L42023.1              73     -20.5388     -20.5388      0.0000
  QRF00005_L42023.1              73     -20.5388     -20.5388      0.0000
  QRF00005_L42023.1              73     -20.5388     -20.5388      0.0000
  QRF00005_FQ670204.1            73     -20.5388     -20.5388      0.0000
  QRF00005_FQ670204.1            73     -20.5388     -20.5388      0.0000
