# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01212.cm
# date:    Fri May 13 21:23:23 2016
# seed:    1463174603
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sn2524                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:35.28       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -41.4980     -41.4980      0.0000
  QRF01739_AGJC01000011.1        62     -34.7226     -34.7226      0.0000
  QRF01739_AP012205.1            62     -29.7116     -29.7116      0.0000
  QRF01739_AEPQ01000180.1        85     -32.9952     -32.9952      0.0000
  QRF01739_AACY023065314.1       57     -33.9324     -33.9324      0.0000
  QRF01739_AACY020081009.1       57     -33.9324     -33.9324      0.0000
  QRF01739_ACSK01000180.1        92     -36.6409     -36.6409      0.0000
  QRF01739_BA000039.2           113     -28.9453     -28.9453      0.0000
  QRF01739_AACY023081145.1       53     -42.9515     -42.9515      0.0000
  QRF01739_AFSR01000238.1        99     -38.1334     -38.1334      0.0000
  QRF01739_AGJC01000003.1        76     -33.1013     -33.1013      0.0000
  QRF01739_AFSR01000146.1        92     -39.7756     -39.7756      0.0000
  QRF01739_CACA01000349.1        84     -37.8220     -37.8220      0.0000
  QRF01739_AACY022751187.1       52     -41.8263     -41.8263      0.0000
  QRF01739_AACY022283709.1       52     -41.8263     -41.8263      0.0000
  QRF01739_ABPS01003770.1       123     -27.9016     -27.9016      0.0000
  QRF01739_AFEJ01000345.1        83     -28.3624     -28.3624      0.0000
  QRF00005_CABR01000029.1        73     -40.3269     -40.3269      0.0000
  QRF00005_AFSR01002788.1        74     -36.3556     -36.3556      0.0000
  QRF00005_CP000927.1            72     -39.1316     -39.1316      0.0000
  QRF00005_AY741371.1            72     -36.2780     -36.2780      0.0000
  QRF00005_AEGR01000006.1        73     -40.2638     -40.2638      0.0000
  QRF00005_CP001189.1            73     -39.4469     -39.4469      0.0000
  QRF00005_CP000493.1            72     -45.3868     -45.3868      0.0000
  QRF00005_AP012159.1            73     -39.4469     -39.4469      0.0000
  QRF00005_AM889285.1            73     -39.4469     -39.4469      0.0000
  QRF00005_AGFR01000003.1        73     -39.0643     -39.0643      0.0000
  QRF00005_AFCH01000046.1        73     -39.4469     -39.4469      0.0000
  QRF00005_ADTV01000009.1        73     -39.4469     -39.4469      0.0000
  QRF00005_ABCE01000025.1        73     -41.0976     -41.0976      0.0000
  QRF00005_HM565909.1            72     -37.6229     -37.6229      0.0000
  QRF00005_CAFG01000441.1        73     -38.5988     -38.5988      0.0000
  QRF00005_AACY020656879.1       72     -37.9829     -37.9829      0.0000
  QRF00005_CP001744.1            73     -44.6993     -44.6993      0.0000
  QRF00005_CP000880.1            73     -37.2534     -37.2534      0.0000
  QRF00005_CACD01000012.1        73     -37.2534     -37.2534      0.0000
  QRF00005_CACD01000012.1        73     -37.2534     -37.2534      0.0000
  QRF00005_CACD01000012.1        73     -37.2534     -37.2534      0.0000
  QRF00005_AM849034.1            74     -35.0010     -35.0010      0.0000
  QRF00005_AM711867.1            74     -35.0010     -35.0010      0.0000
  QRF00005_AEQT01000005.1        73     -37.2534     -37.2534      0.0000
  QRF00005_AEQT01000005.1        73     -37.2534     -37.2534      0.0000
  QRF00005_ACDJ01000003.1        73     -37.2534     -37.2534      0.0000
  QRF00005_ABWL02000007.1        73     -37.2534     -37.2534      0.0000
  QRF00005_Z71579.1              73     -35.3345     -35.3345      0.0000
  QRF00005_X53782.1              73     -35.3345     -35.3345      0.0000
  QRF00005_M19391.1              73     -35.3345     -35.3345      0.0000
  QRF00005_M15314.1              73     -35.3345     -35.3345      0.0000
  QRF00005_L42023.1              73     -35.3345     -35.3345      0.0000
  QRF00005_L42023.1              73     -35.3345     -35.3345      0.0000
  QRF00005_L42023.1              73     -35.3345     -35.3345      0.0000
  QRF00005_FQ670204.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ670204.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ670204.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ670178.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ670178.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ670178.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ670178.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ312006.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ312006.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ312006.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ312002.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ312002.1            73     -35.3345     -35.3345      0.0000
  QRF00005_FQ312002.1            73     -35.3345     -35.3345      0.0000
  QRF00005_EF196803.1            73     -35.3345     -35.3345      0.0000
  QRF00005_EF196803.1            73     -35.3345     -35.3345      0.0000
  QRF00005_CP003022.1            73     -35.3345     -35.3345      0.0000
  QRF00001_EU093378.1           119     -28.4244     -28.4244      0.0000
  QRF00001_AAAA02047827.1       119     -28.4244     -28.4244      0.0000
  QRF00001_AAAA02043281.1       119     -32.2494     -32.2494      0.0000
  QRF00001_EF064700.1           119     -29.8754     -29.8754      0.0000
  QRF00001_EF064692.1           119     -29.8754     -29.8754      0.0000
  QRF00001_EF064687.1           119     -29.8754     -29.8754      0.0000
  QRF00001_EF064680.1           119     -29.8754     -29.8754      0.0000
  QRF00001_EF064678.1           119     -29.8754     -29.8754      0.0000
  QRF00001_EF064556.1           119     -29.8754     -29.8754      0.0000
  QRF00001_AJ390135.1           119     -29.8754     -29.8754      0.0000
  QRF00001_HQ270965.1           119     -28.4244     -28.4244      0.0000
  QRF00001_GQ324770.1           119     -28.4244     -28.4244      0.0000
  QRF00001_FJ882503.1           119     -28.4244     -28.4244      0.0000
  QRF00001_AF550740.1           119     -28.4244     -28.4244      0.0000
  QRF00001_HQ270648.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU924818.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU093153.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EF524209.1           119     -28.4244     -28.4244      0.0000
  QRF00001_AY316209.1           119     -28.4244     -28.4244      0.0000
  QRF00001_AY034674.1           119     -28.4244     -28.4244      0.0000
  QRF00001_AJ409525.1           119     -28.4244     -28.4244      0.0000
  QRF00001_AF550715.1           119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01010155.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01009775.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01009775.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01009775.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01009135.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01009119.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01009117.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01005845.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01005845.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01005844.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01005841.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01005839.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01005838.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01005838.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01005835.1       119     -28.4244     -28.4244      0.0000
  QRF00001_ABXC01005835.1       119     -28.4244     -28.4244      0.0000
  QRF00001_AAAA02039752.1       119     -28.4244     -28.4244      0.0000
  QRF00001_EU925066.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU093209.1           119     -28.4244     -28.4244      0.0000
  QRF00001_U02637.1             119     -28.4244     -28.4244      0.0000
  QRF00001_EU439291.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU439286.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU439284.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU439282.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU439280.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU439279.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU439278.1           119     -28.4244     -28.4244      0.0000
  QRF00001_EU439277.1           119     -28.4244     -28.4244      0.0000
  QRF01704_ACNY01000005.1        62     -45.2619     -45.2619      0.0000
  QRF01704_ADXL01000065.1        61     -50.6389     -50.6389      0.0000
  QRF01704_ADXL01000046.1        61     -52.8145     -52.8145      0.0000
  QRF01704_ADHP01001127.1        63     -41.6413     -41.6413      0.0000
  QRF01704_ADXM01000029.1        71     -45.7009     -45.7009      0.0000
  QRF01704_FJ869257.1            62     -49.0816     -49.0816      0.0000
  QRF01704_BX569692.1            62     -49.0816     -49.0816      0.0000
  QRF01704_AACY023835177.1       64     -42.8534     -42.8534      0.0000
  QRF01704_ACNY01000003.1        61     -50.6084     -50.6084      0.0000
  QRF01704_AACY020212823.1       62     -35.6618     -35.6618      0.0000
  QRF01704_GQ237222.1            58     -47.7696     -47.7696      0.0000
  QRF01704_ADHP01000860.1        64     -40.5424     -40.5424      0.0000
  QRF01704_AACY020313707.1       62     -48.6023     -48.6023      0.0000
  QRF01704_ACDW01000004.1        62     -37.4048     -37.4048      0.0000
  QRF01704_AACY022014507.1       62     -35.6488     -35.6488      0.0000
  QRF01704_ADHP01000878.1        59     -41.6281     -41.6281      0.0000
  QRF01704_AACY022415810.1       58     -44.0350     -44.0350      0.0000
  QRF01704_AACY020575673.1       58     -44.0350     -44.0350      0.0000
  QRF01704_ACNY01000005.1        59     -46.5564     -46.5564      0.0000
  QRF01704_ADHP01000854.1        63     -42.0512     -42.0512      0.0000
  QRF01704_GU936714.1            59     -46.3926     -46.3926      0.0000
  QRF01704_AACY021622950.1       62     -35.8346     -35.8346      0.0000
  QRF01704_CP000825.1            58     -44.8321     -44.8321      0.0000
  QRF01704_EU795157.1            64     -47.1904     -47.1904      0.0000
  QRF01704_ABVN01004790.1        61     -46.6714     -46.6714      0.0000
  QRF01704_ABMN01086741.1        60     -40.0527     -40.0527      0.0000
  QRF01704_DQ325539.1            60     -44.4278     -44.4278      0.0000
