# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01917.cm
# date:    Fri May 13 19:31:29 2016
# seed:    1463167889
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MIR2587                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:47.48       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -21.9480     -21.9480      0.0000
  QRF01739_AGJC01000011.1        62     -23.9777     -23.9777      0.0000
  QRF01739_AP012205.1            62     -24.7375     -24.7375      0.0000
  QRF01739_AEPQ01000180.1        85     -16.6061     -16.6061      0.0000
  QRF01739_AACY023065314.1       57     -19.5166     -19.5166      0.0000
  QRF01739_AACY020081009.1       57     -19.5166     -19.5166      0.0000
  QRF01739_ACSK01000180.1        92     -12.4710     -12.4710      0.0000
  QRF01739_BA000039.2           113     -13.3801     -13.3801      0.0000
  QRF01739_AACY023081145.1       53     -24.7154     -24.7154      0.0000
  QRF01739_AFSR01000238.1        99     -18.7972     -18.7972      0.0000
  QRF01739_AGJC01000003.1        76     -17.0730     -17.0730      0.0000
  QRF01739_AFSR01000146.1        92     -11.6642     -11.6642      0.0000
  QRF01739_CACA01000349.1        84     -19.2046     -19.2046      0.0000
  QRF01739_AACY022751187.1       52     -25.4482     -25.4482      0.0000
  QRF01739_AACY022283709.1       52     -25.4482     -25.4482      0.0000
  QRF01739_ABPS01003770.1       123     -14.7253     -14.7253      0.0000
  QRF01739_AFEJ01000345.1        83     -19.4369     -19.4369      0.0000
  QRF00005_CABR01000029.1        73     -25.5038     -25.5038      0.0000
  QRF00005_AFSR01002788.1        74     -22.7805     -22.7805      0.0000
  QRF00005_CP000927.1            72     -20.2230     -20.2230      0.0000
  QRF00005_AY741371.1            72     -23.7430     -23.7430      0.0000
  QRF00005_AEGR01000006.1        73     -23.0699     -23.0699      0.0000
  QRF00005_CP001189.1            73     -20.8154     -20.8154      0.0000
  QRF00005_CP000493.1            72     -25.2876     -25.2876      0.0000
  QRF00005_AP012159.1            73     -20.8154     -20.8154      0.0000
  QRF00005_AM889285.1            73     -20.8154     -20.8154      0.0000
  QRF00005_AGFR01000003.1        73     -18.8029     -18.8029      0.0000
  QRF00005_AFCH01000046.1        73     -20.8154     -20.8154      0.0000
  QRF00005_ADTV01000009.1        73     -20.8154     -20.8154      0.0000
  QRF00005_ABCE01000025.1        73     -25.5878     -25.5878      0.0000
  QRF00005_HM565909.1            72     -23.3060     -23.3060      0.0000
  QRF00005_CAFG01000441.1        73     -22.9189     -22.9189      0.0000
  QRF00005_AACY020656879.1       72     -22.6004     -22.6004      0.0000
  QRF00005_CP001744.1            73     -15.5894     -15.5894      0.0000
