# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00863.cm
# date:    Sun May  8 20:44:01 2016
# seed:    1462715041
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-BART17                 search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -22.1696     -22.1696      0.0000
  trna_2                         74     -18.0936     -18.0936      0.0000
  trna_3                         73     -21.9776     -21.9776      0.0000
  trna_4                         72     -25.0427     -25.0427      0.0000
  trna_5                         72     -24.9577     -24.9577      0.0000
  trna_6                         73     -14.1568     -14.1568      0.0000
  trna_7                         73     -23.7395     -23.7395      0.0000
  trna_8                         73     -24.9516     -24.9516      0.0000
  trna_9                         73     -19.8770     -19.8770      0.0000
  trna_10                        72     -26.5482     -26.5482      0.0000
  u5_1                          114      -9.9120      -9.9120      0.0000
  u5_2                          116     -16.1094     -16.1094      0.0000
  u5_3                          118     -15.8408     -15.8408      0.0000
  u5_4                          117     -16.5422     -16.5422      0.0000
  u5_5                          107     -19.0143     -19.0143      0.0000
  u5_6                          116     -21.7835     -21.7835      0.0000
  u5_7                          116     -13.6792     -13.6792      0.0000
  u5_8                          126     -18.1079     -18.1079      0.0000
  u5_9                          115     -22.1975     -22.1975      0.0000
  u5_10                         115     -18.8417     -18.8417      0.0000
  rrtWT_uc011zgd.1_2370         100     -17.1537     -17.1537      0.0000
  rrtWT_uc007ino.1_879          100     -14.4240     -14.4240      0.0000
  rrtWT_uc012dtn.1_1041         100     -23.3824     -23.3824      0.0000
  rrtWT_uc007bjr.2_621          100     -15.6251     -15.6251      0.0000
  rrtWT_uc008hom.1_603          100     -18.4592     -18.4592      0.0000
  rrtWT_uc007wki.1_323          100     -14.5669     -14.5669      0.0000
  rrtWT_uc008fec.1_254          100     -18.2817     -18.2817      0.0000
  rrtWT_uc007wxx.1_716          100     -18.4847     -18.4847      0.0000
  rrtWT_uc009qex.2_2789         100     -19.5627     -19.5627      0.0000
  rrtWT_uc007xbv.1_1165         100      -8.7325      -8.7325      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.60    0.70        0  0.00000    0.00
#
# CPU time: 1.02u 0.01s 00:00:01.03 Elapsed: 00:00:01
