# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01292.cm
# date:    Sat May 14 00:52:53 2016
# seed:    1463187173
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoR2                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:11.72       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -56.5900     -56.5900      0.0000
  QRF01739_AGJC01000011.1        62     -55.0667     -55.0667      0.0000
  QRF01739_AP012205.1            62     -57.1267     -58.8478      1.7211
  QRF01739_AEPQ01000180.1        85     -38.4709     -38.4709      0.0000
  QRF01739_AACY023065314.1       57     -57.1262     -57.1262      0.0000
  QRF01739_AACY020081009.1       57     -57.1262     -57.1262      0.0000
  QRF01739_ACSK01000180.1        92     -50.0656     -50.0656      0.0000
  QRF01739_BA000039.2           113     -40.5832     -40.5832      0.0000
  QRF01739_AACY023081145.1       53     -57.7809     -57.7809      0.0000
  QRF01739_AFSR01000238.1        99     -49.9238     -49.9238      0.0000
  QRF01739_AGJC01000003.1        76     -53.5831     -53.5831      0.0000
  QRF01739_AFSR01000146.1        92     -44.1761     -44.1761      0.0000
  QRF01739_CACA01000349.1        84     -41.2209     -41.2209      0.0000
  QRF01739_AACY022751187.1       52     -64.2704     -64.2704      0.0000
  QRF01739_AACY022283709.1       52     -64.2704     -64.2704      0.0000
  QRF01739_ABPS01003770.1       123     -35.9784     -35.9784      0.0000
  QRF01739_AFEJ01000345.1        83     -49.4456     -49.4456      0.0000
  QRF00005_CABR01000029.1        73     -51.7964     -51.7964      0.0000
  QRF00005_AFSR01002788.1        74     -47.9711     -47.9711      0.0000
  QRF00005_CP000927.1            72     -47.3883     -47.3883      0.0000
  QRF00005_AY741371.1            72     -44.6030     -44.6030      0.0000
  QRF00005_AEGR01000006.1        73     -51.0948     -51.0948      0.0000
  QRF00005_CP001189.1            73     -50.9562     -50.9562      0.0000
  QRF00005_CP000493.1            72     -50.5080     -50.5080      0.0000
  QRF00005_AP012159.1            73     -50.9562     -50.9562      0.0000
  QRF00005_AM889285.1            73     -50.9562     -50.9562      0.0000
  QRF00005_AGFR01000003.1        73     -48.7349     -48.7349      0.0000
  QRF00005_AFCH01000046.1        73     -50.9562     -50.9562      0.0000
  QRF00005_ADTV01000009.1        73     -50.9562     -50.9562      0.0000
  QRF00005_ABCE01000025.1        73     -49.3246     -49.3246      0.0000
  QRF00005_HM565909.1            72     -44.3775     -44.3775      0.0000
  QRF00005_CAFG01000441.1        73     -51.7334     -51.7334      0.0000
  QRF00005_AACY020656879.1       72     -46.7632     -46.7632      0.0000
  QRF00005_CP001744.1            73     -51.6831     -51.6831      0.0000
  QRF00005_CP000880.1            73     -50.1663     -50.1663      0.0000
  QRF00005_CACD01000012.1        73     -50.1663     -50.1663      0.0000
  QRF00005_CACD01000012.1        73     -50.1663     -50.1663      0.0000
  QRF00005_CACD01000012.1        73     -50.1663     -50.1663      0.0000
  QRF00005_AM849034.1            74     -52.5693     -52.5693      0.0000
  QRF00005_AM711867.1            74     -52.5693     -52.5693      0.0000
  QRF00005_AEQT01000005.1        73     -50.1663     -50.1663      0.0000
  QRF00005_AEQT01000005.1        73     -50.1663     -50.1663      0.0000
  QRF00005_ACDJ01000003.1        73     -50.1663     -50.1663      0.0000
  QRF00005_ABWL02000007.1        73     -50.1663     -50.1663      0.0000
  QRF00005_Z71579.1              73     -49.3644     -49.3644      0.0000
  QRF00005_X53782.1              73     -49.3644     -49.3644      0.0000
  QRF00005_M19391.1              73     -49.3644     -49.3644      0.0000
  QRF00005_M15314.1              73     -49.3644     -49.3644      0.0000
  QRF00005_L42023.1              73     -49.3644     -49.3644      0.0000
  QRF00005_L42023.1              73     -49.3644     -49.3644      0.0000
  QRF00005_L42023.1              73     -49.3644     -49.3644      0.0000
  QRF00005_FQ670204.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ670204.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ670204.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ670178.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ670178.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ670178.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ670178.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ312006.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ312006.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ312006.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ312002.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ312002.1            73     -49.3644     -49.3644      0.0000
  QRF00005_FQ312002.1            73     -49.3644     -49.3644      0.0000
  QRF00005_EF196803.1            73     -49.3644     -49.3644      0.0000
  QRF00005_EF196803.1            73     -49.3644     -49.3644      0.0000
  QRF00005_CP003022.1            73     -49.3644     -49.3644      0.0000
  QRF00001_EU093378.1           119     -31.6215     -31.6215      0.0000
  QRF00001_AAAA02047827.1       119     -32.3263     -32.3263      0.0000
  QRF00001_AAAA02043281.1       119     -30.7657     -30.7657      0.0000
  QRF00001_EF064700.1           119     -31.2433     -31.2433      0.0000
  QRF00001_EF064692.1           119     -31.2433     -31.2433      0.0000
  QRF00001_EF064687.1           119     -31.2433     -31.2433      0.0000
  QRF00001_EF064680.1           119     -31.2433     -31.2433      0.0000
  QRF00001_EF064678.1           119     -31.2433     -31.2433      0.0000
  QRF00001_EF064556.1           119     -31.2433     -31.2433      0.0000
  QRF00001_AJ390135.1           119     -31.2433     -31.2433      0.0000
  QRF00001_HQ270965.1           119     -30.5565     -30.5565      0.0000
  QRF00001_GQ324770.1           119     -30.5565     -30.5565      0.0000
  QRF00001_FJ882503.1           119     -30.5565     -30.5565      0.0000
  QRF00001_AF550740.1           119     -30.5565     -30.5565      0.0000
  QRF00001_HQ270648.1           119     -32.6243     -32.6243      0.0000
  QRF00001_EU924818.1           119     -32.6243     -32.6243      0.0000
  QRF00001_EU093153.1           119     -32.6243     -32.6243      0.0000
  QRF00001_EF524209.1           119     -32.6243     -32.6243      0.0000
  QRF00001_AY316209.1           119     -32.6243     -32.6243      0.0000
  QRF00001_AY034674.1           119     -32.6243     -32.6243      0.0000
  QRF00001_AJ409525.1           119     -32.6243     -32.6243      0.0000
  QRF00001_AF550715.1           119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01010155.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01009775.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01009775.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01009775.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01009135.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01009119.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01009117.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01005845.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01005845.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01005844.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01005841.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01005839.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01005838.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01005838.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01005835.1       119     -32.6243     -32.6243      0.0000
  QRF00001_ABXC01005835.1       119     -32.6243     -32.6243      0.0000
  QRF00001_AAAA02039752.1       119     -30.9623     -30.9623      0.0000
  QRF00001_EU925066.1           119     -30.8713     -30.8713      0.0000
  QRF00001_EU093209.1           119     -30.8713     -30.8713      0.0000
  QRF00001_U02637.1             119     -31.7903     -31.7903      0.0000
  QRF00001_EU439291.1           119     -31.7903     -31.7903      0.0000
  QRF00001_EU439286.1           119     -31.7903     -31.7903      0.0000
  QRF00001_EU439284.1           119     -31.7903     -31.7903      0.0000
  QRF00001_EU439282.1           119     -31.7903     -31.7903      0.0000
  QRF00001_EU439280.1           119     -31.7903     -31.7903      0.0000
  QRF00001_EU439279.1           119     -31.7903     -31.7903      0.0000
  QRF00001_EU439278.1           119     -31.7903     -31.7903      0.0000
  QRF00001_EU439277.1           119     -31.7903     -31.7903      0.0000
  QRF01704_ACNY01000005.1        62     -54.5953     -54.5953      0.0000
  QRF01704_ADXL01000065.1        61     -51.3787     -51.3787      0.0000
  QRF01704_ADXL01000046.1        61     -53.9477     -53.9477      0.0000
  QRF01704_ADHP01001127.1        63     -58.7303     -58.7303      0.0000
  QRF01704_ADXM01000029.1        71     -42.4888     -42.4888      0.0000
  QRF01704_FJ869257.1            62     -57.2843     -57.2843      0.0000
  QRF01704_BX569692.1            62     -57.2843     -57.2843      0.0000
  QRF01704_AACY023835177.1       64     -56.9652     -56.9652      0.0000
  QRF01704_ACNY01000003.1        61     -54.8773     -54.8773      0.0000
  QRF01704_AACY020212823.1       62     -58.9036     -58.9036      0.0000
  QRF01704_GQ237222.1            58     -59.5451     -59.5451      0.0000
  QRF01704_ADHP01000860.1        64     -52.3270     -52.3270      0.0000
  QRF01704_AACY020313707.1       62     -54.7389     -54.7389      0.0000
  QRF01704_ACDW01000004.1        62     -58.4188     -58.4188      0.0000
  QRF01704_AACY022014507.1       62     -59.3256     -59.3256      0.0000
  QRF01704_ADHP01000878.1        59     -65.8134     -65.8134      0.0000
  QRF01704_AACY022415810.1       58     -64.0114     -64.0114      0.0000
  QRF01704_AACY020575673.1       58     -64.0114     -64.0114      0.0000
  QRF01704_ACNY01000005.1        59     -55.4681     -55.4681      0.0000
  QRF01704_ADHP01000854.1        63     -57.5282     -57.5282      0.0000
  QRF01704_GU936714.1            59     -61.2828     -61.2828      0.0000
  QRF01704_AACY021622950.1       62     -53.8480     -53.8480      0.0000
  QRF01704_CP000825.1            58     -65.9387     -65.9387      0.0000
  QRF01704_EU795157.1            64     -54.3211     -54.3211      0.0000
  QRF01704_ABVN01004790.1        61     -57.1065     -57.1065      0.0000
  QRF01704_ABMN01086741.1        60     -59.2635     -59.2635      0.0000
  QRF01704_DQ325539.1            60     -58.0413     -58.0413      0.0000
  QRF01704_ACNY01000005.1        62     -53.9598     -53.9598      0.0000
  QRF01704_ACNY01000004.1        60     -58.7393     -58.7393      0.0000
  QRF01704_ABVT01000061.1        57     -60.1781     -60.1781      0.0000
  QRF00023_CP001665.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP001509.3           363     -23.2804     -23.2804      0.0000
  QRF00023_CP000819.1           363     -23.2804     -23.2804      0.0000
  QRF00023_AM946981.2           363     -23.2804     -23.2804      0.0000
  QRF00023_ADTQ01000184.1       363     -23.2804     -23.2804      0.0000
  QRF00023_ADBT01000188.1       363     -23.2804     -23.2804      0.0000
  QRF00023_FN543093.2           364     -21.9934     -21.9934      0.0000
  QRF00023_AFAG01000033.1       363     -23.2804     -23.2804      0.0000
  QRF00023_AFAF01000014.1       363     -23.2804     -23.2804      0.0000
  QRF00023_ADUS01000034.1       363     -23.2804     -23.2804      0.0000
  QRF00023_U36840.1             363     -23.2804     -23.2804      0.0000
  QRF00023_FN649414.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CU928162.2           363     -23.2804     -23.2804      0.0000
  QRF00023_CU928161.2           363     -23.2804     -23.2804      0.0000
  QRF00023_CU928158.2           363     -23.2804     -23.2804      0.0000
  QRF00023_CU651637.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP003034.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP002797.2           363     -23.2804     -23.2804      0.0000
  QRF00023_CP002729.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP002516.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP002212.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP002211.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP002185.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP002167.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP001969.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP001855.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP001671.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP001637.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP001396.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP001383.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP000970.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP000948.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP000802.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP000243.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CP000038.1           363     -23.2804     -23.2804      0.0000
  QRF00023_CAFL01000074.1       363     -23.2804     -23.2804      0.0000
  QRF00023_CADZ01000057.1       363     -23.2804     -23.2804      0.0000
  QRF00023_BAAV01002786.1       363     -23.2804     -23.2804      0.0000
  QRF00023_AP012030.1           363     -23.2804     -23.2804      0.0000
  QRF00023_AP010960.1           363     -23.2804     -23.2804      0.0000
  QRF00023_AP010958.1           363     -23.2804     -23.2804      0.0000
  QRF00023_AP010953.1           363     -23.2804     -23.2804      0.0000
  QRF00023_AP009378.1           363     -23.2804     -23.2804      0.0000
  QRF00023_AP009240.1           363     -23.2804     -23.2804      0.0000
  QRF00023_AP009048.1           363     -23.2804     -23.2804      0.0000
  QRF00023_AJ304858.2           363     -23.2804     -23.2804      0.0000
  QRF00023_AGTK01000236.1       363     -23.2804     -23.2804      0.0000
  QRF00023_AGTJ01000345.1       363     -23.2804     -23.2804      0.0000
  QRF00023_AGTI01000029.1       363     -23.2804     -23.2804      0.0000
  QRF00023_AGTH01000033.1       363     -23.2804     -23.2804      0.0000
  QRF00010_CP002738.1           351     -19.0733     -19.0733      0.0000
  QRF00010_ABSP01001676.1       350     -25.0975     -25.0975      0.0000
  QRF00010_FO082060.1           365     -19.5705     -19.5705      0.0000
  QRF00010_AFJF01000001.1       394     -19.3993     -19.3993      0.0000
  QRF00010_AEGW02000003.1       350     -25.0975     -25.0975      0.0000
  QRF00010_CP002086.1           354     -24.7010     -24.7010      0.0000
  QRF00010_ACJN02000001.1       533     -20.3818     -20.3818      0.0000
  QRF00010_CP002881.1           360     -15.8020     -15.8020      0.0000
  QRF00010_AFOH01000117.1       345     -21.3576     -21.3576      0.0000
  QRF00010_AACY020185705.1      350     -23.0185     -23.0185      0.0000
  QRF00010_AGSX01000193.1       359     -17.3680     -17.3680      0.0000
  QRF00010_AFWT01000009.1       368     -28.0888     -28.0888      0.0000
  QRF00010_FM209186.1           350     -24.9956     -24.9956      0.0000
  QRF00010_CP002496.1           350     -24.9956     -24.9956      0.0000
  QRF00010_CP000438.1           350     -24.9956     -24.9956      0.0000
  QRF00010_BADP01000198.1       350     -24.9956     -24.9956      0.0000
  QRF00010_AP012280.1           350     -24.9956     -24.9956      0.0000
  QRF00010_AFXK01000001.1       350     -24.9956     -24.9956      0.0000
  QRF00010_AFXJ01000001.1       350     -24.9956     -24.9956      0.0000
  QRF00010_AFXI01000001.1       350     -24.9956     -24.9956      0.0000
  QRF00010_AFNF01000315.1       350     -24.9956     -24.9956      0.0000
  QRF00010_AEVW01000050.1       350     -24.9956     -24.9956      0.0000
  QRF00010_AEVV01000076.1       350     -24.9956     -24.9956      0.0000
  QRF00010_AEEX01000069.1       350     -24.9956     -24.9956      0.0000
  QRF00010_AE004091.2           350     -24.9956     -24.9956      0.0000
  QRF00010_ACWU01000204.1       350     -24.9956     -24.9956      0.0000
  QRF00010_ABKZ01000485.1       350     -24.9956     -24.9956      0.0000
  QRF00010_CP002622.1           360     -17.8070     -17.8070      0.0000
  QRF00010_ABYY01000008.1       344     -19.4891     -19.4891      0.0000
  QRF00010_AACY020062040.1      355     -23.9090     -23.9090      0.0000
  QRF00010_AACY023745699.1      347     -28.6028     -28.6028      0.0000
  QRF00010_AGTR01000084.1       350     -21.4982     -21.4982      0.0000
  QRF00010_CP000937.1           344     -19.4891     -19.4891      0.0000
  QRF00010_ACKY01000130.1       336     -23.4729     -23.4729      0.0000
  QRF00010_AAQW01000001.1       350     -24.9956     -24.9956      0.0000
  QRF00010_AFZB01000010.1       349     -19.4407     -19.4407      0.0000
  QRF00010_AFOC01000030.1       349     -19.4407     -19.4407      0.0000
  QRF00010_ABSG01000028.1       354     -27.3689     -27.3689      0.0000
  QRF00010_ABSP01006958.1       367     -21.5233     -21.5233      0.0000
  QRF00010_CP000744.1           350     -24.9956     -24.9956      0.0000
  QRF00010_CP001978.1           350     -18.9522     -18.9522      0.0000
  QRF00010_AP011529.1           404     -19.9239     -19.9239      0.0000
  QRF00010_AGBG01000003.1       351     -25.3431     -25.3431      0.0000
  QRF00010_CR628336.1           373     -22.4822     -22.4822      0.0000
  QRF00010_CP001649.1           366     -24.8776     -24.8776      0.0000
  QRF00010_CP002870.1           360     -25.9665     -25.9665      0.0000
  QRF00010_AFFX01000011.1       358     -25.8125     -25.8125      0.0000
  QRF00010_CP002727.1           350     -21.9362     -21.9362      0.0000
  QRF00010_CP001798.1           351     -29.4201     -29.6587      0.2385
  QRF00010_AATN01000057.1       365     -18.1643     -18.1643      0.0000
  QRF01695_CP001875.2            88     -35.0076     -35.0076      0.0000
  QRF01695_AEAF01000460.1        87     -51.0721     -51.0721      0.0000
  QRF01695_AGAS01001096.1        87     -54.4097     -54.4097      0.0000
  QRF01695_AEAI01001819.1        87     -54.4097     -54.4097      0.0000
  QRF01695_AEAI01000880.1        87     -54.4097     -54.4097      0.0000
  QRF01695_ADMI01000085.1        87     -54.4097     -54.4097      0.0000
  QRF01695_BAEF01000009.1        88     -37.5316     -37.5316      0.0000
  QRF01695_AFTG01000340.1        87     -51.0721     -51.0721      0.0000
  QRF01695_HM236454.1            88     -39.0566     -39.0566      0.0000
  QRF01695_AM181176.4            87     -50.9403     -50.9403      0.0000
  QRF01695_AGFS01032870.1        87     -54.7199     -55.2627      0.5427
  QRF01695_AGCS01000002.1        87     -50.8768     -50.8768      0.0000
  QRF01695_AGCS01000002.1        87     -52.2888     -52.2888      0.0000
  QRF01695_CP002154.1            87     -32.9705     -32.9705      0.0000
  QRF01695_AEDL01000013.1        88     -37.4092     -37.4092      0.0000
  QRF01695_AGFS01106545.1        85     -53.4894     -53.4894      0.0000
  QRF01695_AGFS01092185.1        85     -53.4894     -53.4894      0.0000
  QRF01695_AFTG01000021.1        87     -51.3013     -51.3013      0.0000
  QRF01695_AM181176.4            87     -50.8011     -50.8011      0.0000
  QRF01695_HM752578.1            87     -48.9560     -48.9560      0.0000
  QRF01695_AGCS01000012.1        87     -51.0663     -51.0663      0.0000
  QRF01695_CADX01000041.1        88     -48.4337     -48.4337      0.0000
  QRF01695_CADW01000337.1        88     -48.4337     -48.4337      0.0000
  QRF01695_AGFS01169096.1        87     -49.5129     -49.5129      0.0000
  QRF01695_ACOQ01000013.1        87     -48.7450     -48.7450      0.0000
  QRF01695_AFOY01000061.1        86     -49.9124     -49.9124      0.0000
  QRF01695_AFOY01000051.1        87     -41.1109     -41.1109      0.0000
  QRF01695_AFOY01000012.1        86     -46.0284     -46.0284      0.0000
  QRF01695_CADX01000050.1        87     -43.9910     -43.9910      0.0000
  QRF01695_CADW01000142.1        87     -43.9910     -43.9910      0.0000
  QRF01695_BABY01000089.1        88     -37.4985     -37.4985      0.0000
  QRF01695_AFOY01000127.1        87     -47.5008     -47.5008      0.0000
  QRF01695_AF074874.1            88     -50.9666     -50.9666      0.0000
  QRF01695_AEAZ01000014.1        87     -50.5606     -50.5606      0.0000
