# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01929.cm
# date:    Fri May 13 21:09:15 2016
# seed:    1463173755
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  bxd_1                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:32.90       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.7435     -20.7435      0.0000
  QRF01739_AGJC01000011.1        62     -18.8910     -18.8910      0.0000
  QRF01739_AP012205.1            62     -16.9526     -16.9526      0.0000
  QRF01739_AEPQ01000180.1        85     -17.1232     -17.1232      0.0000
  QRF01739_AACY023065314.1       57     -18.5825     -18.5825      0.0000
  QRF01739_AACY020081009.1       57     -18.5825     -18.5825      0.0000
  QRF01739_ACSK01000180.1        92     -21.3994     -21.3994      0.0000
  QRF01739_BA000039.2           113     -12.6955     -12.6955      0.0000
  QRF01739_AACY023081145.1       53     -22.0747     -22.0747      0.0000
  QRF01739_AFSR01000238.1        99     -16.6778     -16.6778      0.0000
  QRF01739_AGJC01000003.1        76     -11.6634     -11.6634      0.0000
  QRF01739_AFSR01000146.1        92     -15.5873     -15.5873      0.0000
  QRF01739_CACA01000349.1        84     -18.3287     -18.3287      0.0000
  QRF01739_AACY022751187.1       52     -30.0685     -30.0685      0.0000
  QRF01739_AACY022283709.1       52     -30.0685     -30.0685      0.0000
  QRF01739_ABPS01003770.1       123      -8.2353      -8.2353      0.0000
  QRF01739_AFEJ01000345.1        83     -16.2022     -16.2022      0.0000
  QRF00005_CABR01000029.1        73     -27.0887     -27.0887      0.0000
  QRF00005_AFSR01002788.1        74     -22.3773     -22.3773      0.0000
  QRF00005_CP000927.1            72     -25.2566     -25.2566      0.0000
  QRF00005_AY741371.1            72     -24.7082     -24.7082      0.0000
  QRF00005_AEGR01000006.1        73     -28.2812     -28.2812      0.0000
  QRF00005_CP001189.1            73     -24.3308     -24.3308      0.0000
  QRF00005_CP000493.1            72     -31.5367     -31.5367      0.0000
  QRF00005_AP012159.1            73     -24.3308     -24.3308      0.0000
  QRF00005_AM889285.1            73     -24.3308     -24.3308      0.0000
  QRF00005_AGFR01000003.1        73     -21.6181     -21.6181      0.0000
  QRF00005_AFCH01000046.1        73     -24.3308     -24.3308      0.0000
  QRF00005_ADTV01000009.1        73     -24.3308     -24.3308      0.0000
  QRF00005_ABCE01000025.1        73     -26.6694     -26.6694      0.0000
  QRF00005_HM565909.1            72     -23.0402     -23.0402      0.0000
  QRF00005_CAFG01000441.1        73     -30.2702     -30.2702      0.0000
  QRF00005_AACY020656879.1       72     -25.1426     -25.1426      0.0000
  QRF00005_CP001744.1            73     -26.9497     -26.9497      0.0000
  QRF00005_CP000880.1            73     -26.3054     -26.3054      0.0000
  QRF00005_CACD01000012.1        73     -26.3054     -26.3054      0.0000
  QRF00005_CACD01000012.1        73     -26.3054     -26.3054      0.0000
  QRF00005_CACD01000012.1        73     -26.3054     -26.3054      0.0000
  QRF00005_AM849034.1            74     -15.5902     -15.5902      0.0000
  QRF00005_AM711867.1            74     -15.5902     -15.5902      0.0000
  QRF00005_AEQT01000005.1        73     -26.3054     -26.3054      0.0000
  QRF00005_AEQT01000005.1        73     -26.3054     -26.3054      0.0000
  QRF00005_ACDJ01000003.1        73     -26.3054     -26.3054      0.0000
  QRF00005_ABWL02000007.1        73     -26.3054     -26.3054      0.0000
  QRF00005_Z71579.1              73     -28.5392     -28.5392      0.0000
  QRF00005_X53782.1              73     -28.5392     -28.5392      0.0000
  QRF00005_M19391.1              73     -28.5392     -28.5392      0.0000
  QRF00005_M15314.1              73     -28.5392     -28.5392      0.0000
  QRF00005_L42023.1              73     -28.5392     -28.5392      0.0000
  QRF00005_L42023.1              73     -28.5392     -28.5392      0.0000
  QRF00005_L42023.1              73     -28.5392     -28.5392      0.0000
  QRF00005_FQ670204.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ670204.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ670204.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ670178.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ670178.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ670178.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ670178.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ312006.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ312006.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ312006.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ312002.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ312002.1            73     -28.5392     -28.5392      0.0000
  QRF00005_FQ312002.1            73     -28.5392     -28.5392      0.0000
  QRF00005_EF196803.1            73     -28.5392     -28.5392      0.0000
  QRF00005_EF196803.1            73     -28.5392     -28.5392      0.0000
  QRF00005_CP003022.1            73     -28.5392     -28.5392      0.0000
  QRF00001_EU093378.1           119     -13.2335     -13.2335      0.0000
  QRF00001_AAAA02047827.1       119     -12.8055     -12.8055      0.0000
  QRF00001_AAAA02043281.1       119     -14.4818     -14.4818      0.0000
  QRF00001_EF064700.1           119     -11.8275     -11.8275      0.0000
  QRF00001_EF064692.1           119     -11.8275     -11.8275      0.0000
  QRF00001_EF064687.1           119     -11.8275     -11.8275      0.0000
  QRF00001_EF064680.1           119     -11.8275     -11.8275      0.0000
  QRF00001_EF064678.1           119     -11.8275     -11.8275      0.0000
  QRF00001_EF064556.1           119     -11.8275     -11.8275      0.0000
  QRF00001_AJ390135.1           119     -11.8275     -11.8275      0.0000
  QRF00001_HQ270965.1           119     -12.8055     -12.8055      0.0000
  QRF00001_GQ324770.1           119     -12.8055     -12.8055      0.0000
  QRF00001_FJ882503.1           119     -12.8055     -12.8055      0.0000
  QRF00001_AF550740.1           119     -12.8055     -12.8055      0.0000
  QRF00001_HQ270648.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU924818.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU093153.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EF524209.1           119     -12.8055     -12.8055      0.0000
  QRF00001_AY316209.1           119     -12.8055     -12.8055      0.0000
  QRF00001_AY034674.1           119     -12.8055     -12.8055      0.0000
  QRF00001_AJ409525.1           119     -12.8055     -12.8055      0.0000
  QRF00001_AF550715.1           119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01010155.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01009775.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01009775.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01009775.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01009135.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01009119.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01009117.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01005845.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01005845.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01005844.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01005841.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01005839.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01005838.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01005838.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01005835.1       119     -12.8055     -12.8055      0.0000
  QRF00001_ABXC01005835.1       119     -12.8055     -12.8055      0.0000
  QRF00001_AAAA02039752.1       119     -12.8055     -12.8055      0.0000
  QRF00001_EU925066.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU093209.1           119     -12.8055     -12.8055      0.0000
  QRF00001_U02637.1             119     -12.8055     -12.8055      0.0000
  QRF00001_EU439291.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU439286.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU439284.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU439282.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU439280.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU439279.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU439278.1           119     -12.8055     -12.8055      0.0000
  QRF00001_EU439277.1           119     -12.8055     -12.8055      0.0000
  QRF01704_ACNY01000005.1        62     -33.8339     -33.8339      0.0000
  QRF01704_ADXL01000065.1        61     -33.2376     -33.2376      0.0000
  QRF01704_ADXL01000046.1        61     -30.8502     -30.8502      0.0000
  QRF01704_ADHP01001127.1        63     -24.4056     -24.4056      0.0000
  QRF01704_ADXM01000029.1        71     -27.2635     -27.2635      0.0000
  QRF01704_FJ869257.1            62     -34.9408     -34.9408      0.0000
  QRF01704_BX569692.1            62     -34.9408     -34.9408      0.0000
  QRF01704_AACY023835177.1       64     -23.5042     -23.5042      0.0000
  QRF01704_ACNY01000003.1        61     -34.1361     -34.1361      0.0000
  QRF01704_AACY020212823.1       62     -22.9128     -22.9128      0.0000
  QRF01704_GQ237222.1            58     -32.3393     -32.3393      0.0000
  QRF01704_ADHP01000860.1        64     -22.0239     -22.0239      0.0000
  QRF01704_AACY020313707.1       62     -30.6701     -30.6701      0.0000
  QRF01704_ACDW01000004.1        62     -27.3158     -27.3158      0.0000
  QRF01704_AACY022014507.1       62     -26.7298     -26.7298      0.0000
  QRF01704_ADHP01000878.1        59     -12.5119     -12.5119      0.0000
  QRF01704_AACY022415810.1       58     -13.4065     -13.4065      0.0000
  QRF01704_AACY020575673.1       58     -13.4065     -13.4065      0.0000
  QRF01704_ACNY01000005.1        59     -30.9918     -30.9918      0.0000
  QRF01704_ADHP01000854.1        63     -24.3037     -24.3037      0.0000
  QRF01704_GU936714.1            59     -29.1792     -29.1792      0.0000
  QRF01704_AACY021622950.1       62     -22.9128     -22.9128      0.0000
  QRF01704_CP000825.1            58     -19.2465     -19.2465      0.0000
  QRF01704_EU795157.1            64     -25.6486     -25.6486      0.0000
  QRF01704_ABVN01004790.1        61     -29.1806     -29.1806      0.0000
  QRF01704_ABMN01086741.1        60     -22.9116     -22.9116      0.0000
  QRF01704_DQ325539.1            60     -32.3058     -32.3058      0.0000
  QRF01704_ACNY01000005.1        62     -27.1233     -27.1233      0.0000
  QRF01704_ACNY01000004.1        60     -29.2981     -29.2981      0.0000
  QRF01704_ABVT01000061.1        57     -23.4444     -23.4444      0.0000
  QRF00023_CP001665.1           363     -14.0332     -14.0332      0.0000
  QRF00023_CP001509.3           363     -14.0332     -14.0332      0.0000
  QRF00023_CP000819.1           363     -14.0332     -14.0332      0.0000
  QRF00023_AM946981.2           363     -14.0332     -14.0332      0.0000
  QRF00023_ADTQ01000184.1       363     -14.0332     -14.0332      0.0000
  QRF00023_ADBT01000188.1       363     -14.0332     -14.0332      0.0000
  QRF00023_FN543093.2           364     -14.4187     -14.4187      0.0000
  QRF00023_AFAG01000033.1       363     -11.4247     -11.4247      0.0000
  QRF00023_AFAF01000014.1       363     -11.4247     -11.4247      0.0000
  QRF00023_ADUS01000034.1       363     -11.4247     -11.4247      0.0000
  QRF00023_U36840.1             363     -14.0332     -14.0332      0.0000
  QRF00023_FN649414.1           363     -14.0332     -14.0332      0.0000
  QRF00023_CU928162.2           363     -14.0332     -14.0332      0.0000
  QRF00023_CU928161.2           363     -14.0332     -14.0332      0.0000
  QRF00023_CU928158.2           363     -14.0332     -14.0332      0.0000
  QRF00023_CU651637.1           363     -14.0332     -14.0332      0.0000
  QRF00023_CP003034.1           363     -14.0332     -14.0332      0.0000
  QRF00023_CP002797.2           363     -14.0332     -14.0332      0.0000
  QRF00023_CP002729.1           363     -14.0332     -14.0332      0.0000
  QRF00023_CP002516.1           363     -14.0332     -14.0332      0.0000
  QRF00023_CP002212.1           363     -14.0332     -14.0332      0.0000
  QRF00023_CP002211.1           363     -14.0332     -14.0332      0.0000
  QRF00023_CP002185.1           363     -14.0332     -14.0332      0.0000
