# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00083.cm
# date:    Sat May 14 01:19:50 2016
# seed:    1463188790
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  GlmZ_SraJ                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:09.12       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -88.1475     -88.1475      0.0000
  QRF01739_AGJC01000011.1        62     -84.0309     -84.0309      0.0000
  QRF01739_AP012205.1            62     -88.5141     -88.5141      0.0000
  QRF01739_AEPQ01000180.1        85     -74.1200     -74.1200      0.0000
  QRF01739_AACY023065314.1       57     -94.7537     -94.7537      0.0000
  QRF01739_AACY020081009.1       57     -94.7537     -94.7537      0.0000
  QRF01739_ACSK01000180.1        92     -74.1470     -75.9841      1.8370
  QRF01739_BA000039.2           113     -63.4966     -63.4966      0.0000
  QRF01739_AACY023081145.1       53    -100.1839    -100.1839      0.0000
  QRF01739_AFSR01000238.1        99     -72.2408     -72.2408      0.0000
  QRF01739_AGJC01000003.1        76     -75.9319     -75.9319      0.0000
  QRF01739_AFSR01000146.1        92     -70.0774     -70.0774      0.0000
  QRF01739_CACA01000349.1        84     -82.4787     -82.4787      0.0000
  QRF01739_AACY022751187.1       52     -96.6364     -96.6364      0.0000
  QRF01739_AACY022283709.1       52     -96.6364     -96.6364      0.0000
  QRF01739_ABPS01003770.1       123     -61.3785     -61.3785      0.0000
  QRF01739_AFEJ01000345.1        83     -83.7028     -83.7028      0.0000
  QRF00005_CABR01000029.1        73     -87.9249     -87.9249      0.0000
  QRF00005_AFSR01002788.1        74     -80.2517     -80.2517      0.0000
  QRF00005_CP000927.1            72     -84.7092     -84.7092      0.0000
  QRF00005_AY741371.1            72     -82.7414     -82.7414      0.0000
  QRF00005_AEGR01000006.1        73     -82.8627     -82.8627      0.0000
  QRF00005_CP001189.1            73     -84.1646     -84.1646      0.0000
  QRF00005_CP000493.1            72     -86.5872     -86.5872      0.0000
  QRF00005_AP012159.1            73     -84.1646     -84.1646      0.0000
  QRF00005_AM889285.1            73     -84.1646     -84.1646      0.0000
  QRF00005_AGFR01000003.1        73     -80.4808     -80.4808      0.0000
  QRF00005_AFCH01000046.1        73     -84.1646     -84.1646      0.0000
  QRF00005_ADTV01000009.1        73     -84.1646     -84.1646      0.0000
  QRF00005_ABCE01000025.1        73     -81.4284     -81.4284      0.0000
  QRF00005_HM565909.1            72     -82.6114     -82.6114      0.0000
  QRF00005_CAFG01000441.1        73     -82.9728     -82.9728      0.0000
  QRF00005_AACY020656879.1       72     -82.8414     -82.8414      0.0000
  QRF00005_CP001744.1            73     -82.3942     -82.3942      0.0000
  QRF00005_CP000880.1            73     -75.6888     -75.6888      0.0000
  QRF00005_CACD01000012.1        73     -75.6888     -75.6888      0.0000
  QRF00005_CACD01000012.1        73     -75.6888     -75.6888      0.0000
  QRF00005_CACD01000012.1        73     -75.6888     -75.6888      0.0000
  QRF00005_AM849034.1            74     -75.7235     -75.7235      0.0000
  QRF00005_AM711867.1            74     -75.7235     -75.7235      0.0000
  QRF00005_AEQT01000005.1        73     -75.6888     -75.6888      0.0000
  QRF00005_AEQT01000005.1        73     -75.6888     -75.6888      0.0000
  QRF00005_ACDJ01000003.1        73     -75.6888     -75.6888      0.0000
  QRF00005_ABWL02000007.1        73     -75.6888     -75.6888      0.0000
  QRF00005_Z71579.1              73     -83.2684     -83.2684      0.0000
  QRF00005_X53782.1              73     -83.2684     -83.2684      0.0000
  QRF00005_M19391.1              73     -83.2684     -83.2684      0.0000
  QRF00005_M15314.1              73     -83.2684     -83.2684      0.0000
  QRF00005_L42023.1              73     -83.2684     -83.2684      0.0000
  QRF00005_L42023.1              73     -83.2684     -83.2684      0.0000
  QRF00005_L42023.1              73     -83.2684     -83.2684      0.0000
  QRF00005_FQ670204.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ670204.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ670204.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ670178.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ670178.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ670178.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ670178.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ312006.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ312006.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ312006.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ312002.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ312002.1            73     -83.2684     -83.2684      0.0000
  QRF00005_FQ312002.1            73     -83.2684     -83.2684      0.0000
  QRF00005_EF196803.1            73     -83.2684     -83.2684      0.0000
  QRF00005_EF196803.1            73     -83.2684     -83.2684      0.0000
  QRF00005_CP003022.1            73     -83.2684     -83.2684      0.0000
  QRF00001_EU093378.1           119     -55.7868     -55.7868      0.0000
  QRF00001_AAAA02047827.1       119     -55.6824     -55.6824      0.0000
  QRF00001_AAAA02043281.1       119     -55.9705     -55.9705      0.0000
  QRF00001_EF064700.1           119     -54.9848     -54.9848      0.0000
  QRF00001_EF064692.1           119     -54.9848     -54.9848      0.0000
  QRF00001_EF064687.1           119     -54.9848     -54.9848      0.0000
  QRF00001_EF064680.1           119     -54.9848     -54.9848      0.0000
  QRF00001_EF064678.1           119     -54.9848     -54.9848      0.0000
  QRF00001_EF064556.1           119     -54.9848     -54.9848      0.0000
  QRF00001_AJ390135.1           119     -54.9848     -54.9848      0.0000
  QRF00001_HQ270965.1           119     -55.6824     -55.6824      0.0000
  QRF00001_GQ324770.1           119     -55.6824     -55.6824      0.0000
  QRF00001_FJ882503.1           119     -55.6824     -55.6824      0.0000
  QRF00001_AF550740.1           119     -55.6824     -55.6824      0.0000
  QRF00001_HQ270648.1           119     -54.4751     -54.4751      0.0000
  QRF00001_EU924818.1           119     -54.4751     -54.4751      0.0000
  QRF00001_EU093153.1           119     -54.4751     -54.4751      0.0000
  QRF00001_EF524209.1           119     -54.4751     -54.4751      0.0000
  QRF00001_AY316209.1           119     -54.4751     -54.4751      0.0000
  QRF00001_AY034674.1           119     -54.4751     -54.4751      0.0000
  QRF00001_AJ409525.1           119     -54.4751     -54.4751      0.0000
  QRF00001_AF550715.1           119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01010155.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01009775.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01009775.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01009775.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01009135.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01009119.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01009117.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01005845.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01005845.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01005844.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01005841.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01005839.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01005838.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01005838.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01005835.1       119     -54.4751     -54.4751      0.0000
  QRF00001_ABXC01005835.1       119     -54.4751     -54.4751      0.0000
  QRF00001_AAAA02039752.1       119     -52.4332     -52.4332      0.0000
  QRF00001_EU925066.1           119     -53.0418     -53.0418      0.0000
  QRF00001_EU093209.1           119     -53.0418     -53.0418      0.0000
  QRF00001_U02637.1             119     -53.0418     -53.0418      0.0000
  QRF00001_EU439291.1           119     -53.0418     -53.0418      0.0000
  QRF00001_EU439286.1           119     -53.0418     -53.0418      0.0000
  QRF00001_EU439284.1           119     -53.0418     -53.0418      0.0000
  QRF00001_EU439282.1           119     -53.0418     -53.0418      0.0000
  QRF00001_EU439280.1           119     -53.0418     -53.0418      0.0000
  QRF00001_EU439279.1           119     -53.0418     -53.0418      0.0000
  QRF00001_EU439278.1           119     -53.0418     -53.0418      0.0000
  QRF00001_EU439277.1           119     -53.0418     -53.0418      0.0000
  QRF01704_ACNY01000005.1        62     -92.7395     -92.7395      0.0000
  QRF01704_ADXL01000065.1        61     -96.1481     -96.1481      0.0000
  QRF01704_ADXL01000046.1        61     -91.3542     -91.3542      0.0000
  QRF01704_ADHP01001127.1        63     -82.4528     -82.4528      0.0000
  QRF01704_ADXM01000029.1        71     -90.9196     -90.9196      0.0000
  QRF01704_FJ869257.1            62     -95.5564     -95.5564      0.0000
  QRF01704_BX569692.1            62     -95.5564     -95.5564      0.0000
  QRF01704_AACY023835177.1       64     -93.2174     -93.2174      0.0000
  QRF01704_ACNY01000003.1        61     -96.1741     -96.1741      0.0000
  QRF01704_AACY020212823.1       62     -90.3462     -90.3462      0.0000
  QRF01704_GQ237222.1            58     -92.4514     -92.4514      0.0000
  QRF01704_ADHP01000860.1        64     -88.1495     -88.1495      0.0000
  QRF01704_AACY020313707.1       62     -89.1519     -89.1519      0.0000
  QRF01704_ACDW01000004.1        62     -92.1031     -92.1031      0.0000
  QRF01704_AACY022014507.1       62     -91.9791     -91.9791      0.0000
  QRF01704_ADHP01000878.1        59     -95.1721     -95.1721      0.0000
  QRF01704_AACY022415810.1       58     -95.8739     -95.8739      0.0000
  QRF01704_AACY020575673.1       58     -95.8739     -95.8739      0.0000
  QRF01704_ACNY01000005.1        59     -92.9675     -92.9675      0.0000
  QRF01704_ADHP01000854.1        63     -81.9581     -81.9581      0.0000
  QRF01704_GU936714.1            59     -98.7918     -98.7918      0.0000
  QRF01704_AACY021622950.1       62     -91.2992     -91.2992      0.0000
  QRF01704_CP000825.1            58     -95.4159     -95.4159      0.0000
  QRF01704_EU795157.1            64     -91.1457     -91.1457      0.0000
  QRF01704_ABVN01004790.1        61     -96.9753     -96.9753      0.0000
  QRF01704_ABMN01086741.1        60     -92.4764     -92.4764      0.0000
  QRF01704_DQ325539.1            60     -93.7322     -93.7322      0.0000
  QRF01704_ACNY01000005.1        62     -91.3884     -91.3884      0.0000
  QRF01704_ACNY01000004.1        60     -92.9311     -92.9311      0.0000
  QRF01704_ABVT01000061.1        57     -95.3906     -95.3906      0.0000
  QRF00023_CP001665.1           363     -32.0276     -32.0276      0.0000
  QRF00023_CP001509.3           363     -32.0276     -32.0276      0.0000
  QRF00023_CP000819.1           363     -32.0276     -32.0276      0.0000
  QRF00023_AM946981.2           363     -32.0276     -32.0276      0.0000
  QRF00023_ADTQ01000184.1       363     -32.0276     -32.0276      0.0000
  QRF00023_ADBT01000188.1       363     -32.0276     -32.0276      0.0000
  QRF00023_FN543093.2           364     -33.0988     -33.0988      0.0000
  QRF00023_AFAG01000033.1       363     -32.6761     -32.6761      0.0000
  QRF00023_AFAF01000014.1       363     -32.6761     -32.6761      0.0000
  QRF00023_ADUS01000034.1       363     -32.6761     -32.6761      0.0000
  QRF00023_U36840.1             363     -32.8916     -32.8916      0.0000
  QRF00023_FN649414.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CU928162.2           363     -32.8916     -32.8916      0.0000
  QRF00023_CU928161.2           363     -32.8916     -32.8916      0.0000
  QRF00023_CU928158.2           363     -32.8916     -32.8916      0.0000
  QRF00023_CU651637.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP003034.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP002797.2           363     -32.8916     -32.8916      0.0000
  QRF00023_CP002729.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP002516.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP002212.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP002211.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP002185.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP002167.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP001969.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP001855.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP001671.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP001637.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP001396.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP001383.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP000970.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP000948.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP000802.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP000243.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CP000038.1           363     -32.8916     -32.8916      0.0000
  QRF00023_CAFL01000074.1       363     -32.8916     -32.8916      0.0000
  QRF00023_CADZ01000057.1       363     -32.8916     -32.8916      0.0000
  QRF00023_BAAV01002786.1       363     -32.8916     -32.8916      0.0000
  QRF00023_AP012030.1           363     -32.8916     -32.8916      0.0000
  QRF00023_AP010960.1           363     -32.8916     -32.8916      0.0000
  QRF00023_AP010958.1           363     -32.8916     -32.8916      0.0000
  QRF00023_AP010953.1           363     -32.8916     -32.8916      0.0000
  QRF00023_AP009378.1           363     -32.8916     -32.8916      0.0000
  QRF00023_AP009240.1           363     -32.8916     -32.8916      0.0000
  QRF00023_AP009048.1           363     -32.8916     -32.8916      0.0000
  QRF00023_AJ304858.2           363     -32.8916     -32.8916      0.0000
  QRF00023_AGTK01000236.1       363     -32.8916     -32.8916      0.0000
  QRF00023_AGTJ01000345.1       363     -32.8916     -32.8916      0.0000
  QRF00023_AGTI01000029.1       363     -32.8916     -32.8916      0.0000
  QRF00023_AGTH01000033.1       363     -32.8916     -32.8916      0.0000
  QRF00010_CP002738.1           351     -33.9706     -33.9706      0.0000
  QRF00010_ABSP01001676.1       350     -39.3246     -39.3246      0.0000
  QRF00010_FO082060.1           365     -34.6248     -34.6767      0.0519
  QRF00010_AFJF01000001.1       394     -31.8484     -31.8484      0.0000
  QRF00010_AEGW02000003.1       350     -39.3246     -39.3246      0.0000
  QRF00010_CP002086.1           354     -32.2989     -32.2989      0.0000
  QRF00010_ACJN02000001.1       533     -33.7260     -33.7260      0.0000
  QRF00010_CP002881.1           360     -34.1167     -34.1167      0.0000
  QRF00010_AFOH01000117.1       345     -38.3344     -38.3344      0.0000
  QRF00010_AACY020185705.1      350     -36.4051     -36.4051      0.0000
  QRF00010_AGSX01000193.1       359     -36.9469     -36.9469      0.0000
  QRF00010_AFWT01000009.1       368     -30.9894     -30.9894      0.0000
  QRF00010_FM209186.1           350     -42.4959     -42.4959      0.0000
  QRF00010_CP002496.1           350     -42.4959     -42.4959      0.0000
  QRF00010_CP000438.1           350     -42.4959     -42.4959      0.0000
  QRF00010_BADP01000198.1       350     -42.4959     -42.4959      0.0000
  QRF00010_AP012280.1           350     -42.4959     -42.4959      0.0000
  QRF00010_AFXK01000001.1       350     -42.4959     -42.4959      0.0000
  QRF00010_AFXJ01000001.1       350     -42.4959     -42.4959      0.0000
  QRF00010_AFXI01000001.1       350     -42.4959     -42.4959      0.0000
  QRF00010_AFNF01000315.1       350     -42.4959     -42.4959      0.0000
  QRF00010_AEVW01000050.1       350     -42.4959     -42.4959      0.0000
  QRF00010_AEVV01000076.1       350     -42.4959     -42.4959      0.0000
  QRF00010_AEEX01000069.1       350     -42.4959     -42.4959      0.0000
  QRF00010_AE004091.2           350     -42.4959     -42.4959      0.0000
  QRF00010_ACWU01000204.1       350     -42.4959     -42.4959      0.0000
  QRF00010_ABKZ01000485.1       350     -42.4959     -42.4959      0.0000
  QRF00010_CP002622.1           360     -34.1167     -34.1167      0.0000
  QRF00010_ABYY01000008.1       344     -31.9302     -31.9302      0.0000
  QRF00010_AACY020062040.1      355     -41.1952     -47.2824      6.0872
  QRF00010_AACY023745699.1      347     -35.3814     -35.3814      0.0000
  QRF00010_AGTR01000084.1       350     -45.9561     -45.9561      0.0000
  QRF00010_CP000937.1           344     -31.9302     -31.9302      0.0000
  QRF00010_ACKY01000130.1       336     -34.2565     -34.2565      0.0000
  QRF00010_AAQW01000001.1       350     -42.4959     -42.4959      0.0000
  QRF00010_AFZB01000010.1       349     -38.5109     -38.5109      0.0000
  QRF00010_AFOC01000030.1       349     -38.5109     -38.5109      0.0000
  QRF00010_ABSG01000028.1       354     -41.1239     -41.1239      0.0000
  QRF00010_ABSP01006958.1       367     -41.1463     -41.1463      0.0000
  QRF00010_CP000744.1           350     -38.3238     -38.3238      0.0000
  QRF00010_CP001978.1           350     -47.1387     -47.1387      0.0000
  QRF00010_AP011529.1           404     -23.1364     -23.1364      0.0000
  QRF00010_AGBG01000003.1       351     -32.0623     -32.0623      0.0000
  QRF00010_CR628336.1           373     -30.9424     -30.9424      0.0000
  QRF00010_CP001649.1           366     -35.5667     -35.5667      0.0000
  QRF00010_CP002870.1           360     -27.4560     -27.4560      0.0000
  QRF00010_AFFX01000011.1       358     -32.0657     -32.0657      0.0000
  QRF00010_CP002727.1           350     -30.0837     -30.0837      0.0000
  QRF00010_CP001798.1           351     -35.7860     -35.7860      0.0000
  QRF00010_AATN01000057.1       365     -37.8387     -37.8387      0.0000
  QRF01695_CP001875.2            88     -73.7973     -73.7973      0.0000
  QRF01695_AEAF01000460.1        87     -82.2238     -82.2238      0.0000
  QRF01695_AGAS01001096.1        87     -83.2319     -83.2319      0.0000
  QRF01695_AEAI01001819.1        87     -83.2319     -83.2319      0.0000
  QRF01695_AEAI01000880.1        87     -83.2319     -83.2319      0.0000
  QRF01695_ADMI01000085.1        87     -83.2319     -83.2319      0.0000
  QRF01695_BAEF01000009.1        88     -73.4833     -73.4833      0.0000
  QRF01695_AFTG01000340.1        87     -82.3647     -82.3647      0.0000
  QRF01695_HM236454.1            88     -74.1753     -74.1753      0.0000
  QRF01695_AM181176.4            87     -80.1359     -80.1359      0.0000
