# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00530.cm
# date:    Sat May 14 01:14:39 2016
# seed:    1463188479
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoMe28S-Cm2645            search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:22.40       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -22.9262     -22.9262      0.0000
  QRF01739_AGJC01000011.1        62     -20.8904     -20.8904      0.0000
  QRF01739_AP012205.1            62     -11.0987     -11.0987      0.0000
  QRF01739_AEPQ01000180.1        85     -13.3561     -13.3561      0.0000
  QRF01739_AACY023065314.1       57     -17.4606     -17.4606      0.0000
  QRF01739_AACY020081009.1       57     -17.4606     -17.4606      0.0000
  QRF01739_ACSK01000180.1        92     -19.9692     -19.9692      0.0000
  QRF01739_BA000039.2           113     -20.0326     -20.0326      0.0000
  QRF01739_AACY023081145.1       53     -24.6313     -24.6313      0.0000
  QRF01739_AFSR01000238.1        99     -22.2352     -22.2352      0.0000
  QRF01739_AGJC01000003.1        76     -19.5251     -19.5251      0.0000
  QRF01739_AFSR01000146.1        92     -23.9793     -23.9793      0.0000
  QRF01739_CACA01000349.1        84     -20.5136     -20.5136      0.0000
  QRF01739_AACY022751187.1       52     -22.4176     -22.4176      0.0000
  QRF01739_AACY022283709.1       52     -22.4176     -22.4176      0.0000
  QRF01739_ABPS01003770.1       123      -3.4765      -3.4765      0.0000
  QRF01739_AFEJ01000345.1        83     -22.9714     -22.9714      0.0000
  QRF00005_CABR01000029.1        73     -24.9025     -24.9025      0.0000
  QRF00005_AFSR01002788.1        74     -19.6077     -19.6077      0.0000
  QRF00005_CP000927.1            72     -25.0396     -25.0396      0.0000
  QRF00005_AY741371.1            72     -29.2688     -29.2688      0.0000
  QRF00005_AEGR01000006.1        73     -18.5557     -18.5557      0.0000
  QRF00005_CP001189.1            73     -23.5145     -23.5145      0.0000
  QRF00005_CP000493.1            72     -34.9738     -34.9738      0.0000
  QRF00005_AP012159.1            73     -23.5145     -23.5145      0.0000
  QRF00005_AM889285.1            73     -23.5145     -23.5145      0.0000
  QRF00005_AGFR01000003.1        73     -22.5668     -22.5668      0.0000
  QRF00005_AFCH01000046.1        73     -23.5145     -23.5145      0.0000
  QRF00005_ADTV01000009.1        73     -23.5145     -23.5145      0.0000
  QRF00005_ABCE01000025.1        73     -23.2631     -23.2631      0.0000
  QRF00005_HM565909.1            72     -29.2688     -29.2688      0.0000
  QRF00005_CAFG01000441.1        73     -19.6926     -19.6926      0.0000
  QRF00005_AACY020656879.1       72     -29.2688     -29.2688      0.0000
  QRF00005_CP001744.1            73     -24.9054     -24.9054      0.0000
  QRF00005_CP000880.1            73     -15.9719     -15.9719      0.0000
  QRF00005_CACD01000012.1        73     -15.9719     -15.9719      0.0000
  QRF00005_CACD01000012.1        73     -15.9719     -15.9719      0.0000
  QRF00005_CACD01000012.1        73     -15.9719     -15.9719      0.0000
  QRF00005_AM849034.1            74     -20.8327     -20.8327      0.0000
  QRF00005_AM711867.1            74     -20.8327     -20.8327      0.0000
  QRF00005_AEQT01000005.1        73     -15.9719     -15.9719      0.0000
  QRF00005_AEQT01000005.1        73     -15.9719     -15.9719      0.0000
  QRF00005_ACDJ01000003.1        73     -15.9719     -15.9719      0.0000
  QRF00005_ABWL02000007.1        73     -15.9719     -15.9719      0.0000
  QRF00005_Z71579.1              73     -18.9096     -18.9096      0.0000
  QRF00005_X53782.1              73     -18.9096     -18.9096      0.0000
  QRF00005_M19391.1              73     -18.9096     -18.9096      0.0000
  QRF00005_M15314.1              73     -18.9096     -18.9096      0.0000
  QRF00005_L42023.1              73     -18.9096     -18.9096      0.0000
  QRF00005_L42023.1              73     -18.9096     -18.9096      0.0000
  QRF00005_L42023.1              73     -18.9096     -18.9096      0.0000
  QRF00005_FQ670204.1            73     -18.9096     -18.9096      0.0000
  QRF00005_FQ670204.1            73     -18.9096     -18.9096      0.0000
  QRF00005_FQ670204.1            73     -18.9096     -18.9096      0.0000
  QRF00005_FQ670178.1            73     -18.9096     -18.9096      0.0000
