# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00638.cm
# date:    Sun May  8 20:44:08 2016
# seed:    1462715048
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MIR159                     search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.75       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -66.0367     -66.0367      0.0000
  trna_2                         74     -81.3173     -81.3173      0.0000
  trna_3                         73     -68.7262     -68.7262      0.0000
  trna_4                         72     -72.0341     -72.0341      0.0000
  trna_5                         72     -77.6106     -77.6106      0.0000
  trna_6                         73     -78.8165     -78.8165      0.0000
  trna_7                         73     -72.7521     -72.7521      0.0000
  trna_8                         73     -76.1739     -76.1739      0.0000
  trna_9                         73     -76.2745     -76.2745      0.0000
  trna_10                        72     -78.3391     -78.3391      0.0000
  u5_1                          114     -49.5306     -49.5306      0.0000
  u5_2                          116     -48.4099     -48.4099      0.0000
  u5_3                          118     -57.0719     -57.0719      0.0000
  u5_4                          117     -53.8191     -53.8191      0.0000
  u5_5                          107     -57.7134     -57.7134      0.0000
  u5_6                          116     -52.3600     -52.3600      0.0000
  u5_7                          116     -54.9341     -54.9341      0.0000
  u5_8                          126     -50.8543     -50.8543      0.0000
  u5_9                          115     -51.8281     -51.8281      0.0000
  u5_10                         115     -56.0379     -56.0379      0.0000
  rrtWT_uc011zgd.1_2370         100     -50.3866     -50.3866      0.0000
  rrtWT_uc007ino.1_879          100     -59.0357     -59.0357      0.0000
  rrtWT_uc012dtn.1_1041         100     -43.4129     -43.4129      0.0000
  rrtWT_uc007bjr.2_621          100     -57.6187     -57.6187      0.0000
  rrtWT_uc008hom.1_603          100     -54.6979     -54.6979      0.0000
  rrtWT_uc007wki.1_323          100     -59.8292     -59.8292      0.0000
  rrtWT_uc008fec.1_254          100     -62.3864     -62.3864      0.0000
  rrtWT_uc007wxx.1_716          100     -51.8311     -51.8311      0.0000
  rrtWT_uc009qex.2_2789         100     -58.3126     -58.3126      0.0000
  rrtWT_uc007xbv.1_1165         100     -61.1473     -61.1473      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.86    0.87        0  0.00000    0.00
#
# CPU time: 1.62u 0.02s 00:00:01.64 Elapsed: 00:00:02
