# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01110.cm
# date:    Sat May 14 00:49:13 2016
# seed:    1463186953
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PSLVbeta_UPD-PK2           search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:04.01       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -0.7761      -0.7761      0.0000
  QRF01739_AGJC01000011.1        62       1.3029       1.3029      0.0000
  QRF01739_AP012205.1            62       2.8168       2.8168      0.0000
  QRF01739_AEPQ01000180.1        85       0.0409       0.0409      0.0000
  QRF01739_AACY023065314.1       57       0.1959       0.1959      0.0000
  QRF01739_AACY020081009.1       57       0.1959       0.1959      0.0000
  QRF01739_ACSK01000180.1        92       7.9009       7.9009      0.0000
  QRF01739_BA000039.2           113      -0.7761      -0.7761      0.0000
  QRF01739_AACY023081145.1       53      -0.6546      -0.6546      0.0000
  QRF01739_AFSR01000238.1        99      -3.2816      -3.2816      0.0000
  QRF01739_AGJC01000003.1        76       1.5404       1.5404      0.0000
  QRF01739_AFSR01000146.1        92      -3.7196      -3.7196      0.0000
  QRF01739_CACA01000349.1        84      -1.5541      -1.5541      0.0000
  QRF01739_AACY022751187.1       52      -4.7591      -4.7591      0.0000
  QRF01739_AACY022283709.1       52      -4.7591      -4.7591      0.0000
  QRF01739_ABPS01003770.1       123      -1.9841      -1.9841      0.0000
  QRF01739_AFEJ01000345.1        83      -5.8931      -5.8931      0.0000
  QRF00005_CABR01000029.1        73      -3.0171      -3.0171      0.0000
  QRF00005_AFSR01002788.1        74       1.8032       1.8032      0.0000
  QRF00005_CP000927.1            72      -3.1033      -3.1033      0.0000
  QRF00005_AY741371.1            72      -5.9215      -5.9215      0.0000
  QRF00005_AEGR01000006.1        73      -3.0171      -3.0171      0.0000
  QRF00005_CP001189.1            73      -2.0241      -2.0241      0.0000
  QRF00005_CP000493.1            72      -3.7829      -3.7829      0.0000
  QRF00005_AP012159.1            73      -2.0241      -2.0241      0.0000
  QRF00005_AM889285.1            73      -2.0241      -2.0241      0.0000
  QRF00005_AGFR01000003.1        73      -3.6662      -3.6662      0.0000
  QRF00005_AFCH01000046.1        73      -2.0241      -2.0241      0.0000
  QRF00005_ADTV01000009.1        73      -2.0241      -2.0241      0.0000
  QRF00005_ABCE01000025.1        73       2.5099       2.5099      0.0000
  QRF00005_HM565909.1            72       2.2045       2.2045      0.0000
  QRF00005_CAFG01000441.1        73      -2.6001      -2.6001      0.0000
  QRF00005_AACY020656879.1       72       2.2045       2.2045      0.0000
  QRF00005_CP001744.1            73       2.3719       2.3719      0.0000
  QRF00005_CP000880.1            73      -3.0971      -3.0971      0.0000
  QRF00005_CACD01000012.1        73      -3.0971      -3.0971      0.0000
  QRF00005_CACD01000012.1        73      -3.0971      -3.0971      0.0000
  QRF00005_CACD01000012.1        73      -3.0971      -3.0971      0.0000
  QRF00005_AM849034.1            74      -0.8021      -0.8021      0.0000
  QRF00005_AM711867.1            74      -0.8021      -0.8021      0.0000
  QRF00005_AEQT01000005.1        73      -3.0971      -3.0971      0.0000
  QRF00005_AEQT01000005.1        73      -3.0971      -3.0971      0.0000
  QRF00005_ACDJ01000003.1        73      -3.0971      -3.0971      0.0000
  QRF00005_ABWL02000007.1        73      -3.0971      -3.0971      0.0000
  QRF00005_Z71579.1              73      -1.2261      -1.2261      0.0000
  QRF00005_X53782.1              73      -1.2261      -1.2261      0.0000
  QRF00005_M19391.1              73      -1.2261      -1.2261      0.0000
  QRF00005_M15314.1              73      -1.2261      -1.2261      0.0000
  QRF00005_L42023.1              73      -1.2261      -1.2261      0.0000
  QRF00005_L42023.1              73      -1.2261      -1.2261      0.0000
  QRF00005_L42023.1              73      -1.2261      -1.2261      0.0000
  QRF00005_FQ670204.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ670204.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ670204.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ670178.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ670178.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ670178.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ670178.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ312006.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ312006.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ312006.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ312002.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ312002.1            73      -1.2261      -1.2261      0.0000
  QRF00005_FQ312002.1            73      -1.2261      -1.2261      0.0000
  QRF00005_EF196803.1            73      -1.2261      -1.2261      0.0000
  QRF00005_EF196803.1            73      -1.2261      -1.2261      0.0000
  QRF00005_CP003022.1            73      -1.2261      -1.2261      0.0000
  QRF00001_EU093378.1           119      -0.5152      -0.5152      0.0000
  QRF00001_AAAA02047827.1       119      -0.5152      -0.5152      0.0000
  QRF00001_AAAA02043281.1       119      -0.5152      -0.5152      0.0000
  QRF00001_EF064700.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EF064692.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EF064687.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EF064680.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EF064678.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EF064556.1           119      -0.5152      -0.5152      0.0000
  QRF00001_AJ390135.1           119      -0.5152      -0.5152      0.0000
  QRF00001_HQ270965.1           119      -0.5152      -0.5152      0.0000
  QRF00001_GQ324770.1           119      -0.5152      -0.5152      0.0000
  QRF00001_FJ882503.1           119      -0.5152      -0.5152      0.0000
  QRF00001_AF550740.1           119      -0.5152      -0.5152      0.0000
  QRF00001_HQ270648.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU924818.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU093153.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EF524209.1           119      -0.5152      -0.5152      0.0000
  QRF00001_AY316209.1           119      -0.5152      -0.5152      0.0000
  QRF00001_AY034674.1           119      -0.5152      -0.5152      0.0000
  QRF00001_AJ409525.1           119      -0.5152      -0.5152      0.0000
  QRF00001_AF550715.1           119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01010155.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01009775.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01009775.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01009775.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01009135.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01009119.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01009117.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01005845.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01005845.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01005844.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01005841.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01005839.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01005838.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01005838.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01005835.1       119      -0.5152      -0.5152      0.0000
  QRF00001_ABXC01005835.1       119      -0.5152      -0.5152      0.0000
  QRF00001_AAAA02039752.1       119      -0.5152      -0.5152      0.0000
  QRF00001_EU925066.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU093209.1           119      -0.5152      -0.5152      0.0000
  QRF00001_U02637.1             119      -0.5152      -0.5152      0.0000
  QRF00001_EU439291.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU439286.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU439284.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU439282.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU439280.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU439279.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU439278.1           119      -0.5152      -0.5152      0.0000
  QRF00001_EU439277.1           119      -0.5152      -0.5152      0.0000
  QRF01704_ACNY01000005.1        62      -2.6711      -2.6711      0.0000
  QRF01704_ADXL01000065.1        61      -8.7099      -8.7099      0.0000
  QRF01704_ADXL01000046.1        61      -4.8651      -4.8651      0.0000
  QRF01704_ADHP01001127.1        63      -0.5261      -0.5261      0.0000
  QRF01704_ADXM01000029.1        71      -4.2061      -4.2061      0.0000
  QRF01704_FJ869257.1            62      -9.6626      -9.6626      0.0000
  QRF01704_BX569692.1            62      -9.6626      -9.6626      0.0000
  QRF01704_AACY023835177.1       64      -6.9011      -6.9011      0.0000
  QRF01704_ACNY01000003.1        61      -5.1914      -5.1914      0.0000
  QRF01704_AACY020212823.1       62      -4.0061      -4.0061      0.0000
  QRF01704_GQ237222.1            58      -4.3821      -4.3821      0.0000
  QRF01704_ADHP01000860.1        64      -1.3431      -1.3431      0.0000
  QRF01704_AACY020313707.1       62      -9.1450      -9.1450      0.0000
  QRF01704_ACDW01000004.1        62      -0.5351      -0.5351      0.0000
  QRF01704_AACY022014507.1       62      -1.3321      -1.3321      0.0000
  QRF01704_ADHP01000878.1        59      -7.6832      -7.6832      0.0000
  QRF01704_AACY022415810.1       58      -7.6832      -7.6832      0.0000
  QRF01704_AACY020575673.1       58      -7.6832      -7.6832      0.0000
  QRF01704_ACNY01000005.1        59     -10.5761     -10.5761      0.0000
  QRF01704_ADHP01000854.1        63      -4.2554      -4.2554      0.0000
  QRF01704_GU936714.1            59     -11.2232     -11.2232      0.0000
  QRF01704_AACY021622950.1       62       2.2929       2.2929      0.0000
  QRF01704_CP000825.1            58      -7.6832      -7.6832      0.0000
  QRF01704_EU795157.1            64      -7.8820      -7.8820      0.0000
  QRF01704_ABVN01004790.1        61      -4.6978      -4.6978      0.0000
  QRF01704_ABMN01086741.1        60      -2.8658      -2.8658      0.0000
  QRF01704_DQ325539.1            60     -11.7682     -11.7682      0.0000
  QRF01704_ACNY01000005.1        62      -9.5419      -9.5419      0.0000
  QRF01704_ACNY01000004.1        60      -8.6961      -8.6961      0.0000
  QRF01704_ABVT01000061.1        57      -5.9301      -5.9301      0.0000
  QRF00023_CP001665.1           363       6.5099       6.5099      0.0000
  QRF00023_CP001509.3           363       6.5099       6.5099      0.0000
  QRF00023_CP000819.1           363       6.5099       6.5099      0.0000
  QRF00023_AM946981.2           363       6.5099       6.5099      0.0000
  QRF00023_ADTQ01000184.1       363       6.5099       6.5099      0.0000
  QRF00023_ADBT01000188.1       363       6.5099       6.5099      0.0000
  QRF00023_FN543093.2           364       6.5099       6.5099      0.0000
  QRF00023_AFAG01000033.1       363       6.5099       6.5099      0.0000
  QRF00023_AFAF01000014.1       363       6.5099       6.5099      0.0000
  QRF00023_ADUS01000034.1       363       6.5099       6.5099      0.0000
  QRF00023_U36840.1             363       6.5099       6.5099      0.0000
  QRF00023_FN649414.1           363       6.5099       6.5099      0.0000
  QRF00023_CU928162.2           363       6.5099       6.5099      0.0000
  QRF00023_CU928161.2           363       6.5099       6.5099      0.0000
  QRF00023_CU928158.2           363       6.5099       6.5099      0.0000
  QRF00023_CU651637.1           363       6.5099       6.5099      0.0000
  QRF00023_CP003034.1           363       6.5099       6.5099      0.0000
  QRF00023_CP002797.2           363       6.5099       6.5099      0.0000
  QRF00023_CP002729.1           363       6.5099       6.5099      0.0000
  QRF00023_CP002516.1           363       6.5099       6.5099      0.0000
  QRF00023_CP002212.1           363       6.5099       6.5099      0.0000
  QRF00023_CP002211.1           363       6.5099       6.5099      0.0000
  QRF00023_CP002185.1           363       6.5099       6.5099      0.0000
  QRF00023_CP002167.1           363       6.5099       6.5099      0.0000
  QRF00023_CP001969.1           363       6.5099       6.5099      0.0000
  QRF00023_CP001855.1           363       6.5099       6.5099      0.0000
  QRF00023_CP001671.1           363       6.5099       6.5099      0.0000
  QRF00023_CP001637.1           363       6.5099       6.5099      0.0000
  QRF00023_CP001396.1           363       6.5099       6.5099      0.0000
  QRF00023_CP001383.1           363       6.5099       6.5099      0.0000
  QRF00023_CP000970.1           363       6.5099       6.5099      0.0000
  QRF00023_CP000948.1           363       6.5099       6.5099      0.0000
  QRF00023_CP000802.1           363       6.5099       6.5099      0.0000
  QRF00023_CP000243.1           363       6.5099       6.5099      0.0000
  QRF00023_CP000038.1           363       6.5099       6.5099      0.0000
  QRF00023_CAFL01000074.1       363       6.5099       6.5099      0.0000
  QRF00023_CADZ01000057.1       363       6.5099       6.5099      0.0000
  QRF00023_BAAV01002786.1       363       6.5099       6.5099      0.0000
  QRF00023_AP012030.1           363       6.5099       6.5099      0.0000
  QRF00023_AP010960.1           363       6.5099       6.5099      0.0000
  QRF00023_AP010958.1           363       6.5099       6.5099      0.0000
  QRF00023_AP010953.1           363       6.5099       6.5099      0.0000
  QRF00023_AP009378.1           363       6.5099       6.5099      0.0000
  QRF00023_AP009240.1           363       6.5099       6.5099      0.0000
  QRF00023_AP009048.1           363       6.5099       6.5099      0.0000
  QRF00023_AJ304858.2           363       6.5099       6.5099      0.0000
  QRF00023_AGTK01000236.1       363       6.5099       6.5099      0.0000
  QRF00023_AGTJ01000345.1       363       6.5099       6.5099      0.0000
  QRF00023_AGTI01000029.1       363       6.5099       6.5099      0.0000
  QRF00023_AGTH01000033.1       363       6.5099       6.5099      0.0000
  QRF00010_CP002738.1           351      -1.3391      -1.3391      0.0000
  QRF00010_ABSP01001676.1       350       5.0431       5.0431      0.0000
  QRF00010_FO082060.1           365      -0.9841      -0.9841      0.0000
  QRF00010_AFJF01000001.1       394       8.8293       8.8293      0.0000
  QRF00010_AEGW02000003.1       350       5.0431       5.0431      0.0000
  QRF00010_CP002086.1           354       5.3099       5.3099      0.0000
  QRF00010_ACJN02000001.1       533       1.8169       1.8169      0.0000
  QRF00010_CP002881.1           360      -0.9743      -0.9743      0.0000
  QRF00010_AFOH01000117.1       345       3.0379       3.0379      0.0000
  QRF00010_AACY020185705.1      350      -1.1902      -1.1902      0.0000
  QRF00010_AGSX01000193.1       359      -0.9743      -0.9743      0.0000
  QRF00010_AFWT01000009.1       368      -2.9033      -2.9033      0.0000
  QRF00010_FM209186.1           350      -1.1902      -1.1902      0.0000
  QRF00010_CP002496.1           350      -1.1902      -1.1902      0.0000
  QRF00010_CP000438.1           350      -1.1902      -1.1902      0.0000
  QRF00010_BADP01000198.1       350      -1.1902      -1.1902      0.0000
  QRF00010_AP012280.1           350      -1.1902      -1.1902      0.0000
  QRF00010_AFXK01000001.1       350      -1.1902      -1.1902      0.0000
  QRF00010_AFXJ01000001.1       350      -1.1902      -1.1902      0.0000
  QRF00010_AFXI01000001.1       350      -1.1902      -1.1902      0.0000
  QRF00010_AFNF01000315.1       350      -1.1902      -1.1902      0.0000
  QRF00010_AEVW01000050.1       350      -1.1902      -1.1902      0.0000
  QRF00010_AEVV01000076.1       350      -1.1902      -1.1902      0.0000
  QRF00010_AEEX01000069.1       350      -1.1902      -1.1902      0.0000
  QRF00010_AE004091.2           350      -1.1902      -1.1902      0.0000
  QRF00010_ACWU01000204.1       350      -1.1902      -1.1902      0.0000
  QRF00010_ABKZ01000485.1       350      -1.1902      -1.1902      0.0000
  QRF00010_CP002622.1           360      -0.9743      -0.9743      0.0000
  QRF00010_ABYY01000008.1       344       4.4546       4.4546      0.0000
  QRF00010_AACY020062040.1      355      -1.2136      -1.2136      0.0000
  QRF00010_AACY023745699.1      347      -1.5132      -1.5132      0.0000
  QRF00010_AGTR01000084.1       350      -0.9743      -0.9743      0.0000
  QRF00010_CP000937.1           344       4.4546       4.4546      0.0000
  QRF00010_ACKY01000130.1       336      -0.5015      -0.5015      0.0000
  QRF00010_AAQW01000001.1       350      -1.1902      -1.1902      0.0000
  QRF00010_AFZB01000010.1       349      -3.2211      -3.2211      0.0000
  QRF00010_AFOC01000030.1       349      -3.2211      -3.2211      0.0000
  QRF00010_ABSG01000028.1       354      -0.7491      -0.7491      0.0000
  QRF00010_ABSP01006958.1       367       6.1809       6.1809      0.0000
  QRF00010_CP000744.1           350      -1.1902      -1.1902      0.0000
  QRF00010_CP001978.1           350      -0.9743      -0.9743      0.0000
  QRF00010_AP011529.1           404       5.6779       5.6779      0.0000
  QRF00010_AGBG01000003.1       351      -3.3294      -3.3294      0.0000
  QRF00010_CR628336.1           373       0.2041       0.2041      0.0000
  QRF00010_CP001649.1           366       1.2101       1.2101      0.0000
  QRF00010_CP002870.1           360      -1.1902      -1.1902      0.0000
  QRF00010_AFFX01000011.1       358      -1.1902      -1.1902      0.0000
  QRF00010_CP002727.1           350      -1.1902      -1.1902      0.0000
  QRF00010_CP001798.1           351       1.2835       1.2835      0.0000
  QRF00010_AATN01000057.1       365       1.6589       1.6589      0.0000
  QRF01695_CP001875.2            88      -4.7766      -4.7766      0.0000
  QRF01695_AEAF01000460.1        87      -8.4585      -8.4585      0.0000
  QRF01695_AGAS01001096.1        87      -6.9475      -6.9475      0.0000
  QRF01695_AEAI01001819.1        87      -6.9475      -6.9475      0.0000
  QRF01695_AEAI01000880.1        87      -6.9475      -6.9475      0.0000
  QRF01695_ADMI01000085.1        87      -6.9475      -6.9475      0.0000
  QRF01695_BAEF01000009.1        88      -4.7766      -4.7766      0.0000
  QRF01695_AFTG01000340.1        87      -8.4585      -8.4585      0.0000
  QRF01695_HM236454.1            88      -4.7766      -4.7766      0.0000
  QRF01695_AM181176.4            87      -3.5124      -3.5124      0.0000
  QRF01695_AGFS01032870.1        87      -8.4585      -8.4585      0.0000
  QRF01695_AGCS01000002.1        87      -6.9042      -6.9042      0.0000
  QRF01695_AGCS01000002.1        87      -9.0219      -9.0219      0.0000
  QRF01695_CP002154.1            87      -6.4809      -6.4809      0.0000
  QRF01695_AEDL01000013.1        88      -4.7766      -4.7766      0.0000
  QRF01695_AGFS01106545.1        85      -7.7611      -7.7611      0.0000
  QRF01695_AGFS01092185.1        85      -7.7611      -7.7611      0.0000
  QRF01695_AFTG01000021.1        87      -5.4449      -5.4449      0.0000
  QRF01695_AM181176.4            87      -6.6478      -6.6478      0.0000
  QRF01695_HM752578.1            87      -7.4687      -7.4687      0.0000
  QRF01695_AGCS01000012.1        87      -6.9694      -6.9694      0.0000
  QRF01695_CADX01000041.1        88      -3.8546      -3.8546      0.0000
  QRF01695_CADW01000337.1        88      -3.8546      -3.8546      0.0000
  QRF01695_AGFS01169096.1        87      -7.5754      -7.5754      0.0000
  QRF01695_ACOQ01000013.1        87      -7.4061      -7.4061      0.0000
  QRF01695_AFOY01000061.1        86      -4.7766      -4.7766      0.0000
  QRF01695_AFOY01000051.1        87      -3.6731      -3.6731      0.0000
  QRF01695_AFOY01000012.1        86      -4.8056      -4.8056      0.0000
  QRF01695_CADX01000050.1        87      -6.4955      -6.4955      0.0000
  QRF01695_CADW01000142.1        87      -6.4955      -6.4955      0.0000
  QRF01695_BABY01000089.1        88      -4.7766      -4.7766      0.0000
  QRF01695_AFOY01000127.1        87      -6.0222      -6.0222      0.0000
  QRF01695_AF074874.1            88      -8.4513      -8.4513      0.0000
  QRF01695_AEAZ01000014.1        87      -5.7304      -5.7304      0.0000
  QRF01695_AFDY01000012.1        88      -8.2509      -8.2509      0.0000
  QRF01695_AELB01000018.1        88      -8.2509      -8.2509      0.0000
  QRF01695_AEAH01001308.1        87     -10.3555     -10.3555      0.0000
  QRF01695_CP002870.1            87      -7.4426      -7.4426      0.0000
  QRF01695_CADX01000071.1        86      -8.5487      -8.5487      0.0000
  QRF01695_CADW01000082.1        86      -8.5487      -8.5487      0.0000
  QRF01695_AGFS01033379.1        87      -3.8355      -3.8355      0.0000
  QRF01695_ADWS01000024.1        88      -0.2321      -0.2321      0.0000
  QRF01695_AFOY01000118.1        88      -3.1111      -3.1111      0.0000
  QRF01695_CP001657.1            88      -4.5959      -4.5959      0.0000
  QRF01695_CP001600.1            88      -7.6692      -7.6692      0.0000
  QRF01695_AERT01000006.1        88      -4.7766      -4.7766      0.0000
  QRF01695_ADUM01000119.1        88      -4.7766      -4.7766      0.0000
  QRF01695_AEAZ01000003.1        87      -5.4449      -5.4449      0.0000
  QRF01695_CP002585.1            87      -7.9491      -7.9491      0.0000
  QRF01695_CP002956.1            87      -5.3122      -5.3122      0.0000
  QRF01717_ADHP01001027.1        96      -6.1982      -6.1982      0.0000
  QRF01717_ADHP01001105.1        95      -3.2664      -3.2664      0.0000
  QRF01717_AACY020938794.1       96      -4.1821      -4.1821      0.0000
  QRF01717_AACY020892510.1       96      -4.1821      -4.1821      0.0000
  QRF01717_ADHP01000841.1        97      -4.2815      -4.2815      0.0000
  QRF01717_AACY022722874.1       96      -4.1821      -4.1821      0.0000
  QRF01717_ADHP01001079.1        96      -0.8261      -0.8261      0.0000
  QRF01717_ADHP01001075.1        95      -3.4486      -3.4486      0.0000
  QRF01717_AACY023901257.1       96      -0.8261      -0.8261      0.0000
  QRF01717_ADHP01001080.1        95      -3.5751      -3.5751      0.0000
  QRF01717_ADHP01001078.1        95      -0.8261      -0.8261      0.0000
