# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00470.cm
# date:    Sun May  8 20:40:12 2016
# seed:    1462714812
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Toga_5_CRE                 search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:01.25       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73    -115.3644    -115.3644      0.0000
  trna_2                         74    -119.9242    -119.9242      0.0000
  trna_3                         73    -118.3421    -118.3421      0.0000
  trna_4                         72    -127.9785    -127.9785      0.0000
  trna_5                         72    -116.6464    -116.6464      0.0000
  trna_6                         73    -113.9770    -113.9770      0.0000
  trna_7                         73    -122.4243    -122.4243      0.0000
  trna_8                         73    -130.9682    -130.9682      0.0000
  trna_9                         73    -127.9949    -127.9949      0.0000
  trna_10                        72    -120.4587    -120.4587      0.0000
  u5_1                          114     -96.8950     -96.8950      0.0000
  u5_2                          116     -84.4081     -84.4081      0.0000
  u5_3                          118     -95.8778     -95.8778      0.0000
  u5_4                          117     -85.1332     -85.1332      0.0000
  u5_5                          107    -103.5604    -103.5604      0.0000
  u5_6                          116     -87.8531     -87.8531      0.0000
  u5_7                          116     -80.5104     -80.5104      0.0000
  u5_8                          126     -79.1405     -79.1405      0.0000
  u5_9                          115     -89.2000     -89.2000      0.0000
  u5_10                         115     -93.6755     -93.6755      0.0000
  rrtWT_uc011zgd.1_2370         100     -94.3301     -94.3301      0.0000
  rrtWT_uc007ino.1_879          100     -95.4562     -95.4562      0.0000
  rrtWT_uc012dtn.1_1041         100    -109.8305    -109.8305      0.0000
  rrtWT_uc007bjr.2_621          100     -96.9686     -96.9686      0.0000
  rrtWT_uc008hom.1_603          100    -102.5857    -102.5857      0.0000
  rrtWT_uc007wki.1_323          100     -98.0940     -98.0940      0.0000
  rrtWT_uc008fec.1_254          100     -93.1710     -93.1710      0.0000
  rrtWT_uc007wxx.1_716          100    -101.1251    -101.1251      0.0000
  rrtWT_uc009qex.2_2789         100    -102.3295    -102.3295      0.0000
  rrtWT_uc007xbv.1_1165         100     -95.9292     -95.9292      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:01.03    1.21        0  0.00000    0.00
#
# CPU time: 2.28u 0.05s 00:00:02.32 Elapsed: 00:00:03
