# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00636.cm
# date:    Fri May 13 20:18:47 2016
# seed:    1463170727
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  NRON                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:29.10       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -186.2130    -186.2130      0.0000
  QRF01739_AGJC01000011.1        62    -186.9257    -186.9257      0.0000
  QRF01739_AP012205.1            62    -188.1415    -188.1415      0.0000
  QRF01739_AEPQ01000180.1        85    -175.1290    -175.1290      0.0000
  QRF01739_AACY023065314.1       57    -192.5717    -192.5717      0.0000
  QRF01739_AACY020081009.1       57    -192.5717    -192.5717      0.0000
  QRF01739_ACSK01000180.1        92    -173.1681    -173.1681      0.0000
  QRF01739_BA000039.2           113    -158.2605    -158.2605      0.0000
  QRF01739_AACY023081145.1       53    -191.6294    -191.6294      0.0000
  QRF01739_AFSR01000238.1        99    -168.2141    -168.2141      0.0000
  QRF01739_AGJC01000003.1        76    -176.0943    -176.0943      0.0000
  QRF01739_AFSR01000146.1        92    -175.5688    -175.5688      0.0000
  QRF01739_CACA01000349.1        84    -177.4325    -177.4325      0.0000
  QRF01739_AACY022751187.1       52    -195.1730    -195.1730      0.0000
  QRF01739_AACY022283709.1       52    -195.1730    -195.1730      0.0000
  QRF01739_ABPS01003770.1       123    -154.7980    -154.7980      0.0000
  QRF01739_AFEJ01000345.1        83    -178.5029    -178.5029      0.0000
  QRF00005_CABR01000029.1        73    -182.7181    -182.7181      0.0000
  QRF00005_AFSR01002788.1        74    -176.6331    -176.6331      0.0000
  QRF00005_CP000927.1            72    -186.9431    -186.9431      0.0000
  QRF00005_AY741371.1            72    -180.7730    -180.7730      0.0000
  QRF00005_AEGR01000006.1        73    -184.0080    -184.0080      0.0000
  QRF00005_CP001189.1            73    -186.1270    -186.1270      0.0000
  QRF00005_CP000493.1            72    -185.9303    -185.9303      0.0000
  QRF00005_AP012159.1            73    -186.1270    -186.1270      0.0000
  QRF00005_AM889285.1            73    -186.1270    -186.1270      0.0000
  QRF00005_AGFR01000003.1        73    -183.2549    -183.2549      0.0000
  QRF00005_AFCH01000046.1        73    -186.1270    -186.1270      0.0000
  QRF00005_ADTV01000009.1        73    -186.1270    -186.1270      0.0000
  QRF00005_ABCE01000025.1        73    -186.6198    -186.6198      0.0000
  QRF00005_HM565909.1            72    -180.7310    -180.7310      0.0000
  QRF00005_CAFG01000441.1        73    -180.3601    -180.3601      0.0000
  QRF00005_AACY020656879.1       72    -179.1648    -179.1648      0.0000
  QRF00005_CP001744.1            73    -183.8448    -183.8448      0.0000
  QRF00005_CP000880.1            73    -180.4919    -180.4919      0.0000
  QRF00005_CACD01000012.1        73    -180.4919    -180.4919      0.0000
  QRF00005_CACD01000012.1        73    -180.4919    -180.4919      0.0000
  QRF00005_CACD01000012.1        73    -180.4919    -180.4919      0.0000
  QRF00005_AM849034.1            74    -178.2578    -178.2578      0.0000
  QRF00005_AM711867.1            74    -178.2578    -178.2578      0.0000
  QRF00005_AEQT01000005.1        73    -180.4919    -180.4919      0.0000
  QRF00005_AEQT01000005.1        73    -180.4919    -180.4919      0.0000
  QRF00005_ACDJ01000003.1        73    -180.4919    -180.4919      0.0000
  QRF00005_ABWL02000007.1        73    -180.4919    -180.4919      0.0000
  QRF00005_Z71579.1              73    -183.5451    -183.5451      0.0000
  QRF00005_X53782.1              73    -183.5451    -183.5451      0.0000
  QRF00005_M19391.1              73    -183.5451    -183.5451      0.0000
  QRF00005_M15314.1              73    -183.5451    -183.5451      0.0000
  QRF00005_L42023.1              73    -183.5451    -183.5451      0.0000
  QRF00005_L42023.1              73    -183.5451    -183.5451      0.0000
  QRF00005_L42023.1              73    -183.5451    -183.5451      0.0000
  QRF00005_FQ670204.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ670204.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ670204.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ670178.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ670178.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ670178.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ670178.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ312006.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ312006.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ312006.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ312002.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ312002.1            73    -183.5451    -183.5451      0.0000
  QRF00005_FQ312002.1            73    -183.5451    -183.5451      0.0000
  QRF00005_EF196803.1            73    -183.5451    -183.5451      0.0000
  QRF00005_EF196803.1            73    -183.5451    -183.5451      0.0000
  QRF00005_CP003022.1            73    -183.5451    -183.5451      0.0000
  QRF00001_EU093378.1           119    -154.9597    -154.9597      0.0000
  QRF00001_AAAA02047827.1       119    -160.3221    -160.3221      0.0000
  QRF00001_AAAA02043281.1       119    -159.9947    -159.9947      0.0000
  QRF00001_EF064700.1           119    -158.6604    -158.6604      0.0000
  QRF00001_EF064692.1           119    -158.6604    -158.6604      0.0000
  QRF00001_EF064687.1           119    -158.6604    -158.6604      0.0000
  QRF00001_EF064680.1           119    -158.6604    -158.6604      0.0000
  QRF00001_EF064678.1           119    -158.6604    -158.6604      0.0000
  QRF00001_EF064556.1           119    -158.6604    -158.6604      0.0000
  QRF00001_AJ390135.1           119    -158.6604    -158.6604      0.0000
  QRF00001_HQ270965.1           119    -158.4352    -158.4352      0.0000
  QRF00001_GQ324770.1           119    -158.4352    -158.4352      0.0000
  QRF00001_FJ882503.1           119    -158.4352    -158.4352      0.0000
  QRF00001_AF550740.1           119    -158.4352    -158.4352      0.0000
  QRF00001_HQ270648.1           119    -158.5362    -158.5362      0.0000
  QRF00001_EU924818.1           119    -158.5362    -158.5362      0.0000
  QRF00001_EU093153.1           119    -158.5362    -158.5362      0.0000
  QRF00001_EF524209.1           119    -158.5362    -158.5362      0.0000
  QRF00001_AY316209.1           119    -158.5362    -158.5362      0.0000
  QRF00001_AY034674.1           119    -158.5362    -158.5362      0.0000
  QRF00001_AJ409525.1           119    -158.5362    -158.5362      0.0000
  QRF00001_AF550715.1           119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01010155.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01009775.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01009775.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01009775.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01009135.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01009119.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01009117.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01005845.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01005845.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01005844.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01005841.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01005839.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01005838.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01005838.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01005835.1       119    -158.5362    -158.5362      0.0000
  QRF00001_ABXC01005835.1       119    -158.5362    -158.5362      0.0000
  QRF00001_AAAA02039752.1       119    -157.8632    -157.8632      0.0000
  QRF00001_EU925066.1           119    -156.2796    -156.2796      0.0000
  QRF00001_EU093209.1           119    -156.2796    -156.2796      0.0000
  QRF00001_U02637.1             119    -159.1317    -159.1317      0.0000
  QRF00001_EU439291.1           119    -159.1317    -159.1317      0.0000
  QRF00001_EU439286.1           119    -159.1317    -159.1317      0.0000
  QRF00001_EU439284.1           119    -159.1317    -159.1317      0.0000
  QRF00001_EU439282.1           119    -159.1317    -159.1317      0.0000
  QRF00001_EU439280.1           119    -159.1317    -159.1317      0.0000
  QRF00001_EU439279.1           119    -159.1317    -159.1317      0.0000
  QRF00001_EU439278.1           119    -159.1317    -159.1317      0.0000
  QRF00001_EU439277.1           119    -159.1317    -159.1317      0.0000
  QRF01704_ACNY01000005.1        62    -197.6931    -197.6931      0.0000
  QRF01704_ADXL01000065.1        61    -195.0856    -195.0856      0.0000
  QRF01704_ADXL01000046.1        61    -191.6846    -191.6846      0.0000
  QRF01704_ADHP01001127.1        63    -189.5984    -189.5984      0.0000
  QRF01704_ADXM01000029.1        71    -190.0235    -190.0235      0.0000
  QRF01704_FJ869257.1            62    -197.3532    -197.3532      0.0000
  QRF01704_BX569692.1            62    -197.3532    -197.3532      0.0000
  QRF01704_AACY023835177.1       64    -194.3665    -194.3665      0.0000
  QRF01704_ACNY01000003.1        61    -191.1935    -191.1935      0.0000
  QRF01704_AACY020212823.1       62    -187.9480    -187.9480      0.0000
  QRF01704_GQ237222.1            58    -186.8147    -186.8147      0.0000
  QRF01704_ADHP01000860.1        64    -189.1986    -189.1986      0.0000
  QRF01704_AACY020313707.1       62    -196.5898    -196.5898      0.0000
  QRF01704_ACDW01000004.1        62    -186.3381    -186.3381      0.0000
  QRF01704_AACY022014507.1       62    -188.8530    -188.8530      0.0000
  QRF01704_ADHP01000878.1        59    -193.3668    -193.3668      0.0000
  QRF01704_AACY022415810.1       58    -190.9809    -190.9809      0.0000
  QRF01704_AACY020575673.1       58    -190.9809    -190.9809      0.0000
  QRF01704_ACNY01000005.1        59    -192.2309    -192.2309      0.0000
  QRF01704_ADHP01000854.1        63    -191.3697    -191.3697      0.0000
  QRF01704_GU936714.1            59    -191.3138    -191.3138      0.0000
  QRF01704_AACY021622950.1       62    -187.0740    -187.0740      0.0000
  QRF01704_CP000825.1            58    -193.7630    -193.7630      0.0000
  QRF01704_EU795157.1            64    -192.9910    -192.9910      0.0000
  QRF01704_ABVN01004790.1        61    -191.1939    -191.1939      0.0000
  QRF01704_ABMN01086741.1        60    -189.7344    -189.7344      0.0000
  QRF01704_DQ325539.1            60    -192.8673    -192.8673      0.0000
  QRF01704_ACNY01000005.1        62    -190.2675    -190.2675      0.0000
  QRF01704_ACNY01000004.1        60    -187.6480    -187.6480      0.0000
  QRF01704_ABVT01000061.1        57    -194.0869    -194.0869      0.0000
  QRF00023_CP001665.1           363     -77.4208     -77.4208      0.0000
  QRF00023_CP001509.3           363     -77.4208     -77.4208      0.0000
