# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00198.cm
# date:    Sat May 14 01:06:30 2016
# seed:    1463187990
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SL1                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:50.24       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -21.4084     -21.4084      0.0000
  QRF01739_AGJC01000011.1        62     -26.8998     -26.8998      0.0000
  QRF01739_AP012205.1            62     -17.4092     -17.4092      0.0000
  QRF01739_AEPQ01000180.1        85     -17.5346     -17.5346      0.0000
  QRF01739_AACY023065314.1       57     -28.1949     -28.1949      0.0000
  QRF01739_AACY020081009.1       57     -28.1949     -28.1949      0.0000
  QRF01739_ACSK01000180.1        92     -18.2879     -18.2879      0.0000
  QRF01739_BA000039.2           113      -9.7579      -9.7579      0.0000
  QRF01739_AACY023081145.1       53     -25.6870     -25.6870      0.0000
  QRF01739_AFSR01000238.1        99     -21.8211     -21.8211      0.0000
  QRF01739_AGJC01000003.1        76     -19.0119     -19.0119      0.0000
  QRF01739_AFSR01000146.1        92     -22.7202     -22.7202      0.0000
  QRF01739_CACA01000349.1        84     -24.5358     -24.5358      0.0000
  QRF01739_AACY022751187.1       52     -22.5068     -22.5068      0.0000
  QRF01739_AACY022283709.1       52     -22.5068     -22.5068      0.0000
  QRF01739_ABPS01003770.1       123     -15.8488     -15.8488      0.0000
  QRF01739_AFEJ01000345.1        83     -18.5588     -18.5588      0.0000
  QRF00005_CABR01000029.1        73     -24.8880     -24.8880      0.0000
  QRF00005_AFSR01002788.1        74     -26.8458     -26.8458      0.0000
  QRF00005_CP000927.1            72     -23.8499     -23.8499      0.0000
  QRF00005_AY741371.1            72     -22.2994     -22.2994      0.0000
  QRF00005_AEGR01000006.1        73     -21.6630     -21.6630      0.0000
  QRF00005_CP001189.1            73     -24.0846     -24.0846      0.0000
  QRF00005_CP000493.1            72     -25.8590     -25.8590      0.0000
  QRF00005_AP012159.1            73     -24.0846     -24.0846      0.0000
  QRF00005_AM889285.1            73     -24.0846     -24.0846      0.0000
  QRF00005_AGFR01000003.1        73     -22.8822     -22.8822      0.0000
  QRF00005_AFCH01000046.1        73     -24.0846     -24.0846      0.0000
  QRF00005_ADTV01000009.1        73     -24.0846     -24.0846      0.0000
  QRF00005_ABCE01000025.1        73     -20.8500     -20.8500      0.0000
  QRF00005_HM565909.1            72     -24.1164     -24.1164      0.0000
  QRF00005_CAFG01000441.1        73     -21.6630     -21.6630      0.0000
  QRF00005_AACY020656879.1       72     -23.0184     -23.0184      0.0000
  QRF00005_CP001744.1            73     -26.7731     -26.7731      0.0000
  QRF00005_CP000880.1            73     -21.6260     -21.6260      0.0000
  QRF00005_CACD01000012.1        73     -21.6260     -21.6260      0.0000
  QRF00005_CACD01000012.1        73     -21.6260     -21.6260      0.0000
  QRF00005_CACD01000012.1        73     -21.6260     -21.6260      0.0000
  QRF00005_AM849034.1            74     -20.4573     -20.4573      0.0000
  QRF00005_AM711867.1            74     -20.4573     -20.4573      0.0000
  QRF00005_AEQT01000005.1        73     -21.6260     -21.6260      0.0000
  QRF00005_AEQT01000005.1        73     -21.6260     -21.6260      0.0000
  QRF00005_ACDJ01000003.1        73     -21.6260     -21.6260      0.0000
  QRF00005_ABWL02000007.1        73     -21.6260     -21.6260      0.0000
  QRF00005_Z71579.1              73     -23.8638     -23.8638      0.0000
  QRF00005_X53782.1              73     -23.8638     -23.8638      0.0000
  QRF00005_M19391.1              73     -23.8638     -23.8638      0.0000
