# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01462.cm
# date:    Fri May 13 23:45:19 2016
# seed:    1463183119
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rli26                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:50.04       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -82.5782     -82.5782      0.0000
  QRF01739_AGJC01000011.1        62     -85.3987     -85.3987      0.0000
  QRF01739_AP012205.1            62     -81.9742     -81.9742      0.0000
  QRF01739_AEPQ01000180.1        85     -73.7123     -73.7123      0.0000
  QRF01739_AACY023065314.1       57     -86.0771     -86.0771      0.0000
  QRF01739_AACY020081009.1       57     -86.0771     -86.0771      0.0000
  QRF01739_ACSK01000180.1        92     -74.9792     -74.9792      0.0000
  QRF01739_BA000039.2           113     -54.4982     -54.4982      0.0000
  QRF01739_AACY023081145.1       53     -88.8698     -88.8698      0.0000
  QRF01739_AFSR01000238.1        99     -70.7660     -70.7660      0.0000
  QRF01739_AGJC01000003.1        76     -79.0557     -79.0557      0.0000
  QRF01739_AFSR01000146.1        92     -73.9775     -73.9775      0.0000
  QRF01739_CACA01000349.1        84     -83.1703     -83.1703      0.0000
  QRF01739_AACY022751187.1       52     -89.6760     -89.6760      0.0000
  QRF01739_AACY022283709.1       52     -89.6760     -89.6760      0.0000
  QRF01739_ABPS01003770.1       123     -59.9987     -59.9987      0.0000
  QRF01739_AFEJ01000345.1        83     -67.4568     -67.4568      0.0000
  QRF00005_CABR01000029.1        73     -81.9495     -81.9495      0.0000
  QRF00005_AFSR01002788.1        74     -73.6748     -73.6748      0.0000
  QRF00005_CP000927.1            72     -75.8024     -75.8024      0.0000
  QRF00005_AY741371.1            72     -79.9106     -80.1616      0.2511
  QRF00005_AEGR01000006.1        73     -81.6643     -81.6643      0.0000
  QRF00005_CP001189.1            73     -76.6316     -76.6316      0.0000
  QRF00005_CP000493.1            72     -82.5184     -82.5184      0.0000
  QRF00005_AP012159.1            73     -76.6316     -76.6316      0.0000
  QRF00005_AM889285.1            73     -76.6316     -76.6316      0.0000
  QRF00005_AGFR01000003.1        73     -76.0390     -76.0390      0.0000
  QRF00005_AFCH01000046.1        73     -76.6316     -76.6316      0.0000
  QRF00005_ADTV01000009.1        73     -76.6316     -76.6316      0.0000
  QRF00005_ABCE01000025.1        73     -77.2315     -77.2315      0.0000
  QRF00005_HM565909.1            72     -77.2322     -77.2322      0.0000
  QRF00005_CAFG01000441.1        73     -82.9571     -82.9571      0.0000
  QRF00005_AACY020656879.1       72     -78.5284     -78.5284      0.0000
  QRF00005_CP001744.1            73     -80.6405     -80.6405      0.0000
  QRF00005_CP000880.1            73     -73.7943     -73.7943      0.0000
  QRF00005_CACD01000012.1        73     -73.7943     -73.7943      0.0000
  QRF00005_CACD01000012.1        73     -73.7943     -73.7943      0.0000
  QRF00005_CACD01000012.1        73     -73.7943     -73.7943      0.0000
  QRF00005_AM849034.1            74     -71.5987     -71.5987      0.0000
  QRF00005_AM711867.1            74     -71.5987     -71.5987      0.0000
  QRF00005_AEQT01000005.1        73     -73.7943     -73.7943      0.0000
