# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01864.cm
# date:    Tue May 10 02:39:11 2016
# seed:    1462847951
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  plasmodium_snoR21          search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.40       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -46.7019     -46.7019      0.0000
  RF00418_AAIY01556911.1        141     -39.1541     -39.1541      0.0000
  RF00418_AAYZ01244227.1        137     -41.3692     -41.3692      0.0000
  RF00418_AF357386.1            126     -36.1591     -36.1591      0.0000
  RF00418_AABR04001620.1        135     -38.2441     -38.2441      0.0000
  RF00418_AAQQ01789110.1        137     -41.7302     -41.7302      0.0000
  RF00418_AJ609450.1            137     -35.3742     -35.3742      0.0000
  RF00418_AL590431.11           136     -38.5889     -38.5889      0.0000
  RF00418_AL049745.9            136     -35.0153     -35.0153      0.0000
  RF00418_ABDC01240840.1        136     -39.4726     -39.4726      0.0000
  RF00418_AAQR01162064.1        136     -46.4163     -46.4163      0.0000
  RF00418_AAEX02026315.1        137     -40.8590     -40.8590      0.0000
  RF00418_AANG01021210.1        136     -56.7547     -56.7547      0.0000
  RF00418_AAFC03027776.1        135     -44.2587     -44.2587      0.0000
  RF00418_AAPE01281662.1        136     -45.8492     -45.8492      0.0000
  RF00418_AALT01368588.1        136     -35.9983     -35.9983      0.0000
  RF00418_AAWR02038694.1        136     -47.1909     -47.1909      0.0000
  RF00418_AAGV020286123.1       137     -27.6627     -27.6627      0.0000
  RF00418_AAFR03052180.1        134     -49.4263     -49.4263      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.51    0.78        0  0.00000    0.00
#
# CPU time: 0.91u 0.00s 00:00:00.91 Elapsed: 00:00:01
