# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01769.cm
# date:    Sat May 14 00:50:14 2016
# seed:    1463187014
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  greA                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:06.22       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -44.9968     -44.9968      0.0000
  QRF01739_AGJC01000011.1        62     -49.1497     -49.1497      0.0000
  QRF01739_AP012205.1            62     -42.9548     -42.9548      0.0000
  QRF01739_AEPQ01000180.1        85     -37.5520     -37.5520      0.0000
  QRF01739_AACY023065314.1       57     -41.4149     -41.4149      0.0000
  QRF01739_AACY020081009.1       57     -41.4149     -41.4149      0.0000
  QRF01739_ACSK01000180.1        92     -46.5924     -46.5924      0.0000
  QRF01739_BA000039.2           113     -32.5578     -32.5578      0.0000
  QRF01739_AACY023081145.1       53     -48.2683     -48.2683      0.0000
  QRF01739_AFSR01000238.1        99     -40.8267     -40.8267      0.0000
  QRF01739_AGJC01000003.1        76     -40.8870     -40.8870      0.0000
  QRF01739_AFSR01000146.1        92     -41.7210     -41.7210      0.0000
  QRF01739_CACA01000349.1        84     -41.8797     -41.8797      0.0000
  QRF01739_AACY022751187.1       52     -52.0332     -52.0332      0.0000
  QRF01739_AACY022283709.1       52     -52.0332     -52.0332      0.0000
  QRF01739_ABPS01003770.1       123     -35.7384     -35.7384      0.0000
  QRF01739_AFEJ01000345.1        83     -41.2872     -41.2872      0.0000
  QRF00005_CABR01000029.1        73     -46.8872     -46.8872      0.0000
  QRF00005_AFSR01002788.1        74     -43.0456     -43.0456      0.0000
  QRF00005_CP000927.1            72     -43.8477     -43.8477      0.0000
  QRF00005_AY741371.1            72     -43.9808     -43.9808      0.0000
  QRF00005_AEGR01000006.1        73     -46.7891     -46.7891      0.0000
  QRF00005_CP001189.1            73     -38.9763     -38.9763      0.0000
  QRF00005_CP000493.1            72     -44.3831     -44.3831      0.0000
