# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01459.cm
# date:    Sun May  8 20:46:28 2016
# seed:    1462715188
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rliE                       search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:01.06       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -82.9235     -82.9235      0.0000
  trna_2                         74     -92.5201     -92.5201      0.0000
  trna_3                         73     -87.8155     -87.8155      0.0000
  trna_4                         72     -88.2778     -88.2778      0.0000
  trna_5                         72     -86.1685     -86.1685      0.0000
  trna_6                         73     -86.9558     -86.9558      0.0000
  trna_7                         73     -91.1512     -91.1512      0.0000
  trna_8                         73     -91.3750     -91.3750      0.0000
  trna_9                         73     -88.7140     -88.7140      0.0000
  trna_10                        72     -90.8340     -90.8340      0.0000
  u5_1                          114     -60.8266     -60.8266      0.0000
  u5_2                          116     -63.4518     -63.4518      0.0000
  u5_3                          118     -66.1687     -66.1687      0.0000
  u5_4                          117     -54.3679     -54.3679      0.0000
  u5_5                          107     -69.6376     -69.6376      0.0000
  u5_6                          116     -70.1828     -70.1828      0.0000
  u5_7                          116     -56.7936     -56.7936      0.0000
  u5_8                          126     -54.5266     -54.5266      0.0000
  u5_9                          115     -69.9070     -69.9070      0.0000
  u5_10                         115     -65.9532     -65.9532      0.0000
  rrtWT_uc011zgd.1_2370         100     -57.6412     -57.6412      0.0000
  rrtWT_uc007ino.1_879          100     -75.5270     -75.5270      0.0000
  rrtWT_uc012dtn.1_1041         100     -69.5330     -69.5330      0.0000
  rrtWT_uc007bjr.2_621          100     -56.9633     -56.9633      0.0000
  rrtWT_uc008hom.1_603          100     -72.6099     -72.6099      0.0000
  rrtWT_uc007wki.1_323          100     -75.0473     -75.0473      0.0000
  rrtWT_uc008fec.1_254          100     -70.3408     -70.3408      0.0000
  rrtWT_uc007wxx.1_716          100     -69.6366     -69.6366      0.0000
  rrtWT_uc009qex.2_2789         100     -65.4160     -65.4160      0.0000
  rrtWT_uc007xbv.1_1165         100     -80.8310     -80.8310      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:01.08    0.98        0  0.00000    0.00
#
# CPU time: 2.14u 0.04s 00:00:02.18 Elapsed: 00:00:03
