# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00623.cm
# date:    Sat May 14 02:13:54 2016
# seed:    1463192034
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  P1                         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:22.33       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -68.4598     -68.4598      0.0000
  QRF01739_AGJC01000011.1        62     -74.4161     -74.4161      0.0000
  QRF01739_AP012205.1            62     -76.2197     -76.2197      0.0000
  QRF01739_AEPQ01000180.1        85     -61.7301     -61.7301      0.0000
  QRF01739_AACY023065314.1       57     -74.2730     -74.2730      0.0000
  QRF01739_AACY020081009.1       57     -74.2730     -74.2730      0.0000
  QRF01739_ACSK01000180.1        92     -58.2507     -58.2507      0.0000
  QRF01739_BA000039.2           113     -48.8501     -48.8501      0.0000
  QRF01739_AACY023081145.1       53     -77.7455     -77.7455      0.0000
  QRF01739_AFSR01000238.1        99     -63.0182     -63.0182      0.0000
  QRF01739_AGJC01000003.1        76     -68.9016     -68.9016      0.0000
  QRF01739_AFSR01000146.1        92     -63.8943     -63.8943      0.0000
  QRF01739_CACA01000349.1        84     -65.7048     -65.7048      0.0000
  QRF01739_AACY022751187.1       52     -79.2027     -79.2027      0.0000
  QRF01739_AACY022283709.1       52     -79.2027     -79.2027      0.0000
  QRF01739_ABPS01003770.1       123     -45.3426     -45.3426      0.0000
  QRF01739_AFEJ01000345.1        83     -63.0272     -63.0272      0.0000
  QRF00005_CABR01000029.1        73     -75.6480     -75.6480      0.0000
  QRF00005_AFSR01002788.1        74     -73.3620     -73.3620      0.0000
  QRF00005_CP000927.1            72     -77.0583     -77.0583      0.0000
  QRF00005_AY741371.1            72     -74.7725     -74.7725      0.0000
  QRF00005_AEGR01000006.1        73     -67.4586     -67.4586      0.0000
  QRF00005_CP001189.1            73     -74.0741     -74.7097      0.6357
  QRF00005_CP000493.1            72     -65.4295     -65.4295      0.0000
  QRF00005_AP012159.1            73     -74.0741     -74.7097      0.6357
  QRF00005_AM889285.1            73     -74.0741     -74.7097      0.6357
  QRF00005_AGFR01000003.1        73     -68.6548     -68.6548      0.0000
  QRF00005_AFCH01000046.1        73     -74.0741     -74.7097      0.6357
  QRF00005_ADTV01000009.1        73     -74.0741     -74.7097      0.6357
  QRF00005_ABCE01000025.1        73     -73.5182     -73.5182      0.0000
  QRF00005_HM565909.1            72     -73.1155     -73.1155      0.0000
  QRF00005_CAFG01000441.1        73     -74.0214     -74.0214      0.0000
  QRF00005_AACY020656879.1       72     -73.5135     -73.5135      0.0000
  QRF00005_CP001744.1            73     -74.4976     -74.4976      0.0000
  QRF00005_CP000880.1            73     -73.5372     -73.5372      0.0000
  QRF00005_CACD01000012.1        73     -73.5372     -73.5372      0.0000
  QRF00005_CACD01000012.1        73     -73.5372     -73.5372      0.0000
  QRF00005_CACD01000012.1        73     -73.5372     -73.5372      0.0000
  QRF00005_AM849034.1            74     -66.5242     -66.5242      0.0000
  QRF00005_AM711867.1            74     -66.5242     -66.5242      0.0000
  QRF00005_AEQT01000005.1        73     -73.5372     -73.5372      0.0000
  QRF00005_AEQT01000005.1        73     -73.5372     -73.5372      0.0000
  QRF00005_ACDJ01000003.1        73     -73.5372     -73.5372      0.0000
  QRF00005_ABWL02000007.1        73     -73.5372     -73.5372      0.0000
  QRF00005_Z71579.1              73     -74.1580     -74.1580      0.0000
  QRF00005_X53782.1              73     -74.1580     -74.1580      0.0000
  QRF00005_M19391.1              73     -74.1580     -74.1580      0.0000
  QRF00005_M15314.1              73     -74.1580     -74.1580      0.0000
  QRF00005_L42023.1              73     -74.1580     -74.1580      0.0000
  QRF00005_L42023.1              73     -74.1580     -74.1580      0.0000
  QRF00005_L42023.1              73     -74.1580     -74.1580      0.0000
  QRF00005_FQ670204.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ670204.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ670204.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ670178.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ670178.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ670178.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ670178.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ312006.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ312006.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ312006.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ312002.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ312002.1            73     -74.1580     -74.1580      0.0000
  QRF00005_FQ312002.1            73     -74.1580     -74.1580      0.0000
  QRF00005_EF196803.1            73     -74.1580     -74.1580      0.0000
  QRF00005_EF196803.1            73     -74.1580     -74.1580      0.0000
  QRF00005_CP003022.1            73     -74.1580     -74.1580      0.0000
  QRF00001_EU093378.1           119     -57.7007     -57.7007      0.0000
  QRF00001_AAAA02047827.1       119     -53.9827     -53.9827      0.0000
  QRF00001_AAAA02043281.1       119     -53.4488     -53.4488      0.0000
  QRF00001_EF064700.1           119     -52.4117     -52.4117      0.0000
  QRF00001_EF064692.1           119     -52.4117     -52.4117      0.0000
  QRF00001_EF064687.1           119     -52.4117     -52.4117      0.0000
  QRF00001_EF064680.1           119     -52.4117     -52.4117      0.0000
  QRF00001_EF064678.1           119     -52.4117     -52.4117      0.0000
  QRF00001_EF064556.1           119     -52.4117     -52.4117      0.0000
  QRF00001_AJ390135.1           119     -52.4117     -52.4117      0.0000
  QRF00001_HQ270965.1           119     -53.9827     -53.9827      0.0000
  QRF00001_GQ324770.1           119     -53.9827     -53.9827      0.0000
  QRF00001_FJ882503.1           119     -53.9827     -53.9827      0.0000
  QRF00001_AF550740.1           119     -53.9827     -53.9827      0.0000
  QRF00001_HQ270648.1           119     -54.1397     -54.1397      0.0000
  QRF00001_EU924818.1           119     -54.1397     -54.1397      0.0000
  QRF00001_EU093153.1           119     -54.1397     -54.1397      0.0000
  QRF00001_EF524209.1           119     -54.1397     -54.1397      0.0000
  QRF00001_AY316209.1           119     -54.1397     -54.1397      0.0000
  QRF00001_AY034674.1           119     -54.1397     -54.1397      0.0000
  QRF00001_AJ409525.1           119     -54.1397     -54.1397      0.0000
  QRF00001_AF550715.1           119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01010155.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01009775.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01009775.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01009775.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01009135.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01009119.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01009117.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01005845.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01005845.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01005844.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01005841.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01005839.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01005838.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01005838.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01005835.1       119     -54.1397     -54.1397      0.0000
  QRF00001_ABXC01005835.1       119     -54.1397     -54.1397      0.0000
  QRF00001_AAAA02039752.1       119     -52.0238     -52.0238      0.0000
  QRF00001_EU925066.1           119     -54.1495     -54.1495      0.0000
  QRF00001_EU093209.1           119     -54.1495     -54.1495      0.0000
  QRF00001_U02637.1             119     -54.1248     -54.1248      0.0000
  QRF00001_EU439291.1           119     -54.1248     -54.1248      0.0000
  QRF00001_EU439286.1           119     -54.1248     -54.1248      0.0000
  QRF00001_EU439284.1           119     -54.1248     -54.1248      0.0000
  QRF00001_EU439282.1           119     -54.1248     -54.1248      0.0000
  QRF00001_EU439280.1           119     -54.1248     -54.1248      0.0000
  QRF00001_EU439279.1           119     -54.1248     -54.1248      0.0000
  QRF00001_EU439278.1           119     -54.1248     -54.1248      0.0000
  QRF00001_EU439277.1           119     -54.1248     -54.1248      0.0000
  QRF01704_ACNY01000005.1        62     -82.7530     -82.7530      0.0000
  QRF01704_ADXL01000065.1        61     -81.4003     -81.4003      0.0000
  QRF01704_ADXL01000046.1        61     -77.4129     -77.4129      0.0000
  QRF01704_ADHP01001127.1        63     -77.8252     -77.8252      0.0000
  QRF01704_ADXM01000029.1        71     -73.5616     -73.5616      0.0000
  QRF01704_FJ869257.1            62     -83.3137     -83.3137      0.0000
  QRF01704_BX569692.1            62     -83.3137     -83.3137      0.0000
  QRF01704_AACY023835177.1       64     -78.1771     -78.1771      0.0000
  QRF01704_ACNY01000003.1        61     -74.1962     -74.1962      0.0000
  QRF01704_AACY020212823.1       62     -76.8266     -76.8266      0.0000
  QRF01704_GQ237222.1            58     -79.1158     -79.1158      0.0000
