# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00695.cm
# date:    Fri May 13 22:11:30 2016
# seed:    1463177490
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MIR398                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:47.77       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -25.9121     -25.9121      0.0000
  QRF01739_AGJC01000011.1        62     -28.1052     -28.1052      0.0000
  QRF01739_AP012205.1            62     -27.2271     -27.2271      0.0000
  QRF01739_AEPQ01000180.1        85     -20.5808     -20.5808      0.0000
  QRF01739_AACY023065314.1       57     -25.7278     -25.7278      0.0000
  QRF01739_AACY020081009.1       57     -25.7278     -25.7278      0.0000
  QRF01739_ACSK01000180.1        92     -26.6397     -26.6397      0.0000
  QRF01739_BA000039.2           113     -19.5223     -19.5223      0.0000
  QRF01739_AACY023081145.1       53     -27.5002     -27.5002      0.0000
  QRF01739_AFSR01000238.1        99     -25.7824     -25.7824      0.0000
  QRF01739_AGJC01000003.1        76     -21.7458     -21.7458      0.0000
  QRF01739_AFSR01000146.1        92     -26.1289     -26.1289      0.0000
  QRF01739_CACA01000349.1        84     -25.4813     -25.4813      0.0000
  QRF01739_AACY022751187.1       52     -29.7944     -29.7944      0.0000
  QRF01739_AACY022283709.1       52     -29.7944     -29.7944      0.0000
  QRF01739_ABPS01003770.1       123     -20.8500     -20.8500      0.0000
  QRF01739_AFEJ01000345.1        83     -22.4679     -22.4679      0.0000
  QRF00005_CABR01000029.1        73     -18.6877     -18.6877      0.0000
  QRF00005_AFSR01002788.1        74     -22.5265     -22.5265      0.0000
  QRF00005_CP000927.1            72     -23.4909     -23.4909      0.0000
  QRF00005_AY741371.1            72     -18.3917     -18.3917      0.0000
  QRF00005_AEGR01000006.1        73     -18.8847     -18.8847      0.0000
  QRF00005_CP001189.1            73     -26.4283     -26.4283      0.0000
  QRF00005_CP000493.1            72     -26.2087     -26.2087      0.0000
  QRF00005_AP012159.1            73     -26.4283     -26.4283      0.0000
  QRF00005_AM889285.1            73     -26.4283     -26.4283      0.0000
  QRF00005_AGFR01000003.1        73     -23.0173     -23.0173      0.0000
  QRF00005_AFCH01000046.1        73     -26.4283     -26.4283      0.0000
  QRF00005_ADTV01000009.1        73     -26.4283     -26.4283      0.0000
  QRF00005_ABCE01000025.1        73     -18.8888     -18.8888      0.0000
  QRF00005_HM565909.1            72     -23.6500     -23.6500      0.0000
  QRF00005_CAFG01000441.1        73     -18.8847     -18.8847      0.0000
  QRF00005_AACY020656879.1       72     -21.6213     -21.6213      0.0000
  QRF00005_CP001744.1            73     -18.2187     -18.2187      0.0000
  QRF00005_CP000880.1            73     -20.4592     -20.4592      0.0000
  QRF00005_CACD01000012.1        73     -20.4592     -20.4592      0.0000
  QRF00005_CACD01000012.1        73     -20.4592     -20.4592      0.0000
  QRF00005_CACD01000012.1        73     -20.4592     -20.4592      0.0000
  QRF00005_AM849034.1            74     -16.2238     -16.2238      0.0000
  QRF00005_AM711867.1            74     -16.2238     -16.2238      0.0000
  QRF00005_AEQT01000005.1        73     -20.4592     -20.4592      0.0000
