# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00377.cm
# date:    Tue May 10 02:38:15 2016
# seed:    1462847895
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoU6-53                   search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.30       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -18.7968     -18.7968      0.0000
  RF00418_AAIY01556911.1        141     -16.8101     -16.8101      0.0000
  RF00418_AAYZ01244227.1        137     -18.1541     -18.1541      0.0000
  RF00418_AF357386.1            126     -18.9452     -18.9452      0.0000
  RF00418_AABR04001620.1        135     -21.1710     -21.1710      0.0000
  RF00418_AAQQ01789110.1        137     -17.4870     -17.4870      0.0000
  RF00418_AJ609450.1            137     -19.8726     -19.8726      0.0000
  RF00418_AL590431.11           136     -22.3443     -22.3443      0.0000
  RF00418_AL049745.9            136     -18.6179     -18.6179      0.0000
  RF00418_ABDC01240840.1        136     -11.0734     -11.0734      0.0000
  RF00418_AAQR01162064.1        136     -18.7724     -18.7724      0.0000
  RF00418_AAEX02026315.1        137     -19.8116     -19.8116      0.0000
  RF00418_AANG01021210.1        136     -21.7208     -21.7208      0.0000
  RF00418_AAFC03027776.1        135     -18.4018     -18.4018      0.0000
  RF00418_AAPE01281662.1        136     -22.4943     -22.4943      0.0000
  RF00418_AALT01368588.1        136     -13.5246     -13.5246      0.0000
  RF00418_AAWR02038694.1        136     -18.9499     -18.9499      0.0000
  RF00418_AAGV020286123.1       137     -12.2889     -12.2889      0.0000
  RF00418_AAFR03052180.1        134     -21.0782     -21.0782      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.52    0.58        0  0.00000    0.00
#
# CPU time: 0.83u 0.00s 00:00:00.83 Elapsed: 00:00:01
