# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01949.cm
# date:    Sat May 14 01:59:32 2016
# seed:    1463191172
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  KCNQ1OT1_4                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:30.12       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -80.9338     -80.9338      0.0000
  QRF01739_AGJC01000011.1        62     -87.3600     -87.3600      0.0000
  QRF01739_AP012205.1            62     -90.3720     -90.3720      0.0000
  QRF01739_AEPQ01000180.1        85     -74.4045     -74.4045      0.0000
  QRF01739_AACY023065314.1       57     -94.9492     -94.9492      0.0000
  QRF01739_AACY020081009.1       57     -94.9492     -94.9492      0.0000
  QRF01739_ACSK01000180.1        92     -80.2137     -80.2137      0.0000
  QRF01739_BA000039.2           113     -62.8738     -62.8738      0.0000
  QRF01739_AACY023081145.1       53     -95.4905     -95.4905      0.0000
  QRF01739_AFSR01000238.1        99     -66.5312     -66.5312      0.0000
  QRF01739_AGJC01000003.1        76     -76.6172     -76.6172      0.0000
  QRF01739_AFSR01000146.1        92     -74.4022     -74.4022      0.0000
  QRF01739_CACA01000349.1        84     -71.1190     -71.1190      0.0000
  QRF01739_AACY022751187.1       52     -94.3951     -94.3951      0.0000
  QRF01739_AACY022283709.1       52     -94.3951     -94.3951      0.0000
  QRF01739_ABPS01003770.1       123     -65.5263     -65.5263      0.0000
  QRF01739_AFEJ01000345.1        83     -84.9481     -84.9481      0.0000
  QRF00005_CABR01000029.1        73     -79.2860     -79.2860      0.0000
  QRF00005_AFSR01002788.1        74     -71.3784     -71.3784      0.0000
  QRF00005_CP000927.1            72     -77.9826     -77.9826      0.0000
  QRF00005_AY741371.1            72     -74.7385     -74.7385      0.0000
  QRF00005_AEGR01000006.1        73     -79.1844     -79.1844      0.0000
  QRF00005_CP001189.1            73     -70.7391     -70.7391      0.0000
  QRF00005_CP000493.1            72     -78.1173     -78.1173      0.0000
  QRF00005_AP012159.1            73     -70.7391     -70.7391      0.0000
  QRF00005_AM889285.1            73     -70.7391     -70.7391      0.0000
  QRF00005_AGFR01000003.1        73     -67.6508     -67.6508      0.0000
  QRF00005_AFCH01000046.1        73     -70.7391     -70.7391      0.0000
  QRF00005_ADTV01000009.1        73     -70.7391     -70.7391      0.0000
  QRF00005_ABCE01000025.1        73     -76.0458     -76.0458      0.0000
  QRF00005_HM565909.1            72     -74.6449     -74.6449      0.0000
  QRF00005_CAFG01000441.1        73     -80.3434     -80.3434      0.0000
