# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01749.cm
# date:    Fri May 13 21:56:08 2016
# seed:    1463176568
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  pan                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:44.20       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -6.4098      -6.4098      0.0000
  QRF01739_AGJC01000011.1        62     -15.4563     -15.4563      0.0000
  QRF01739_AP012205.1            62     -11.3594     -11.3594      0.0000
  QRF01739_AEPQ01000180.1        85     -11.7977     -11.7977      0.0000
  QRF01739_AACY023065314.1       57     -17.1827     -17.1827      0.0000
  QRF01739_AACY020081009.1       57     -17.1827     -17.1827      0.0000
  QRF01739_ACSK01000180.1        92     -15.6473     -15.6473      0.0000
  QRF01739_BA000039.2           113     -13.7971     -15.4283      1.6312
  QRF01739_AACY023081145.1       53     -14.5069     -14.5069      0.0000
  QRF01739_AFSR01000238.1        99     -16.6417     -16.6417      0.0000
  QRF01739_AGJC01000003.1        76     -14.4389     -14.4389      0.0000
  QRF01739_AFSR01000146.1        92     -17.9264     -17.9264      0.0000
  QRF01739_CACA01000349.1        84     -16.7707     -16.7707      0.0000
  QRF01739_AACY022751187.1       52     -21.2143     -21.2143      0.0000
  QRF01739_AACY022283709.1       52     -21.2143     -21.2143      0.0000
  QRF01739_ABPS01003770.1       123      -9.8167      -9.8167      0.0000
  QRF01739_AFEJ01000345.1        83     -14.3182     -14.3182      0.0000
  QRF00005_CABR01000029.1        73     -22.9530     -22.9530      0.0000
  QRF00005_AFSR01002788.1        74     -21.2138     -21.2138      0.0000
  QRF00005_CP000927.1            72     -18.5017     -18.5017      0.0000
  QRF00005_AY741371.1            72     -20.8072     -20.8072      0.0000
  QRF00005_AEGR01000006.1        73     -19.5889     -19.5889      0.0000
  QRF00005_CP001189.1            73     -17.9490     -17.9490      0.0000
  QRF00005_CP000493.1            72     -22.0467     -22.0467      0.0000
  QRF00005_AP012159.1            73     -17.9490     -17.9490      0.0000
  QRF00005_AM889285.1            73     -17.9490     -17.9490      0.0000
  QRF00005_AGFR01000003.1        73     -16.6080     -16.6080      0.0000
  QRF00005_AFCH01000046.1        73     -17.9490     -17.9490      0.0000
  QRF00005_ADTV01000009.1        73     -17.9490     -17.9490      0.0000
  QRF00005_ABCE01000025.1        73     -23.6409     -23.6409      0.0000
  QRF00005_HM565909.1            72     -20.8072     -20.8072      0.0000
  QRF00005_CAFG01000441.1        73     -18.2489     -18.2489      0.0000
  QRF00005_AACY020656879.1       72     -20.8072     -20.8072      0.0000
  QRF00005_CP001744.1            73     -19.8925     -19.8925      0.0000
  QRF00005_CP000880.1            73     -20.0703     -20.0703      0.0000
  QRF00005_CACD01000012.1        73     -20.0703     -20.0703      0.0000
  QRF00005_CACD01000012.1        73     -20.0703     -20.0703      0.0000
  QRF00005_CACD01000012.1        73     -20.0703     -20.0703      0.0000
  QRF00005_AM849034.1            74     -21.0552     -21.0552      0.0000
  QRF00005_AM711867.1            74     -21.0552     -21.0552      0.0000
  QRF00005_AEQT01000005.1        73     -20.0703     -20.0703      0.0000
