# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01480.cm
# date:    Sat May 14 04:20:26 2016
# seed:    1463199626
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rli52                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:46.99       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -25.3703     -25.3703      0.0000
  QRF01739_AGJC01000011.1        62     -28.6068     -28.6068      0.0000
  QRF01739_AP012205.1            62     -24.6484     -24.6484      0.0000
  QRF01739_AEPQ01000180.1        85     -19.2980     -19.2980      0.0000
  QRF01739_AACY023065314.1       57     -22.4643     -22.4643      0.0000
  QRF01739_AACY020081009.1       57     -22.4643     -22.4643      0.0000
  QRF01739_ACSK01000180.1        92     -26.2068     -26.2068      0.0000
  QRF01739_BA000039.2           113     -25.4039     -25.4039      0.0000
  QRF01739_AACY023081145.1       53     -30.2759     -30.2759      0.0000
  QRF01739_AFSR01000238.1        99     -27.7572     -27.7572      0.0000
  QRF01739_AGJC01000003.1        76     -21.8990     -21.8990      0.0000
  QRF01739_AFSR01000146.1        92     -27.3087     -27.3087      0.0000
  QRF01739_CACA01000349.1        84     -31.2910     -34.7100      3.4190
  QRF01739_AACY022751187.1       52     -29.3520     -29.3520      0.0000
  QRF01739_AACY022283709.1       52     -29.3520     -29.3520      0.0000
  QRF01739_ABPS01003770.1       123     -19.1679     -19.1679      0.0000
  QRF01739_AFEJ01000345.1        83     -21.4882     -21.4882      0.0000
  QRF00005_CABR01000029.1        73     -30.2889     -30.2889      0.0000
  QRF00005_AFSR01002788.1        74     -18.9225     -18.9225      0.0000
  QRF00005_CP000927.1            72     -24.6429     -24.6429      0.0000
  QRF00005_AY741371.1            72     -23.7668     -23.7668      0.0000
  QRF00005_AEGR01000006.1        73     -28.0970     -28.0970      0.0000
  QRF00005_CP001189.1            73     -25.0019     -25.0019      0.0000
  QRF00005_CP000493.1            72     -28.8116     -28.8116      0.0000
  QRF00005_AP012159.1            73     -25.0019     -25.0019      0.0000
  QRF00005_AM889285.1            73     -25.0019     -25.0019      0.0000
  QRF00005_AGFR01000003.1        73     -25.0216     -25.0216      0.0000
  QRF00005_AFCH01000046.1        73     -25.0019     -25.0019      0.0000
  QRF00005_ADTV01000009.1        73     -25.0019     -25.0019      0.0000
  QRF00005_ABCE01000025.1        73     -24.7592     -24.7592      0.0000
  QRF00005_HM565909.1            72     -22.5688     -22.5688      0.0000
  QRF00005_CAFG01000441.1        73     -30.2236     -30.2236      0.0000
  QRF00005_AACY020656879.1       72     -22.5728     -22.5728      0.0000
  QRF00005_CP001744.1            73     -26.4050     -26.4050      0.0000
  QRF00005_CP000880.1            73     -24.7720     -24.7720      0.0000
  QRF00005_CACD01000012.1        73     -24.7720     -24.7720      0.0000
  QRF00005_CACD01000012.1        73     -24.7720     -24.7720      0.0000
  QRF00005_CACD01000012.1        73     -24.7720     -24.7720      0.0000
  QRF00005_AM849034.1            74     -23.6638     -23.6638      0.0000
