# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00482.cm
# date:    Sat May 14 05:29:40 2016
# seed:    1463203780
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoF1_F2                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:43.41       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -44.1155     -44.1155      0.0000
  QRF01739_AGJC01000011.1        62     -44.6772     -44.6772      0.0000
  QRF01739_AP012205.1            62     -39.1808     -39.1808      0.0000
  QRF01739_AEPQ01000180.1        85     -37.5266     -37.5266      0.0000
  QRF01739_AACY023065314.1       57     -42.5544     -42.5544      0.0000
  QRF01739_AACY020081009.1       57     -42.5544     -42.5544      0.0000
  QRF01739_ACSK01000180.1        92     -34.3812     -34.3812      0.0000
  QRF01739_BA000039.2           113     -34.5180     -34.5180      0.0000
  QRF01739_AACY023081145.1       53     -48.3073     -48.3073      0.0000
  QRF01739_AFSR01000238.1        99     -38.9883     -38.9883      0.0000
  QRF01739_AGJC01000003.1        76     -41.8928     -41.8928      0.0000
  QRF01739_AFSR01000146.1        92     -32.9346     -32.9346      0.0000
  QRF01739_CACA01000349.1        84     -39.1606     -39.1606      0.0000
  QRF01739_AACY022751187.1       52     -45.4022     -45.4022      0.0000
  QRF01739_AACY022283709.1       52     -45.4022     -45.4022      0.0000
  QRF01739_ABPS01003770.1       123     -33.6920     -33.6920      0.0000
  QRF01739_AFEJ01000345.1        83     -39.6745     -39.6745      0.0000
  QRF00005_CABR01000029.1        73     -40.7040     -40.7040      0.0000
  QRF00005_AFSR01002788.1        74     -41.7985     -41.7985      0.0000
  QRF00005_CP000927.1            72     -43.7656     -43.7656      0.0000
  QRF00005_AY741371.1            72     -37.7404     -37.7404      0.0000
  QRF00005_AEGR01000006.1        73     -45.3852     -45.3852      0.0000
  QRF00005_CP001189.1            73     -43.6288     -43.6288      0.0000
  QRF00005_CP000493.1            72     -45.1124     -45.1124      0.0000
  QRF00005_AP012159.1            73     -43.6288     -43.6288      0.0000
  QRF00005_AM889285.1            73     -43.6288     -43.6288      0.0000
  QRF00005_AGFR01000003.1        73     -43.4316     -43.4316      0.0000
  QRF00005_AFCH01000046.1        73     -43.6288     -43.6288      0.0000
  QRF00005_ADTV01000009.1        73     -43.6288     -43.6288      0.0000
  QRF00005_ABCE01000025.1        73     -44.8096     -44.8096      0.0000
