# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01456.cm
# date:    Fri May 13 20:11:49 2016
# seed:    1463170309
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  VrrA                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:06.02       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -49.4848     -49.4848      0.0000
  QRF01739_AGJC01000011.1        62     -50.2933     -50.2933      0.0000
  QRF01739_AP012205.1            62     -48.6706     -48.6706      0.0000
  QRF01739_AEPQ01000180.1        85     -35.3385     -35.3385      0.0000
  QRF01739_AACY023065314.1       57     -50.7898     -50.7898      0.0000
  QRF01739_AACY020081009.1       57     -50.7898     -50.7898      0.0000
  QRF01739_ACSK01000180.1        92     -45.2011     -45.2011      0.0000
  QRF01739_BA000039.2           113     -38.7623     -38.7623      0.0000
  QRF01739_AACY023081145.1       53     -53.8149     -53.8149      0.0000
  QRF01739_AFSR01000238.1        99     -47.1314     -47.1314      0.0000
  QRF01739_AGJC01000003.1        76     -34.4144     -34.4144      0.0000
  QRF01739_AFSR01000146.1        92     -41.7520     -41.7520      0.0000
  QRF01739_CACA01000349.1        84     -50.3686     -50.3686      0.0000
  QRF01739_AACY022751187.1       52     -57.1817     -57.1817      0.0000
  QRF01739_AACY022283709.1       52     -57.1817     -57.1817      0.0000
  QRF01739_ABPS01003770.1       123     -37.1058     -37.1058      0.0000
  QRF01739_AFEJ01000345.1        83     -44.5074     -44.5074      0.0000
  QRF00005_CABR01000029.1        73     -47.1824     -47.1824      0.0000
  QRF00005_AFSR01002788.1        74     -43.5069     -43.5069      0.0000
  QRF00005_CP000927.1            72     -47.3175     -47.3175      0.0000
  QRF00005_AY741371.1            72     -46.8805     -46.8805      0.0000
  QRF00005_AEGR01000006.1        73     -43.7432     -43.7432      0.0000
  QRF00005_CP001189.1            73     -40.6924     -40.6924      0.0000
  QRF00005_CP000493.1            72     -42.9552     -42.9552      0.0000
  QRF00005_AP012159.1            73     -40.6924     -40.6924      0.0000
  QRF00005_AM889285.1            73     -40.6924     -40.6924      0.0000
  QRF00005_AGFR01000003.1        73     -43.1702     -43.1702      0.0000
  QRF00005_AFCH01000046.1        73     -40.6924     -40.6924      0.0000
  QRF00005_ADTV01000009.1        73     -40.6924     -40.6924      0.0000
  QRF00005_ABCE01000025.1        73     -47.0981     -47.0981      0.0000
  QRF00005_HM565909.1            72     -45.5345     -45.5345      0.0000
  QRF00005_CAFG01000441.1        73     -43.7432     -43.7432      0.0000
  QRF00005_AACY020656879.1       72     -45.2396     -45.2396      0.0000
  QRF00005_CP001744.1            73     -45.4598     -45.4598      0.0000
  QRF00005_CP000880.1            73     -35.5852     -35.5852      0.0000
  QRF00005_CACD01000012.1        73     -35.5852     -35.5852      0.0000
  QRF00005_CACD01000012.1        73     -35.5852     -35.5852      0.0000
  QRF00005_CACD01000012.1        73     -35.5852     -35.5852      0.0000
  QRF00005_AM849034.1            74     -39.7964     -39.7964      0.0000
  QRF00005_AM711867.1            74     -39.7964     -39.7964      0.0000
  QRF00005_AEQT01000005.1        73     -35.5852     -35.5852      0.0000
  QRF00005_AEQT01000005.1        73     -35.5852     -35.5852      0.0000
  QRF00005_ACDJ01000003.1        73     -35.5852     -35.5852      0.0000
  QRF00005_ABWL02000007.1        73     -35.5852     -35.5852      0.0000
  QRF00005_Z71579.1              73     -41.9426     -41.9426      0.0000
  QRF00005_X53782.1              73     -41.9426     -41.9426      0.0000
  QRF00005_M19391.1              73     -41.9426     -41.9426      0.0000
  QRF00005_M15314.1              73     -41.9426     -41.9426      0.0000
  QRF00005_L42023.1              73     -41.9426     -41.9426      0.0000
  QRF00005_L42023.1              73     -41.9426     -41.9426      0.0000
  QRF00005_L42023.1              73     -41.9426     -41.9426      0.0000
  QRF00005_FQ670204.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ670204.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ670204.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ670178.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ670178.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ670178.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ670178.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ312006.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ312006.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ312006.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ312002.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ312002.1            73     -41.9426     -41.9426      0.0000
  QRF00005_FQ312002.1            73     -41.9426     -41.9426      0.0000
  QRF00005_EF196803.1            73     -41.9426     -41.9426      0.0000
  QRF00005_EF196803.1            73     -41.9426     -41.9426      0.0000
  QRF00005_CP003022.1            73     -41.9426     -41.9426      0.0000
  QRF00001_EU093378.1           119     -37.1142     -37.1142      0.0000
  QRF00001_AAAA02047827.1       119     -36.6033     -36.6033      0.0000
  QRF00001_AAAA02043281.1       119     -37.3863     -37.3863      0.0000
  QRF00001_EF064700.1           119     -35.3313     -35.3313      0.0000
  QRF00001_EF064692.1           119     -35.3313     -35.3313      0.0000
  QRF00001_EF064687.1           119     -35.3313     -35.3313      0.0000
  QRF00001_EF064680.1           119     -35.3313     -35.3313      0.0000
  QRF00001_EF064678.1           119     -35.3313     -35.3313      0.0000
  QRF00001_EF064556.1           119     -35.3313     -35.3313      0.0000
  QRF00001_AJ390135.1           119     -35.3313     -35.3313      0.0000
  QRF00001_HQ270965.1           119     -36.6033     -36.6033      0.0000
  QRF00001_GQ324770.1           119     -36.6033     -36.6033      0.0000
  QRF00001_FJ882503.1           119     -36.6033     -36.6033      0.0000
  QRF00001_AF550740.1           119     -36.6033     -36.6033      0.0000
  QRF00001_HQ270648.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EU924818.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EU093153.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EF524209.1           119     -36.6033     -36.6033      0.0000
  QRF00001_AY316209.1           119     -36.6033     -36.6033      0.0000
  QRF00001_AY034674.1           119     -36.6033     -36.6033      0.0000
  QRF00001_AJ409525.1           119     -36.6033     -36.6033      0.0000
  QRF00001_AF550715.1           119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01010155.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01009775.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01009775.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01009775.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01009135.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01009119.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01009117.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01005845.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01005845.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01005844.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01005841.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01005839.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01005838.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01005838.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01005835.1       119     -36.6033     -36.6033      0.0000
  QRF00001_ABXC01005835.1       119     -36.6033     -36.6033      0.0000
  QRF00001_AAAA02039752.1       119     -35.8203     -35.8203      0.0000
  QRF00001_EU925066.1           119     -37.8601     -37.8601      0.0000
  QRF00001_EU093209.1           119     -37.8601     -37.8601      0.0000
  QRF00001_U02637.1             119     -36.6033     -36.6033      0.0000
  QRF00001_EU439291.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EU439286.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EU439284.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EU439282.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EU439280.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EU439279.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EU439278.1           119     -36.6033     -36.6033      0.0000
  QRF00001_EU439277.1           119     -36.6033     -36.6033      0.0000
  QRF01704_ACNY01000005.1        62     -56.8953     -56.8953      0.0000
  QRF01704_ADXL01000065.1        61     -52.6732     -52.6732      0.0000
  QRF01704_ADXL01000046.1        61     -55.5612     -55.5612      0.0000
  QRF01704_ADHP01001127.1        63     -50.2046     -50.2046      0.0000
  QRF01704_ADXM01000029.1        71     -49.7215     -49.7215      0.0000
  QRF01704_FJ869257.1            62     -54.3801     -54.3801      0.0000
  QRF01704_BX569692.1            62     -54.3801     -54.3801      0.0000
  QRF01704_AACY023835177.1       64     -56.0400     -56.0400      0.0000
  QRF01704_ACNY01000003.1        61     -48.5026     -48.5026      0.0000
  QRF01704_AACY020212823.1       62     -44.8756     -44.8756      0.0000
  QRF01704_GQ237222.1            58     -54.6314     -54.6314      0.0000
  QRF01704_ADHP01000860.1        64     -46.1292     -46.1292      0.0000
  QRF01704_AACY020313707.1       62     -55.1554     -55.1554      0.0000
  QRF01704_ACDW01000004.1        62     -46.8542     -46.8542      0.0000
  QRF01704_AACY022014507.1       62     -43.4162     -43.4162      0.0000
  QRF01704_ADHP01000878.1        59     -52.8088     -52.8088      0.0000
  QRF01704_AACY022415810.1       58     -52.0987     -52.0987      0.0000
  QRF01704_AACY020575673.1       58     -52.0987     -52.0987      0.0000
  QRF01704_ACNY01000005.1        59     -54.9717     -54.9717      0.0000
  QRF01704_ADHP01000854.1        63     -50.0796     -50.0796      0.0000
  QRF01704_GU936714.1            59     -57.1159     -57.1159      0.0000
  QRF01704_AACY021622950.1       62     -44.8756     -44.8756      0.0000
  QRF01704_CP000825.1            58     -53.5362     -53.5362      0.0000
  QRF01704_EU795157.1            64     -53.5532     -53.5532      0.0000
  QRF01704_ABVN01004790.1        61     -52.2791     -52.2791      0.0000
  QRF01704_ABMN01086741.1        60     -48.3477     -48.3477      0.0000
  QRF01704_DQ325539.1            60     -54.9717     -54.9717      0.0000
  QRF01704_ACNY01000005.1        62     -53.7647     -53.7647      0.0000
  QRF01704_ACNY01000004.1        60     -49.8479     -49.8479      0.0000
  QRF01704_ABVT01000061.1        57     -49.3280     -49.3280      0.0000
  QRF00023_CP001665.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP001509.3           363     -16.3167     -16.3167      0.0000
  QRF00023_CP000819.1           363     -16.3167     -16.3167      0.0000
  QRF00023_AM946981.2           363     -16.3167     -16.3167      0.0000
  QRF00023_ADTQ01000184.1       363     -16.3167     -16.3167      0.0000
  QRF00023_ADBT01000188.1       363     -16.3167     -16.3167      0.0000
  QRF00023_FN543093.2           364     -21.2806     -21.2806      0.0000
  QRF00023_AFAG01000033.1       363     -16.3167     -16.3167      0.0000
  QRF00023_AFAF01000014.1       363     -16.3167     -16.3167      0.0000
  QRF00023_ADUS01000034.1       363     -16.3167     -16.3167      0.0000
  QRF00023_U36840.1             363     -16.3167     -16.3167      0.0000
  QRF00023_FN649414.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CU928162.2           363     -16.3167     -16.3167      0.0000
  QRF00023_CU928161.2           363     -16.3167     -16.3167      0.0000
  QRF00023_CU928158.2           363     -16.3167     -16.3167      0.0000
  QRF00023_CU651637.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP003034.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP002797.2           363     -16.3167     -16.3167      0.0000
  QRF00023_CP002729.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP002516.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP002212.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP002211.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP002185.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP002167.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP001969.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP001855.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP001671.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP001637.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP001396.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP001383.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP000970.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP000948.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP000802.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP000243.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CP000038.1           363     -16.3167     -16.3167      0.0000
  QRF00023_CAFL01000074.1       363     -16.3167     -16.3167      0.0000
  QRF00023_CADZ01000057.1       363     -16.3167     -16.3167      0.0000
  QRF00023_BAAV01002786.1       363     -16.3167     -16.3167      0.0000
  QRF00023_AP012030.1           363     -16.3167     -16.3167      0.0000
  QRF00023_AP010960.1           363     -16.3167     -16.3167      0.0000
  QRF00023_AP010958.1           363     -16.3167     -16.3167      0.0000
  QRF00023_AP010953.1           363     -16.3167     -16.3167      0.0000
  QRF00023_AP009378.1           363     -16.3167     -16.3167      0.0000
  QRF00023_AP009240.1           363     -16.3167     -16.3167      0.0000
  QRF00023_AP009048.1           363     -16.3167     -16.3167      0.0000
  QRF00023_AJ304858.2           363     -16.3167     -16.3167      0.0000
  QRF00023_AGTK01000236.1       363     -16.3167     -16.3167      0.0000
  QRF00023_AGTJ01000345.1       363     -16.3167     -16.3167      0.0000
  QRF00023_AGTI01000029.1       363     -16.3167     -16.3167      0.0000
  QRF00023_AGTH01000033.1       363     -16.3167     -16.3167      0.0000
  QRF00010_CP002738.1           351     -27.6105     -27.6105      0.0000
  QRF00010_ABSP01001676.1       350     -27.5340     -27.5340      0.0000
  QRF00010_FO082060.1           365     -24.4028     -24.4028      0.0000
  QRF00010_AFJF01000001.1       394     -20.8504     -20.8504      0.0000
  QRF00010_AEGW02000003.1       350     -27.5340     -27.5340      0.0000
  QRF00010_CP002086.1           354     -19.3104     -19.3104      0.0000
  QRF00010_ACJN02000001.1       533     -24.7646     -24.7646      0.0000
  QRF00010_CP002881.1           360     -29.8743     -29.8743      0.0000
  QRF00010_AFOH01000117.1       345     -29.0658     -29.0658      0.0000
  QRF00010_AACY020185705.1      350     -29.6466     -29.6466      0.0000
  QRF00010_AGSX01000193.1       359     -27.5536     -27.5536      0.0000
  QRF00010_AFWT01000009.1       368     -29.3835     -29.3835      0.0000
  QRF00010_FM209186.1           350     -26.0174     -26.0174      0.0000
  QRF00010_CP002496.1           350     -26.0174     -26.0174      0.0000
  QRF00010_CP000438.1           350     -26.0174     -26.0174      0.0000
  QRF00010_BADP01000198.1       350     -26.0174     -26.0174      0.0000
  QRF00010_AP012280.1           350     -26.0174     -26.0174      0.0000
  QRF00010_AFXK01000001.1       350     -26.0174     -26.0174      0.0000
  QRF00010_AFXJ01000001.1       350     -26.0174     -26.0174      0.0000
  QRF00010_AFXI01000001.1       350     -26.0174     -26.0174      0.0000
  QRF00010_AFNF01000315.1       350     -26.0174     -26.0174      0.0000
  QRF00010_AEVW01000050.1       350     -26.0174     -26.0174      0.0000
  QRF00010_AEVV01000076.1       350     -26.0174     -26.0174      0.0000
  QRF00010_AEEX01000069.1       350     -26.0174     -26.0174      0.0000
  QRF00010_AE004091.2           350     -26.0174     -26.0174      0.0000
  QRF00010_ACWU01000204.1       350     -26.0174     -26.0174      0.0000
  QRF00010_ABKZ01000485.1       350     -26.0174     -26.0174      0.0000
  QRF00010_CP002622.1           360     -29.8743     -29.8743      0.0000
  QRF00010_ABYY01000008.1       344     -25.4177     -25.4177      0.0000
  QRF00010_AACY020062040.1      355     -29.7816     -29.7816      0.0000
  QRF00010_AACY023745699.1      347     -26.9563     -26.9563      0.0000
  QRF00010_AGTR01000084.1       350     -31.5095     -31.5095      0.0000
  QRF00010_CP000937.1           344     -25.4177     -25.4177      0.0000
  QRF00010_ACKY01000130.1       336     -24.5876     -24.5876      0.0000
  QRF00010_AAQW01000001.1       350     -26.0174     -26.0174      0.0000
  QRF00010_AFZB01000010.1       349     -28.3446     -28.3446      0.0000
  QRF00010_AFOC01000030.1       349     -28.3446     -28.3446      0.0000
  QRF00010_ABSG01000028.1       354     -26.4455     -26.4455      0.0000
  QRF00010_ABSP01006958.1       367     -25.0191     -25.0191      0.0000
  QRF00010_CP000744.1           350     -24.1524     -24.1524      0.0000
  QRF00010_CP001978.1           350     -31.5713     -31.5713      0.0000
  QRF00010_AP011529.1           404     -17.3669     -17.3669      0.0000
  QRF00010_AGBG01000003.1       351     -36.3818     -36.3818      0.0000
  QRF00010_CR628336.1           373     -18.7151     -18.7151      0.0000
  QRF00010_CP001649.1           366     -24.3842     -24.3842      0.0000
  QRF00010_CP002870.1           360     -26.1625     -26.1625      0.0000
  QRF00010_AFFX01000011.1       358     -27.5687     -27.5687      0.0000
  QRF00010_CP002727.1           350     -29.8992     -29.8992      0.0000
  QRF00010_CP001798.1           351     -30.8451     -30.8451      0.0000
  QRF00010_AATN01000057.1       365     -26.7702     -26.7702      0.0000
  QRF01695_CP001875.2            88     -38.6751     -38.6751      0.0000
