# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01809.cm
# date:    Fri May 13 21:04:02 2016
# seed:    1463173442
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  symR                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:35.40       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -10.2159     -10.2159      0.0000
  QRF01739_AGJC01000011.1        62     -10.2812     -10.2812      0.0000
  QRF01739_AP012205.1            62      -6.0327      -6.0327      0.0000
  QRF01739_AEPQ01000180.1        85      -9.8834      -9.8834      0.0000
  QRF01739_AACY023065314.1       57     -14.5357     -14.5357      0.0000
  QRF01739_AACY020081009.1       57     -14.5357     -14.5357      0.0000
  QRF01739_ACSK01000180.1        92     -13.2987     -13.2987      0.0000
  QRF01739_BA000039.2           113      -8.8874      -8.8874      0.0000
  QRF01739_AACY023081145.1       53     -10.2612     -10.2612      0.0000
  QRF01739_AFSR01000238.1        99     -17.7644     -17.7644      0.0000
  QRF01739_AGJC01000003.1        76      -9.3815      -9.3815      0.0000
  QRF01739_AFSR01000146.1        92     -12.6174     -12.6174      0.0000
  QRF01739_CACA01000349.1        84     -15.2861     -15.2861      0.0000
  QRF01739_AACY022751187.1       52      -5.2364      -5.2364      0.0000
  QRF01739_AACY022283709.1       52      -5.2364      -5.2364      0.0000
  QRF01739_ABPS01003770.1       123     -12.0792     -12.0792      0.0000
  QRF01739_AFEJ01000345.1        83     -11.4677     -11.4677      0.0000
  QRF00005_CABR01000029.1        73      -9.9374      -9.9374      0.0000
  QRF00005_AFSR01002788.1        74      -9.5881      -9.5881      0.0000
