# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00013.cm
# date:    Fri May 13 21:11:15 2016
# seed:    1463173875
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  6S                         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:29.73       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -68.3903     -68.3903      0.0000
  QRF01739_AGJC01000011.1        62     -61.1273     -61.1273      0.0000
  QRF01739_AP012205.1            62     -61.9850     -61.9850      0.0000
  QRF01739_AEPQ01000180.1        85     -49.4501     -49.4501      0.0000
  QRF01739_AACY023065314.1       57     -63.3889     -63.3889      0.0000
  QRF01739_AACY020081009.1       57     -63.3889     -63.3889      0.0000
  QRF01739_ACSK01000180.1        92     -48.7583     -48.7583      0.0000
  QRF01739_BA000039.2           113     -41.2119     -41.2119      0.0000
  QRF01739_AACY023081145.1       53     -66.2679     -66.2679      0.0000
  QRF01739_AFSR01000238.1        99     -51.6832     -51.6832      0.0000
  QRF01739_AGJC01000003.1        76     -55.3413     -55.3413      0.0000
  QRF01739_AFSR01000146.1        92     -47.0803     -47.0803      0.0000
  QRF01739_CACA01000349.1        84     -61.9826     -61.9826      0.0000
  QRF01739_AACY022751187.1       52     -68.0525     -68.0525      0.0000
  QRF01739_AACY022283709.1       52     -68.0525     -68.0525      0.0000
  QRF01739_ABPS01003770.1       123     -38.9441     -38.9441      0.0000
  QRF01739_AFEJ01000345.1        83     -50.6020     -50.6020      0.0000
  QRF00005_CABR01000029.1        73     -55.3496     -55.3496      0.0000
  QRF00005_AFSR01002788.1        74     -54.3069     -54.3069      0.0000
  QRF00005_CP000927.1            72     -50.9112     -50.9112      0.0000
  QRF00005_AY741371.1            72     -52.5263     -52.5263      0.0000
  QRF00005_AEGR01000006.1        73     -51.8096     -51.8096      0.0000
  QRF00005_CP001189.1            73     -53.2497     -53.2497      0.0000
  QRF00005_CP000493.1            72     -49.1907     -49.1907      0.0000
  QRF00005_AP012159.1            73     -53.2497     -53.2497      0.0000
  QRF00005_AM889285.1            73     -53.2497     -53.2497      0.0000
  QRF00005_AGFR01000003.1        73     -53.7495     -53.7495      0.0000
  QRF00005_AFCH01000046.1        73     -53.2497     -53.2497      0.0000
  QRF00005_ADTV01000009.1        73     -53.2497     -53.2497      0.0000
  QRF00005_ABCE01000025.1        73     -57.3892     -57.3892      0.0000
  QRF00005_HM565909.1            72     -50.6469     -50.6469      0.0000
  QRF00005_CAFG01000441.1        73     -51.5206     -51.5206      0.0000
  QRF00005_AACY020656879.1       72     -51.1829     -51.1829      0.0000
  QRF00005_CP001744.1            73     -57.1104     -57.1104      0.0000
  QRF00005_CP000880.1            73     -44.2539     -44.2539      0.0000
  QRF00005_CACD01000012.1        73     -44.2539     -44.2539      0.0000
  QRF00005_CACD01000012.1        73     -44.2539     -44.2539      0.0000
  QRF00005_CACD01000012.1        73     -44.2539     -44.2539      0.0000
  QRF00005_AM849034.1            74     -58.4833     -58.4833      0.0000
  QRF00005_AM711867.1            74     -58.4833     -58.4833      0.0000
  QRF00005_AEQT01000005.1        73     -44.2539     -44.2539      0.0000
  QRF00005_AEQT01000005.1        73     -44.2539     -44.2539      0.0000
  QRF00005_ACDJ01000003.1        73     -44.2539     -44.2539      0.0000
  QRF00005_ABWL02000007.1        73     -44.2539     -44.2539      0.0000
  QRF00005_Z71579.1              73     -52.4856     -52.4856      0.0000
  QRF00005_X53782.1              73     -52.4856     -52.4856      0.0000
  QRF00005_M19391.1              73     -52.4856     -52.4856      0.0000
  QRF00005_M15314.1              73     -52.4856     -52.4856      0.0000
  QRF00005_L42023.1              73     -52.4856     -52.4856      0.0000
  QRF00005_L42023.1              73     -52.4856     -52.4856      0.0000
  QRF00005_L42023.1              73     -52.4856     -52.4856      0.0000
  QRF00005_FQ670204.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ670204.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ670204.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ670178.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ670178.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ670178.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ670178.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ312006.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ312006.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ312006.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ312002.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ312002.1            73     -52.4856     -52.4856      0.0000
  QRF00005_FQ312002.1            73     -52.4856     -52.4856      0.0000
  QRF00005_EF196803.1            73     -52.4856     -52.4856      0.0000
  QRF00005_EF196803.1            73     -52.4856     -52.4856      0.0000
  QRF00005_CP003022.1            73     -52.4856     -52.4856      0.0000
  QRF00001_EU093378.1           119     -41.4763     -41.4763      0.0000
  QRF00001_AAAA02047827.1       119     -41.1049     -41.1049      0.0000
  QRF00001_AAAA02043281.1       119     -40.4558     -40.4558      0.0000
  QRF00001_EF064700.1           119     -41.7488     -41.7488      0.0000
  QRF00001_EF064692.1           119     -41.7488     -41.7488      0.0000
  QRF00001_EF064687.1           119     -41.7488     -41.7488      0.0000
  QRF00001_EF064680.1           119     -41.7488     -41.7488      0.0000
  QRF00001_EF064678.1           119     -41.7488     -41.7488      0.0000
  QRF00001_EF064556.1           119     -41.7488     -41.7488      0.0000
  QRF00001_AJ390135.1           119     -41.7488     -41.7488      0.0000
  QRF00001_HQ270965.1           119     -41.0068     -41.0068      0.0000
  QRF00001_GQ324770.1           119     -41.0068     -41.0068      0.0000
  QRF00001_FJ882503.1           119     -41.0068     -41.0068      0.0000
  QRF00001_AF550740.1           119     -41.0068     -41.0068      0.0000
  QRF00001_HQ270648.1           119     -40.0028     -40.0028      0.0000
  QRF00001_EU924818.1           119     -40.0028     -40.0028      0.0000
  QRF00001_EU093153.1           119     -40.0028     -40.0028      0.0000
  QRF00001_EF524209.1           119     -40.0028     -40.0028      0.0000
  QRF00001_AY316209.1           119     -40.0028     -40.0028      0.0000
  QRF00001_AY034674.1           119     -40.0028     -40.0028      0.0000
  QRF00001_AJ409525.1           119     -40.0028     -40.0028      0.0000
  QRF00001_AF550715.1           119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01010155.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01009775.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01009775.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01009775.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01009135.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01009119.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01009117.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01005845.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01005845.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01005844.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01005841.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01005839.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01005838.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01005838.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01005835.1       119     -40.0028     -40.0028      0.0000
  QRF00001_ABXC01005835.1       119     -40.0028     -40.0028      0.0000
  QRF00001_AAAA02039752.1       119     -43.8888     -43.8888      0.0000
  QRF00001_EU925066.1           119     -43.0538     -43.0538      0.0000
  QRF00001_EU093209.1           119     -43.0538     -43.0538      0.0000
  QRF00001_U02637.1             119     -40.4558     -40.4558      0.0000
  QRF00001_EU439291.1           119     -40.4558     -40.4558      0.0000
  QRF00001_EU439286.1           119     -40.4558     -40.4558      0.0000
  QRF00001_EU439284.1           119     -40.4558     -40.4558      0.0000
