# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01732.cm
# date:    Sat May 14 02:38:37 2016
# seed:    1463193517
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  asd                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:35.86       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -48.5085     -48.5085      0.0000
  QRF01739_AGJC01000011.1        62     -49.6988     -49.6988      0.0000
  QRF01739_AP012205.1            62     -48.5090     -48.5090      0.0000
  QRF01739_AEPQ01000180.1        85     -45.3558     -45.3558      0.0000
  QRF01739_AACY023065314.1       57     -55.4196     -55.4196      0.0000
  QRF01739_AACY020081009.1       57     -55.4196     -55.4196      0.0000
  QRF01739_ACSK01000180.1        92     -43.2102     -43.2102      0.0000
  QRF01739_BA000039.2           113     -40.0524     -40.0524      0.0000
  QRF01739_AACY023081145.1       53     -59.4452     -59.4452      0.0000
  QRF01739_AFSR01000238.1        99     -41.4413     -41.4413      0.0000
  QRF01739_AGJC01000003.1        76     -47.4574     -47.4574      0.0000
  QRF01739_AFSR01000146.1        92     -48.1898     -48.1898      0.0000
  QRF01739_CACA01000349.1        84     -46.2282     -46.2282      0.0000
  QRF01739_AACY022751187.1       52     -60.0619     -60.0619      0.0000
  QRF01739_AACY022283709.1       52     -60.0619     -60.0619      0.0000
  QRF01739_ABPS01003770.1       123     -42.5901     -42.5901      0.0000
  QRF01739_AFEJ01000345.1        83     -44.5904     -44.5904      0.0000
  QRF00005_CABR01000029.1        73     -49.9891     -49.9891      0.0000
  QRF00005_AFSR01002788.1        74     -49.0623     -49.0623      0.0000
  QRF00005_CP000927.1            72     -51.1374     -51.1374      0.0000
  QRF00005_AY741371.1            72     -45.1586     -45.1586      0.0000
  QRF00005_AEGR01000006.1        73     -46.5158     -46.5158      0.0000
  QRF00005_CP001189.1            73     -42.8194     -42.8194      0.0000
  QRF00005_CP000493.1            72     -50.4492     -50.4492      0.0000
  QRF00005_AP012159.1            73     -42.8194     -42.8194      0.0000
  QRF00005_AM889285.1            73     -42.8194     -42.8194      0.0000
  QRF00005_AGFR01000003.1        73     -42.7548     -42.7548      0.0000
  QRF00005_AFCH01000046.1        73     -42.8194     -42.8194      0.0000
  QRF00005_ADTV01000009.1        73     -42.8194     -42.8194      0.0000
  QRF00005_ABCE01000025.1        73     -46.9643     -46.9643      0.0000
  QRF00005_HM565909.1            72     -47.7348     -47.7348      0.0000
  QRF00005_CAFG01000441.1        73     -48.3598     -48.3598      0.0000
  QRF00005_AACY020656879.1       72     -45.0634     -45.0634      0.0000
  QRF00005_CP001744.1            73     -46.2511     -46.2511      0.0000
  QRF00005_CP000880.1            73     -47.5961     -47.5961      0.0000
  QRF00005_CACD01000012.1        73     -47.5961     -47.5961      0.0000
  QRF00005_CACD01000012.1        73     -47.5961     -47.5961      0.0000
  QRF00005_CACD01000012.1        73     -47.5961     -47.5961      0.0000
  QRF00005_AM849034.1            74     -49.0967     -49.0967      0.0000
  QRF00005_AM711867.1            74     -49.0967     -49.0967      0.0000
  QRF00005_AEQT01000005.1        73     -47.5961     -47.5961      0.0000
  QRF00005_AEQT01000005.1        73     -47.5961     -47.5961      0.0000
  QRF00005_ACDJ01000003.1        73     -47.5961     -47.5961      0.0000
  QRF00005_ABWL02000007.1        73     -47.5961     -47.5961      0.0000
  QRF00005_Z71579.1              73     -45.8739     -45.8739      0.0000
  QRF00005_X53782.1              73     -45.8739     -45.8739      0.0000
  QRF00005_M19391.1              73     -45.8739     -45.8739      0.0000
  QRF00005_M15314.1              73     -45.8739     -45.8739      0.0000
  QRF00005_L42023.1              73     -45.8739     -45.8739      0.0000
  QRF00005_L42023.1              73     -45.8739     -45.8739      0.0000
  QRF00005_L42023.1              73     -45.8739     -45.8739      0.0000
  QRF00005_FQ670204.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ670204.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ670204.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ670178.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ670178.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ670178.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ670178.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ312006.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ312006.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ312006.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ312002.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ312002.1            73     -45.8739     -45.8739      0.0000
  QRF00005_FQ312002.1            73     -45.8739     -45.8739      0.0000
  QRF00005_EF196803.1            73     -45.8739     -45.8739      0.0000
  QRF00005_EF196803.1            73     -45.8739     -45.8739      0.0000
  QRF00005_CP003022.1            73     -45.8739     -45.8739      0.0000
  QRF00001_EU093378.1           119     -27.8898     -27.8898      0.0000
  QRF00001_AAAA02047827.1       119     -28.8378     -28.8378      0.0000
  QRF00001_AAAA02043281.1       119     -26.4058     -26.4058      0.0000
  QRF00001_EF064700.1           119     -24.0125     -24.0125      0.0000
  QRF00001_EF064692.1           119     -24.0125     -24.0125      0.0000
  QRF00001_EF064687.1           119     -24.0125     -24.0125      0.0000
  QRF00001_EF064680.1           119     -24.0125     -24.0125      0.0000
  QRF00001_EF064678.1           119     -24.0125     -24.0125      0.0000
  QRF00001_EF064556.1           119     -24.0125     -24.0125      0.0000
  QRF00001_AJ390135.1           119     -24.0125     -24.0125      0.0000
  QRF00001_HQ270965.1           119     -28.8378     -28.8378      0.0000
  QRF00001_GQ324770.1           119     -28.8378     -28.8378      0.0000
  QRF00001_FJ882503.1           119     -28.8378     -28.8378      0.0000
  QRF00001_AF550740.1           119     -28.8378     -28.8378      0.0000
  QRF00001_HQ270648.1           119     -26.4058     -26.4058      0.0000
  QRF00001_EU924818.1           119     -26.4058     -26.4058      0.0000
  QRF00001_EU093153.1           119     -26.4058     -26.4058      0.0000
  QRF00001_EF524209.1           119     -26.4058     -26.4058      0.0000
  QRF00001_AY316209.1           119     -26.4058     -26.4058      0.0000
  QRF00001_AY034674.1           119     -26.4058     -26.4058      0.0000
  QRF00001_AJ409525.1           119     -26.4058     -26.4058      0.0000
  QRF00001_AF550715.1           119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01010155.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01009775.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01009775.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01009775.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01009135.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01009119.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01009117.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01005845.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01005845.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01005844.1       119     -26.4058     -26.4058      0.0000
  QRF00001_ABXC01005841.1       119     -26.4058     -26.4058      0.0000
