# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01621.cm
# date:    Sat May 14 01:29:34 2016
# seed:    1463189374
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  ceN126                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:02.57       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -39.1280     -39.1280      0.0000
  QRF01739_AGJC01000011.1        62     -39.1174     -39.1174      0.0000
  QRF01739_AP012205.1            62     -35.3707     -35.3707      0.0000
  QRF01739_AEPQ01000180.1        85     -33.7625     -33.7625      0.0000
  QRF01739_AACY023065314.1       57     -39.7668     -39.7668      0.0000
  QRF01739_AACY020081009.1       57     -39.7668     -39.7668      0.0000
  QRF01739_ACSK01000180.1        92     -35.5772     -35.5772      0.0000
  QRF01739_BA000039.2           113     -27.4227     -27.4227      0.0000
  QRF01739_AACY023081145.1       53     -45.1195     -45.1195      0.0000
  QRF01739_AFSR01000238.1        99     -36.8879     -36.8879      0.0000
  QRF01739_AGJC01000003.1        76     -32.6281     -32.6281      0.0000
  QRF01739_AFSR01000146.1        92     -31.8651     -37.1533      5.2882
  QRF01739_CACA01000349.1        84     -39.6151     -39.6151      0.0000
  QRF01739_AACY022751187.1       52     -42.0295     -42.0295      0.0000
  QRF01739_AACY022283709.1       52     -42.0295     -42.0295      0.0000
  QRF01739_ABPS01003770.1       123     -33.2727     -33.2727      0.0000
  QRF01739_AFEJ01000345.1        83     -33.8541     -33.8541      0.0000
  QRF00005_CABR01000029.1        73     -40.7746     -40.7746      0.0000
  QRF00005_AFSR01002788.1        74     -34.7287     -34.7287      0.0000
  QRF00005_CP000927.1            72     -37.2242     -37.2242      0.0000
  QRF00005_AY741371.1            72     -41.0029     -41.0029      0.0000
  QRF00005_AEGR01000006.1        73     -36.9222     -36.9222      0.0000
  QRF00005_CP001189.1            73     -38.0309     -38.0309      0.0000
  QRF00005_CP000493.1            72     -41.8782     -41.8782      0.0000
  QRF00005_AP012159.1            73     -38.0309     -38.0309      0.0000
  QRF00005_AM889285.1            73     -38.0309     -38.0309      0.0000
  QRF00005_AGFR01000003.1        73     -36.8143     -36.8143      0.0000
  QRF00005_AFCH01000046.1        73     -38.0309     -38.0309      0.0000
  QRF00005_ADTV01000009.1        73     -38.0309     -38.0309      0.0000
  QRF00005_ABCE01000025.1        73     -39.3201     -39.3201      0.0000
  QRF00005_HM565909.1            72     -36.4632     -36.4632      0.0000
  QRF00005_CAFG01000441.1        73     -39.4222     -39.4222      0.0000
  QRF00005_AACY020656879.1       72     -36.4361     -36.4361      0.0000
  QRF00005_CP001744.1            73     -41.4758     -41.4758      0.0000
  QRF00005_CP000880.1            73     -39.2881     -39.2881      0.0000
  QRF00005_CACD01000012.1        73     -39.2881     -39.2881      0.0000
  QRF00005_CACD01000012.1        73     -39.2881     -39.2881      0.0000
  QRF00005_CACD01000012.1        73     -39.2881     -39.2881      0.0000
  QRF00005_AM849034.1            74     -35.4417     -35.4417      0.0000
  QRF00005_AM711867.1            74     -35.4417     -35.4417      0.0000
  QRF00005_AEQT01000005.1        73     -39.2881     -39.2881      0.0000
  QRF00005_AEQT01000005.1        73     -39.2881     -39.2881      0.0000
  QRF00005_ACDJ01000003.1        73     -39.2881     -39.2881      0.0000
  QRF00005_ABWL02000007.1        73     -39.2881     -39.2881      0.0000
  QRF00005_Z71579.1              73     -37.2363     -37.2363      0.0000
  QRF00005_X53782.1              73     -37.2363     -37.2363      0.0000
  QRF00005_M19391.1              73     -37.2363     -37.2363      0.0000
  QRF00005_M15314.1              73     -37.2363     -37.2363      0.0000
  QRF00005_L42023.1              73     -37.2363     -37.2363      0.0000
  QRF00005_L42023.1              73     -37.2363     -37.2363      0.0000
  QRF00005_L42023.1              73     -37.2363     -37.2363      0.0000
  QRF00005_FQ670204.1            73     -37.2363     -37.2363      0.0000
  QRF00005_FQ670204.1            73     -37.2363     -37.2363      0.0000
  QRF00005_FQ670204.1            73     -37.2363     -37.2363      0.0000
  QRF00005_FQ670178.1            73     -37.2363     -37.2363      0.0000
  QRF00005_FQ670178.1            73     -37.2363     -37.2363      0.0000
