# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00866.cm
# date:    Sat May 14 00:51:30 2016
# seed:    1463187090
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-BART3                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:31.19       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -13.3581     -13.3581      0.0000
  QRF01739_AGJC01000011.1        62     -11.0100     -11.0100      0.0000
  QRF01739_AP012205.1            62     -15.5722     -15.5722      0.0000
  QRF01739_AEPQ01000180.1        85      -0.5457      -0.5457      0.0000
  QRF01739_AACY023065314.1       57     -11.9440     -11.9440      0.0000
  QRF01739_AACY020081009.1       57     -11.9440     -11.9440      0.0000
  QRF01739_ACSK01000180.1        92      -9.5646      -9.5646      0.0000
  QRF01739_BA000039.2           113      -5.9872      -5.9872      0.0000
  QRF01739_AACY023081145.1       53     -12.0892     -12.0892      0.0000
  QRF01739_AFSR01000238.1        99      -8.9865      -8.9865      0.0000
  QRF01739_AGJC01000003.1        76     -16.2007     -16.2007      0.0000
  QRF01739_AFSR01000146.1        92      -0.0666      -0.0666      0.0000
  QRF01739_CACA01000349.1        84     -16.9324     -16.9324      0.0000
  QRF01739_AACY022751187.1       52     -11.8082     -11.8082      0.0000
  QRF01739_AACY022283709.1       52     -11.8082     -11.8082      0.0000
  QRF01739_ABPS01003770.1       123     -12.1872     -12.1872      0.0000
