# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01822.cm
# date:    Fri May 13 22:37:52 2016
# seed:    1463179072
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RsaJ                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:00.18       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -126.4351    -126.4351      0.0000
  QRF01739_AGJC01000011.1        62    -128.7835    -129.4904      0.7069
  QRF01739_AP012205.1            62    -123.0209    -123.0209      0.0000
  QRF01739_AEPQ01000180.1        85    -114.5105    -114.5105      0.0000
  QRF01739_AACY023065314.1       57    -127.1009    -127.1009      0.0000
  QRF01739_AACY020081009.1       57    -127.1009    -127.1009      0.0000
  QRF01739_ACSK01000180.1        92    -113.2818    -113.2818      0.0000
  QRF01739_BA000039.2           113     -98.3046     -98.3046      0.0000
  QRF01739_AACY023081145.1       53    -129.5280    -129.5280      0.0000
  QRF01739_AFSR01000238.1        99    -111.2616    -111.2616      0.0000
  QRF01739_AGJC01000003.1        76    -118.1999    -118.1999      0.0000
  QRF01739_AFSR01000146.1        92    -115.6172    -115.6172      0.0000
  QRF01739_CACA01000349.1        84    -123.9114    -123.9114      0.0000
  QRF01739_AACY022751187.1       52    -133.4632    -133.4632      0.0000
  QRF01739_AACY022283709.1       52    -133.4632    -133.4632      0.0000
  QRF01739_ABPS01003770.1       123     -82.1648     -82.1648      0.0000
  QRF01739_AFEJ01000345.1        83    -120.0586    -120.0586      0.0000
  QRF00005_CABR01000029.1        73    -120.2750    -120.2750      0.0000
  QRF00005_AFSR01002788.1        74    -109.8412    -109.8412      0.0000
  QRF00005_CP000927.1            72    -116.1060    -116.1060      0.0000
  QRF00005_AY741371.1            72    -118.4918    -118.4918      0.0000
  QRF00005_AEGR01000006.1        73    -118.5977    -118.5977      0.0000
  QRF00005_CP001189.1            73    -115.5690    -115.5690      0.0000
  QRF00005_CP000493.1            72    -118.9684    -118.9684      0.0000
  QRF00005_AP012159.1            73    -115.5690    -115.5690      0.0000
  QRF00005_AM889285.1            73    -115.5690    -115.5690      0.0000
  QRF00005_AGFR01000003.1        73    -112.9279    -112.9279      0.0000
  QRF00005_AFCH01000046.1        73    -115.5690    -115.5690      0.0000
  QRF00005_ADTV01000009.1        73    -115.5690    -115.5690      0.0000
  QRF00005_ABCE01000025.1        73    -123.4167    -123.4167      0.0000
  QRF00005_HM565909.1            72    -111.1148    -111.1148      0.0000
  QRF00005_CAFG01000441.1        73    -120.4177    -120.4177      0.0000
  QRF00005_AACY020656879.1       72    -113.0798    -113.0798      0.0000
  QRF00005_CP001744.1            73    -119.6710    -119.6710      0.0000
  QRF00005_CP000880.1            73    -116.0159    -116.0159      0.0000
  QRF00005_CACD01000012.1        73    -116.0159    -116.0159      0.0000
  QRF00005_CACD01000012.1        73    -116.0159    -116.0159      0.0000
  QRF00005_CACD01000012.1        73    -116.0159    -116.0159      0.0000
  QRF00005_AM849034.1            74    -110.7603    -110.7603      0.0000
  QRF00005_AM711867.1            74    -110.7603    -110.7603      0.0000
  QRF00005_AEQT01000005.1        73    -116.0159    -116.0159      0.0000
  QRF00005_AEQT01000005.1        73    -116.0159    -116.0159      0.0000
  QRF00005_ACDJ01000003.1        73    -116.0159    -116.0159      0.0000
  QRF00005_ABWL02000007.1        73    -116.0159    -116.0159      0.0000
  QRF00005_Z71579.1              73    -112.5059    -112.5059      0.0000
  QRF00005_X53782.1              73    -112.5059    -112.5059      0.0000
  QRF00005_M19391.1              73    -112.5059    -112.5059      0.0000
  QRF00005_M15314.1              73    -112.5059    -112.5059      0.0000
  QRF00005_L42023.1              73    -112.5059    -112.5059      0.0000
  QRF00005_L42023.1              73    -112.5059    -112.5059      0.0000
  QRF00005_L42023.1              73    -112.5059    -112.5059      0.0000
  QRF00005_FQ670204.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ670204.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ670204.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ670178.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ670178.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ670178.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ670178.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ312006.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ312006.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ312006.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ312002.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ312002.1            73    -112.5059    -112.5059      0.0000
  QRF00005_FQ312002.1            73    -112.5059    -112.5059      0.0000
  QRF00005_EF196803.1            73    -112.5059    -112.5059      0.0000
  QRF00005_EF196803.1            73    -112.5059    -112.5059      0.0000
  QRF00005_CP003022.1            73    -112.5059    -112.5059      0.0000
  QRF00001_EU093378.1           119     -94.1263     -94.1263      0.0000
  QRF00001_AAAA02047827.1       119     -98.5852     -98.5852      0.0000
