# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00240.cm
# date:    Fri May 13 21:46:22 2016
# seed:    1463175982
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RNA-OUT                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:28.45       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -16.1066     -16.1066      0.0000
  QRF01739_AGJC01000011.1        62     -15.7932     -15.7932      0.0000
  QRF01739_AP012205.1            62     -15.7578     -15.7578      0.0000
  QRF01739_AEPQ01000180.1        85      -6.6655      -6.6655      0.0000
  QRF01739_AACY023065314.1       57     -14.5663     -14.5663      0.0000
  QRF01739_AACY020081009.1       57     -14.5663     -14.5663      0.0000
  QRF01739_ACSK01000180.1        92      -6.3173      -6.3173      0.0000
  QRF01739_BA000039.2           113     -11.3770     -11.3770      0.0000
  QRF01739_AACY023081145.1       53     -17.1866     -17.1866      0.0000
  QRF01739_AFSR01000238.1        99     -13.6622     -13.6622      0.0000
  QRF01739_AGJC01000003.1        76     -10.6532     -10.6532      0.0000
  QRF01739_AFSR01000146.1        92     -10.1491     -10.1491      0.0000
  QRF01739_CACA01000349.1        84     -13.4249     -13.4249      0.0000
  QRF01739_AACY022751187.1       52     -16.7162     -16.7162      0.0000
  QRF01739_AACY022283709.1       52     -16.7162     -16.7162      0.0000
  QRF01739_ABPS01003770.1       123     -10.1736     -10.1736      0.0000
  QRF01739_AFEJ01000345.1        83     -11.9578     -11.9578      0.0000
  QRF00005_CABR01000029.1        73     -14.0103     -14.0103      0.0000
  QRF00005_AFSR01002788.1        74     -18.9674     -18.9674      0.0000
  QRF00005_CP000927.1            72     -16.2119     -16.2119      0.0000
  QRF00005_AY741371.1            72     -18.1781     -18.1781      0.0000
  QRF00005_AEGR01000006.1        73     -10.2453     -10.2453      0.0000
  QRF00005_CP001189.1            73     -15.7970     -15.7970      0.0000
  QRF00005_CP000493.1            72     -21.4311     -21.4311      0.0000
  QRF00005_AP012159.1            73     -15.7970     -15.7970      0.0000
  QRF00005_AM889285.1            73     -15.7970     -15.7970      0.0000
  QRF00005_AGFR01000003.1        73      -9.2036      -9.2036      0.0000
  QRF00005_AFCH01000046.1        73     -15.7970     -15.7970      0.0000
  QRF00005_ADTV01000009.1        73     -15.7970     -15.7970      0.0000
  QRF00005_ABCE01000025.1        73     -11.9225     -11.9225      0.0000
  QRF00005_HM565909.1            72     -18.0521     -18.0521      0.0000
  QRF00005_CAFG01000441.1        73     -12.5883     -12.5883      0.0000
  QRF00005_AACY020656879.1       72     -20.8931     -20.8931      0.0000
  QRF00005_CP001744.1            73     -15.0914     -15.0914      0.0000
  QRF00005_CP000880.1            73     -11.5121     -11.5121      0.0000
  QRF00005_CACD01000012.1        73     -11.5121     -11.5121      0.0000
  QRF00005_CACD01000012.1        73     -11.5121     -11.5121      0.0000
  QRF00005_CACD01000012.1        73     -11.5121     -11.5121      0.0000
  QRF00005_AM849034.1            74     -15.3432     -15.3432      0.0000
  QRF00005_AM711867.1            74     -15.3432     -15.3432      0.0000
  QRF00005_AEQT01000005.1        73     -11.5121     -11.5121      0.0000
  QRF00005_AEQT01000005.1        73     -11.5121     -11.5121      0.0000
  QRF00005_ACDJ01000003.1        73     -11.5121     -11.5121      0.0000
  QRF00005_ABWL02000007.1        73     -11.5121     -11.5121      0.0000
  QRF00005_Z71579.1              73      -6.1270      -6.1270      0.0000
  QRF00005_X53782.1              73      -6.1270      -6.1270      0.0000
  QRF00005_M19391.1              73      -6.1270      -6.1270      0.0000
  QRF00005_M15314.1              73      -6.1270      -6.1270      0.0000
  QRF00005_L42023.1              73      -6.1270      -6.1270      0.0000
  QRF00005_L42023.1              73      -6.1270      -6.1270      0.0000
  QRF00005_L42023.1              73      -6.1270      -6.1270      0.0000
  QRF00005_FQ670204.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ670204.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ670204.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ670178.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ670178.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ670178.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ670178.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ312006.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ312006.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ312006.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ312002.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ312002.1            73      -6.1270      -6.1270      0.0000
  QRF00005_FQ312002.1            73      -6.1270      -6.1270      0.0000
  QRF00005_EF196803.1            73      -6.1270      -6.1270      0.0000
  QRF00005_EF196803.1            73      -6.1270      -6.1270      0.0000
  QRF00005_CP003022.1            73      -6.1270      -6.1270      0.0000
  QRF00001_EU093378.1           119     -13.2938     -13.2938      0.0000
  QRF00001_AAAA02047827.1       119     -13.2938     -13.2938      0.0000
  QRF00001_AAAA02043281.1       119     -14.2468     -14.2468      0.0000
  QRF00001_EF064700.1           119     -13.7958     -13.7958      0.0000
  QRF00001_EF064692.1           119     -13.7958     -13.7958      0.0000
  QRF00001_EF064687.1           119     -13.7958     -13.7958      0.0000
  QRF00001_EF064680.1           119     -13.7958     -13.7958      0.0000
  QRF00001_EF064678.1           119     -13.7958     -13.7958      0.0000
  QRF00001_EF064556.1           119     -13.7958     -13.7958      0.0000
  QRF00001_AJ390135.1           119     -13.7958     -13.7958      0.0000
  QRF00001_HQ270965.1           119     -13.2938     -13.2938      0.0000
  QRF00001_GQ324770.1           119     -13.2938     -13.2938      0.0000
  QRF00001_FJ882503.1           119     -13.2938     -13.2938      0.0000
  QRF00001_AF550740.1           119     -13.2938     -13.2938      0.0000
  QRF00001_HQ270648.1           119     -13.2938     -13.2938      0.0000
  QRF00001_EU924818.1           119     -13.2938     -13.2938      0.0000
  QRF00001_EU093153.1           119     -13.2938     -13.2938      0.0000
  QRF00001_EF524209.1           119     -13.2938     -13.2938      0.0000
  QRF00001_AY316209.1           119     -13.2938     -13.2938      0.0000
  QRF00001_AY034674.1           119     -13.2938     -13.2938      0.0000
  QRF00001_AJ409525.1           119     -13.2938     -13.2938      0.0000
  QRF00001_AF550715.1           119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01010155.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01009775.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01009775.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01009775.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01009135.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01009119.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01009117.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01005845.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01005845.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01005844.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01005841.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01005839.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01005838.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01005838.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01005835.1       119     -13.2938     -13.2938      0.0000
  QRF00001_ABXC01005835.1       119     -13.2938     -13.2938      0.0000
  QRF00001_AAAA02039752.1       119     -13.2938     -13.2938      0.0000
  QRF00001_EU925066.1           119     -13.2938     -13.2938      0.0000
  QRF00001_EU093209.1           119     -13.2938     -13.2938      0.0000
