# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF02004.cm
# date:    Sat May 14 04:40:48 2016
# seed:    1463200848
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  group-II-D1D4-5            search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:52.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -70.1008     -70.1008      0.0000
  QRF01739_AGJC01000011.1        62     -72.7555     -72.7555      0.0000
  QRF01739_AP012205.1            62     -76.1228     -76.1228      0.0000
  QRF01739_AEPQ01000180.1        85     -65.3808     -65.3808      0.0000
  QRF01739_AACY023065314.1       57     -72.3712     -72.3712      0.0000
  QRF01739_AACY020081009.1       57     -72.3712     -72.3712      0.0000
  QRF01739_ACSK01000180.1        92     -64.7994     -64.7994      0.0000
  QRF01739_BA000039.2           113     -57.4195     -57.4195      0.0000
  QRF01739_AACY023081145.1       53     -76.5287     -76.5287      0.0000
  QRF01739_AFSR01000238.1        99     -64.3084     -64.3084      0.0000
  QRF01739_AGJC01000003.1        76     -72.6801     -72.6801      0.0000
  QRF01739_AFSR01000146.1        92     -63.1396     -63.1396      0.0000
  QRF01739_CACA01000349.1        84     -74.3959     -74.3959      0.0000
  QRF01739_AACY022751187.1       52     -73.5509     -73.5509      0.0000
  QRF01739_AACY022283709.1       52     -73.5509     -73.5509      0.0000
  QRF01739_ABPS01003770.1       123     -51.3691     -51.3691      0.0000
  QRF01739_AFEJ01000345.1        83     -66.9655     -66.9655      0.0000
  QRF00005_CABR01000029.1        73     -78.5912     -78.5912      0.0000
  QRF00005_AFSR01002788.1        74     -73.2727     -73.2727      0.0000
  QRF00005_CP000927.1            72     -75.3637     -75.3637      0.0000
  QRF00005_AY741371.1            72     -72.1885     -72.1885      0.0000
  QRF00005_AEGR01000006.1        73     -75.2679     -75.2679      0.0000
  QRF00005_CP001189.1            73     -72.0642     -72.0642      0.0000
  QRF00005_CP000493.1            72     -66.1992     -66.1992      0.0000
  QRF00005_AP012159.1            73     -72.0642     -72.0642      0.0000
  QRF00005_AM889285.1            73     -72.0642     -72.0642      0.0000
  QRF00005_AGFR01000003.1        73     -68.3714     -68.3714      0.0000
  QRF00005_AFCH01000046.1        73     -72.0642     -72.0642      0.0000
  QRF00005_ADTV01000009.1        73     -72.0642     -72.0642      0.0000
  QRF00005_ABCE01000025.1        73     -73.3548     -73.3548      0.0000
  QRF00005_HM565909.1            72     -71.6482     -71.6482      0.0000
  QRF00005_CAFG01000441.1        73     -75.0822     -75.0822      0.0000
  QRF00005_AACY020656879.1       72     -72.1471     -72.1471      0.0000
  QRF00005_CP001744.1            73     -72.3684     -72.3684      0.0000
  QRF00005_CP000880.1            73     -71.5228     -71.5228      0.0000
  QRF00005_CACD01000012.1        73     -71.5228     -71.5228      0.0000
  QRF00005_CACD01000012.1        73     -71.5228     -71.5228      0.0000
  QRF00005_CACD01000012.1        73     -71.5228     -71.5228      0.0000
  QRF00005_AM849034.1            74     -62.6545     -62.6545      0.0000
  QRF00005_AM711867.1            74     -62.6545     -62.6545      0.0000
  QRF00005_AEQT01000005.1        73     -71.5228     -71.5228      0.0000
  QRF00005_AEQT01000005.1        73     -71.5228     -71.5228      0.0000
  QRF00005_ACDJ01000003.1        73     -71.5228     -71.5228      0.0000
  QRF00005_ABWL02000007.1        73     -71.5228     -71.5228      0.0000
  QRF00005_Z71579.1              73     -75.2146     -75.2146      0.0000
  QRF00005_X53782.1              73     -75.2146     -75.2146      0.0000
  QRF00005_M19391.1              73     -75.2146     -75.2146      0.0000
  QRF00005_M15314.1              73     -75.2146     -75.2146      0.0000
  QRF00005_L42023.1              73     -75.2146     -75.2146      0.0000
  QRF00005_L42023.1              73     -75.2146     -75.2146      0.0000
  QRF00005_L42023.1              73     -75.2146     -75.2146      0.0000
  QRF00005_FQ670204.1            73     -75.2146     -75.2146      0.0000
