# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01737.cm
# date:    Fri May 13 21:37:20 2016
# seed:    1463175440
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  flpD                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:15.38       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -12.3377     -12.3377      0.0000
  QRF01739_AGJC01000011.1        62     -15.7066     -15.7066      0.0000
  QRF01739_AP012205.1            62      -8.2235      -8.2235      0.0000
  QRF01739_AEPQ01000180.1        85     -10.3950     -10.3950      0.0000
  QRF01739_AACY023065314.1       57     -11.3161     -11.3161      0.0000
  QRF01739_AACY020081009.1       57     -11.3161     -11.3161      0.0000
  QRF01739_ACSK01000180.1        92     -11.8672     -11.8672      0.0000
  QRF01739_BA000039.2           113     -14.2701     -14.2701      0.0000
  QRF01739_AACY023081145.1       53     -11.9131     -11.9131      0.0000
  QRF01739_AFSR01000238.1        99     -10.4173     -10.4173      0.0000
  QRF01739_AGJC01000003.1        76     -12.6740     -12.6740      0.0000
  QRF01739_AFSR01000146.1        92      -7.6290      -7.6290      0.0000
  QRF01739_CACA01000349.1        84     -16.4607     -16.4607      0.0000
  QRF01739_AACY022751187.1       52      -9.3893      -9.3893      0.0000
  QRF01739_AACY022283709.1       52      -9.3893      -9.3893      0.0000
  QRF01739_ABPS01003770.1       123     -12.4133     -12.4133      0.0000
  QRF01739_AFEJ01000345.1        83     -17.6398     -17.6398      0.0000
  QRF00005_CABR01000029.1        73     -13.5791     -13.5791      0.0000
  QRF00005_AFSR01002788.1        74     -12.0555     -12.0555      0.0000
  QRF00005_CP000927.1            72     -10.1740     -10.1740      0.0000
  QRF00005_AY741371.1            72     -15.5814     -15.5814      0.0000
  QRF00005_AEGR01000006.1        73     -14.5752     -14.5752      0.0000
  QRF00005_CP001189.1            73     -14.1661     -14.1661      0.0000
  QRF00005_CP000493.1            72     -14.0954     -14.0954      0.0000
  QRF00005_AP012159.1            73     -14.1661     -14.1661      0.0000
  QRF00005_AM889285.1            73     -14.1661     -14.1661      0.0000
  QRF00005_AGFR01000003.1        73     -10.4025     -10.4025      0.0000
  QRF00005_AFCH01000046.1        73     -14.1661     -14.1661      0.0000
  QRF00005_ADTV01000009.1        73     -14.1661     -14.1661      0.0000
  QRF00005_ABCE01000025.1        73      -8.1284      -8.1284      0.0000
  QRF00005_HM565909.1            72     -17.3384     -17.3384      0.0000
  QRF00005_CAFG01000441.1        73     -14.5752     -14.5752      0.0000
  QRF00005_AACY020656879.1       72     -16.8364     -16.8364      0.0000
  QRF00005_CP001744.1            73     -10.0468     -10.0468      0.0000
  QRF00005_CP000880.1            73     -14.8972     -14.8972      0.0000
  QRF00005_CACD01000012.1        73     -14.8972     -14.8972      0.0000
  QRF00005_CACD01000012.1        73     -14.8972     -14.8972      0.0000
  QRF00005_CACD01000012.1        73     -14.8972     -14.8972      0.0000
  QRF00005_AM849034.1            74     -12.0174     -12.0174      0.0000
  QRF00005_AM711867.1            74     -12.0174     -12.0174      0.0000
  QRF00005_AEQT01000005.1        73     -14.8972     -14.8972      0.0000
  QRF00005_AEQT01000005.1        73     -14.8972     -14.8972      0.0000
  QRF00005_ACDJ01000003.1        73     -14.8972     -14.8972      0.0000
  QRF00005_ABWL02000007.1        73     -14.8972     -14.8972      0.0000
  QRF00005_Z71579.1              73     -11.5258     -11.5258      0.0000
  QRF00005_X53782.1              73     -11.5258     -11.5258      0.0000
  QRF00005_M19391.1              73     -11.5258     -11.5258      0.0000
  QRF00005_M15314.1              73     -11.5258     -11.5258      0.0000
  QRF00005_L42023.1              73     -11.5258     -11.5258      0.0000
  QRF00005_L42023.1              73     -11.5258     -11.5258      0.0000
  QRF00005_L42023.1              73     -11.5258     -11.5258      0.0000
  QRF00005_FQ670204.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ670204.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ670204.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ670178.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ670178.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ670178.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ670178.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ312006.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ312006.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ312006.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ312002.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ312002.1            73     -11.5258     -11.5258      0.0000
  QRF00005_FQ312002.1            73     -11.5258     -11.5258      0.0000
  QRF00005_EF196803.1            73     -11.5258     -11.5258      0.0000
  QRF00005_EF196803.1            73     -11.5258     -11.5258      0.0000
  QRF00005_CP003022.1            73     -11.5258     -11.5258      0.0000
  QRF00001_EU093378.1           119     -13.5763     -13.5763      0.0000
