# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01855.cm
# date:    Sat May 14 01:32:29 2016
# seed:    1463189549
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Plant_SRP                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:34.07       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -102.1692    -102.1692      0.0000
  QRF01739_AGJC01000011.1        62    -102.2501    -102.2501      0.0000
  QRF01739_AP012205.1            62    -102.2733    -102.2733      0.0000
  QRF01739_AEPQ01000180.1        85     -88.7251     -88.7251      0.0000
  QRF01739_AACY023065314.1       57    -100.0603    -100.0603      0.0000
  QRF01739_AACY020081009.1       57    -100.0603    -100.0603      0.0000
  QRF01739_ACSK01000180.1        92     -96.1982     -96.1982      0.0000
  QRF01739_BA000039.2           113     -85.6852     -89.6102      3.9250
  QRF01739_AACY023081145.1       53    -103.6410    -104.5430      0.9020
  QRF01739_AFSR01000238.1        99     -92.9860     -92.9860      0.0000
  QRF01739_AGJC01000003.1        76     -99.5737     -99.5737      0.0000
  QRF01739_AFSR01000146.1        92     -95.5924     -95.5924      0.0000
  QRF01739_CACA01000349.1        84    -100.2490    -100.2490      0.0000
  QRF01739_AACY022751187.1       52    -105.5686    -105.5686      0.0000
  QRF01739_AACY022283709.1       52    -105.5686    -105.5686      0.0000
