# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00177.cm
# date:    Fri May 13 20:04:12 2016
# seed:    1463169852
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SSU_rRNA_bacteria          search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:26:50.22       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -920.5257    -920.5257      0.0000
  QRF01739_AGJC01000011.1        62    -923.9426    -923.9426      0.0000
  QRF01739_AP012205.1            62    -922.1243    -922.1243      0.0000
  QRF01739_AEPQ01000180.1        85    -890.6506    -890.6506      0.0000
  QRF01739_AACY023065314.1       57    -921.9623    -921.9623      0.0000
  QRF01739_AACY020081009.1       57    -921.9623    -921.9623      0.0000
  QRF01739_ACSK01000180.1        92    -887.4758    -887.4758      0.0000
  QRF01739_BA000039.2           113    -865.4854    -865.4854      0.0000
  QRF01739_AACY023081145.1       53    -927.5020    -927.5020      0.0000
  QRF01739_AFSR01000238.1        99    -878.3223    -878.3223      0.0000
  QRF01739_AGJC01000003.1        76    -912.0921    -912.0921      0.0000
  QRF01739_AFSR01000146.1        92    -893.0603    -893.0603      0.0000
  QRF01739_CACA01000349.1        84    -892.8907    -892.8907      0.0000
  QRF01739_AACY022751187.1       52    -930.6288    -930.6288      0.0000
  QRF01739_AACY022283709.1       52    -930.6288    -930.6288      0.0000
  QRF01739_ABPS01003770.1       123    -856.5998    -856.5998      0.0000
  QRF01739_AFEJ01000345.1        83    -902.3820    -902.3820      0.0000
  QRF00005_CABR01000029.1        73    -913.8253    -913.8253      0.0000
  QRF00005_AFSR01002788.1        74    -908.6956    -908.6956      0.0000
  QRF00005_CP000927.1            72    -909.7894    -909.7894      0.0000
  QRF00005_AY741371.1            72    -911.2729    -911.2729      0.0000
  QRF00005_AEGR01000006.1        73    -908.6485    -908.6485      0.0000
  QRF00005_CP001189.1            73    -908.7146    -908.7146      0.0000
  QRF00005_CP000493.1            72    -911.7203    -911.7203      0.0000
  QRF00005_AP012159.1            73    -908.7146    -908.7146      0.0000
  QRF00005_AM889285.1            73    -908.7146    -908.7146      0.0000
  QRF00005_AGFR01000003.1        73    -910.8826    -910.8826      0.0000
  QRF00005_AFCH01000046.1        73    -908.7146    -908.7146      0.0000
  QRF00005_ADTV01000009.1        73    -908.7146    -908.7146      0.0000
  QRF00005_ABCE01000025.1        73    -913.4513    -913.4513      0.0000
  QRF00005_HM565909.1            72    -912.1109    -912.1109      0.0000
  QRF00005_CAFG01000441.1        73    -913.8607    -913.8607      0.0000
  QRF00005_AACY020656879.1       72    -911.7261    -911.7261      0.0000
  QRF00005_CP001744.1            73    -913.4824    -913.4824      0.0000
  QRF00005_CP000880.1            73    -912.3509    -912.3509      0.0000
