# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00524.cm
# date:    Fri May 13 22:28:29 2016
# seed:    1463178509
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  R2_retro_el                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:50.94       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -93.3318     -93.3318      0.0000
  QRF01739_AGJC01000011.1        62     -92.0809     -92.0809      0.0000
  QRF01739_AP012205.1            62     -92.4378     -92.4378      0.0000
  QRF01739_AEPQ01000180.1        85     -79.8367     -79.8367      0.0000
  QRF01739_AACY023065314.1       57     -94.5704     -94.5704      0.0000
  QRF01739_AACY020081009.1       57     -94.5704     -94.5704      0.0000
  QRF01739_ACSK01000180.1        92     -75.0418     -75.0418      0.0000
  QRF01739_BA000039.2           113     -69.3806     -69.3806      0.0000
  QRF01739_AACY023081145.1       53     -98.0096     -98.0096      0.0000
  QRF01739_AFSR01000238.1        99     -74.8839     -74.8839      0.0000
  QRF01739_AGJC01000003.1        76     -86.9249     -86.9249      0.0000
  QRF01739_AFSR01000146.1        92     -81.6528     -81.6528      0.0000
  QRF01739_CACA01000349.1        84     -87.2353     -87.2353      0.0000
  QRF01739_AACY022751187.1       52    -100.1320    -100.1320      0.0000
  QRF01739_AACY022283709.1       52    -100.1320    -100.1320      0.0000
  QRF01739_ABPS01003770.1       123     -60.9615     -60.9615      0.0000
