# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01066.cm
# date:    Fri May 13 22:35:52 2016
# seed:    1463178952
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  6C                         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:36.88       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -16.4721     -16.4721      0.0000
  QRF01739_AGJC01000011.1        62     -14.1826     -14.1826      0.0000
  QRF01739_AP012205.1            62     -22.3110     -22.3110      0.0000
  QRF01739_AEPQ01000180.1        85     -21.1802     -21.1802      0.0000
  QRF01739_AACY023065314.1       57     -21.5521     -21.5521      0.0000
  QRF01739_AACY020081009.1       57     -21.5521     -21.5521      0.0000
  QRF01739_ACSK01000180.1        92     -19.6254     -19.6254      0.0000
  QRF01739_BA000039.2           113     -13.4329     -13.4329      0.0000
  QRF01739_AACY023081145.1       53     -21.2451     -21.2451      0.0000
  QRF01739_AFSR01000238.1        99     -22.4291     -22.4291      0.0000
  QRF01739_AGJC01000003.1        76     -20.8983     -20.8983      0.0000
  QRF01739_AFSR01000146.1        92     -15.3706     -15.3706      0.0000
  QRF01739_CACA01000349.1        84     -25.5722     -25.5722      0.0000
  QRF01739_AACY022751187.1       52     -22.7971     -22.7971      0.0000
  QRF01739_AACY022283709.1       52     -22.7971     -22.7971      0.0000
  QRF01739_ABPS01003770.1       123      -9.9956      -9.9956      0.0000
  QRF01739_AFEJ01000345.1        83     -14.9087     -14.9087      0.0000
  QRF00005_CABR01000029.1        73      -7.6451      -7.6451      0.0000
  QRF00005_AFSR01002788.1        74      -7.9547      -7.9547      0.0000
  QRF00005_CP000927.1            72     -11.7541     -11.7541      0.0000
  QRF00005_AY741371.1            72      -8.8192      -8.8192      0.0000
  QRF00005_AEGR01000006.1        73      -9.2932      -9.2932      0.0000
  QRF00005_CP001189.1            73      -8.1190      -8.1190      0.0000
  QRF00005_CP000493.1            72      -6.8491      -6.8491      0.0000
  QRF00005_AP012159.1            73      -8.1190      -8.1190      0.0000
