# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01849.cm
# date:    Sat May 14 02:08:44 2016
# seed:    1463191724
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  alpha_tmRNA                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:44.51       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -160.7213    -160.7213      0.0000
  QRF01739_AGJC01000011.1        62    -162.2319    -162.2319      0.0000
  QRF01739_AP012205.1            62    -164.1808    -164.1808      0.0000
  QRF01739_AEPQ01000180.1        85    -154.2616    -154.2616      0.0000
  QRF01739_AACY023065314.1       57    -163.2621    -163.2621      0.0000
  QRF01739_AACY020081009.1       57    -163.2621    -163.2621      0.0000
  QRF01739_ACSK01000180.1        92    -150.6998    -150.6998      0.0000
  QRF01739_BA000039.2           113    -138.4967    -138.4967      0.0000
  QRF01739_AACY023081145.1       53    -161.6475    -161.6475      0.0000
  QRF01739_AFSR01000238.1        99    -147.3992    -147.3992      0.0000
  QRF01739_AGJC01000003.1        76    -159.1568    -159.1568      0.0000
  QRF01739_AFSR01000146.1        92    -151.3863    -151.3863      0.0000
  QRF01739_CACA01000349.1        84    -152.8222    -152.8222      0.0000
  QRF01739_AACY022751187.1       52    -169.7574    -169.7574      0.0000
  QRF01739_AACY022283709.1       52    -169.7574    -169.7574      0.0000
  QRF01739_ABPS01003770.1       123    -131.9069    -131.9069      0.0000
  QRF01739_AFEJ01000345.1        83    -157.7078    -157.7078      0.0000
  QRF00005_CABR01000029.1        73    -161.5607    -161.5607      0.0000
  QRF00005_AFSR01002788.1        74    -158.6620    -158.6620      0.0000
  QRF00005_CP000927.1            72    -158.5651    -158.5651      0.0000
  QRF00005_AY741371.1            72    -163.6376    -163.6376      0.0000
  QRF00005_AEGR01000006.1        73    -156.1956    -156.1956      0.0000
  QRF00005_CP001189.1            73    -156.1548    -156.1548      0.0000
  QRF00005_CP000493.1            72    -157.8438    -157.8438      0.0000
  QRF00005_AP012159.1            73    -156.1548    -156.1548      0.0000
  QRF00005_AM889285.1            73    -156.1548    -156.1548      0.0000
  QRF00005_AGFR01000003.1        73    -158.1548    -158.1548      0.0000
  QRF00005_AFCH01000046.1        73    -156.1548    -156.1548      0.0000
  QRF00005_ADTV01000009.1        73    -156.1548    -156.1548      0.0000
  QRF00005_ABCE01000025.1        73    -159.8043    -159.8043      0.0000
  QRF00005_HM565909.1            72    -161.0307    -161.0307      0.0000
  QRF00005_CAFG01000441.1        73    -155.9746    -155.9746      0.0000
  QRF00005_AACY020656879.1       72    -161.4647    -161.4647      0.0000
  QRF00005_CP001744.1            73    -161.5000    -161.5000      0.0000
  QRF00005_CP000880.1            73    -160.5271    -160.5271      0.0000
  QRF00005_CACD01000012.1        73    -160.5271    -160.5271      0.0000
  QRF00005_CACD01000012.1        73    -160.5271    -160.5271      0.0000
  QRF00005_CACD01000012.1        73    -160.5271    -160.5271      0.0000
  QRF00005_AM849034.1            74    -163.2822    -163.2822      0.0000
  QRF00005_AM711867.1            74    -163.2822    -163.2822      0.0000
  QRF00005_AEQT01000005.1        73    -160.5271    -160.5271      0.0000
  QRF00005_AEQT01000005.1        73    -160.5271    -160.5271      0.0000
  QRF00005_ACDJ01000003.1        73    -160.5271    -160.5271      0.0000
  QRF00005_ABWL02000007.1        73    -160.5271    -160.5271      0.0000
  QRF00005_Z71579.1              73    -155.3406    -155.3406      0.0000
  QRF00005_X53782.1              73    -155.3406    -155.3406      0.0000
  QRF00005_M19391.1              73    -155.3406    -155.3406      0.0000
  QRF00005_M15314.1              73    -155.3406    -155.3406      0.0000
  QRF00005_L42023.1              73    -155.3406    -155.3406      0.0000
  QRF00005_L42023.1              73    -155.3406    -155.3406      0.0000
  QRF00005_L42023.1              73    -155.3406    -155.3406      0.0000
  QRF00005_FQ670204.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ670204.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ670204.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ670178.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ670178.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ670178.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ670178.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ312006.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ312006.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ312006.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ312002.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ312002.1            73    -155.3406    -155.3406      0.0000
  QRF00005_FQ312002.1            73    -155.3406    -155.3406      0.0000
  QRF00005_EF196803.1            73    -155.3406    -155.3406      0.0000
  QRF00005_EF196803.1            73    -155.3406    -155.3406      0.0000
  QRF00005_CP003022.1            73    -155.3406    -155.3406      0.0000
  QRF00001_EU093378.1           119    -138.7852    -138.7852      0.0000
  QRF00001_AAAA02047827.1       119    -137.6840    -137.6840      0.0000
  QRF00001_AAAA02043281.1       119    -137.7262    -137.7262      0.0000
  QRF00001_EF064700.1           119    -136.4720    -136.4720      0.0000
  QRF00001_EF064692.1           119    -136.4720    -136.4720      0.0000
  QRF00001_EF064687.1           119    -136.4720    -136.4720      0.0000
  QRF00001_EF064680.1           119    -136.4720    -136.4720      0.0000
  QRF00001_EF064678.1           119    -136.4720    -136.4720      0.0000
  QRF00001_EF064556.1           119    -136.4720    -136.4720      0.0000
  QRF00001_AJ390135.1           119    -136.4720    -136.4720      0.0000
  QRF00001_HQ270965.1           119    -137.6840    -137.6840      0.0000
  QRF00001_GQ324770.1           119    -137.6840    -137.6840      0.0000
  QRF00001_FJ882503.1           119    -137.6840    -137.6840      0.0000
  QRF00001_AF550740.1           119    -137.6840    -137.6840      0.0000
  QRF00001_HQ270648.1           119    -136.3170    -136.3170      0.0000
  QRF00001_EU924818.1           119    -136.3170    -136.3170      0.0000
  QRF00001_EU093153.1           119    -136.3170    -136.3170      0.0000
  QRF00001_EF524209.1           119    -136.3170    -136.3170      0.0000
  QRF00001_AY316209.1           119    -136.3170    -136.3170      0.0000
  QRF00001_AY034674.1           119    -136.3170    -136.3170      0.0000
  QRF00001_AJ409525.1           119    -136.3170    -136.3170      0.0000
  QRF00001_AF550715.1           119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01010155.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01009775.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01009775.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01009775.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01009135.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01009119.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01009117.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01005845.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01005845.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01005844.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01005841.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01005839.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01005838.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01005838.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01005835.1       119    -136.3170    -136.3170      0.0000
  QRF00001_ABXC01005835.1       119    -136.3170    -136.3170      0.0000
  QRF00001_AAAA02039752.1       119    -136.0224    -136.0224      0.0000
  QRF00001_EU925066.1           119    -136.8370    -136.8370      0.0000
  QRF00001_EU093209.1           119    -136.8370    -136.8370      0.0000
  QRF00001_U02637.1             119    -136.8370    -136.8370      0.0000
  QRF00001_EU439291.1           119    -136.8370    -136.8370      0.0000
  QRF00001_EU439286.1           119    -136.8370    -136.8370      0.0000
  QRF00001_EU439284.1           119    -136.8370    -136.8370      0.0000
  QRF00001_EU439282.1           119    -136.8370    -136.8370      0.0000
  QRF00001_EU439280.1           119    -136.8370    -136.8370      0.0000
  QRF00001_EU439279.1           119    -136.8370    -136.8370      0.0000
  QRF00001_EU439278.1           119    -136.8370    -136.8370      0.0000
  QRF00001_EU439277.1           119    -136.8370    -136.8370      0.0000
  QRF01704_ACNY01000005.1        62    -164.0919    -164.0919      0.0000
  QRF01704_ADXL01000065.1        61    -160.8578    -160.8578      0.0000
  QRF01704_ADXL01000046.1        61    -161.5838    -161.5838      0.0000
  QRF01704_ADHP01001127.1        63    -164.4172    -164.4172      0.0000
  QRF01704_ADXM01000029.1        71    -152.1303    -152.1303      0.0000
  QRF01704_FJ869257.1            62    -164.3696    -164.3696      0.0000
  QRF01704_BX569692.1            62    -164.3696    -164.3696      0.0000
  QRF01704_AACY023835177.1       64    -162.2935    -162.2935      0.0000
  QRF01704_ACNY01000003.1        61    -161.9125    -161.9125      0.0000
  QRF01704_AACY020212823.1       62    -165.4397    -165.4397      0.0000
  QRF01704_GQ237222.1            58    -164.4957    -164.4957      0.0000
  QRF01704_ADHP01000860.1        64    -164.5326    -164.5326      0.0000
  QRF01704_AACY020313707.1       62    -160.2477    -160.2477      0.0000
  QRF01704_ACDW01000004.1        62    -164.3671    -164.3671      0.0000
  QRF01704_AACY022014507.1       62    -164.3671    -164.3671      0.0000
  QRF01704_ADHP01000878.1        59    -166.5550    -166.5550      0.0000
  QRF01704_AACY022415810.1       58    -164.7252    -164.7252      0.0000
  QRF01704_AACY020575673.1       58    -164.7252    -164.7252      0.0000
  QRF01704_ACNY01000005.1        59    -169.5850    -169.5850      0.0000
  QRF01704_ADHP01000854.1        63    -161.7284    -161.7284      0.0000
  QRF01704_GU936714.1            59    -164.9536    -164.9536      0.0000
  QRF01704_AACY021622950.1       62    -166.0367    -166.0367      0.0000
  QRF01704_CP000825.1            58    -163.6562    -163.6562      0.0000
  QRF01704_EU795157.1            64    -161.9113    -161.9113      0.0000
  QRF01704_ABVN01004790.1        61    -164.1219    -164.1219      0.0000
  QRF01704_ABMN01086741.1        60    -165.8923    -165.8923      0.0000
  QRF01704_DQ325539.1            60    -170.4763    -170.4763      0.0000
  QRF01704_ACNY01000005.1        62    -163.9726    -163.9726      0.0000
  QRF01704_ACNY01000004.1        60    -165.8148    -165.8148      0.0000
  QRF01704_ABVT01000061.1        57    -165.7811    -165.7811      0.0000
  QRF00023_CP001665.1           363     -75.8771     -75.8771      0.0000
  QRF00023_CP001509.3           363     -75.8771     -75.8771      0.0000
  QRF00023_CP000819.1           363     -75.8771     -75.8771      0.0000
  QRF00023_AM946981.2           363     -75.8771     -75.8771      0.0000
  QRF00023_ADTQ01000184.1       363     -75.8771     -75.8771      0.0000
  QRF00023_ADBT01000188.1       363     -75.8771     -75.8771      0.0000
  QRF00023_FN543093.2           364     -75.2663     -78.6921      3.4258
  QRF00023_AFAG01000033.1       363     -75.8392     -75.8392      0.0000
  QRF00023_AFAF01000014.1       363     -75.8392     -75.8392      0.0000
  QRF00023_ADUS01000034.1       363     -75.8392     -75.8392      0.0000
  QRF00023_U36840.1             363     -75.9401     -75.9401      0.0000
  QRF00023_FN649414.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CU928162.2           363     -75.9401     -75.9401      0.0000
  QRF00023_CU928161.2           363     -75.9401     -75.9401      0.0000
  QRF00023_CU928158.2           363     -75.9401     -75.9401      0.0000
  QRF00023_CU651637.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP003034.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP002797.2           363     -75.9401     -75.9401      0.0000
  QRF00023_CP002729.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP002516.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP002212.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP002211.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP002185.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP002167.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP001969.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP001855.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP001671.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP001637.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP001396.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP001383.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP000970.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP000948.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP000802.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP000243.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CP000038.1           363     -75.9401     -75.9401      0.0000
  QRF00023_CAFL01000074.1       363     -75.9401     -75.9401      0.0000
  QRF00023_CADZ01000057.1       363     -75.9401     -75.9401      0.0000
  QRF00023_BAAV01002786.1       363     -75.9401     -75.9401      0.0000
  QRF00023_AP012030.1           363     -75.9401     -75.9401      0.0000
  QRF00023_AP010960.1           363     -75.9401     -75.9401      0.0000
