# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01731.cm
# date:    Sat May 14 01:56:05 2016
# seed:    1463190965
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  TwoAYGGAY                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:23.77       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -43.7119     -43.7119      0.0000
  QRF01739_AGJC01000011.1        62     -44.5411     -44.5411      0.0000
  QRF01739_AP012205.1            62     -44.9159     -44.9159      0.0000
  QRF01739_AEPQ01000180.1        85     -34.5881     -34.5881      0.0000
  QRF01739_AACY023065314.1       57     -45.6897     -45.6897      0.0000
  QRF01739_AACY020081009.1       57     -45.6897     -45.6897      0.0000
  QRF01739_ACSK01000180.1        92     -40.3553     -40.3553      0.0000
  QRF01739_BA000039.2           113     -36.8660     -38.0933      1.2273
  QRF01739_AACY023081145.1       53     -44.7955     -44.7955      0.0000
  QRF01739_AFSR01000238.1        99     -43.3738     -43.3738      0.0000
  QRF01739_AGJC01000003.1        76     -39.4762     -39.4762      0.0000
  QRF01739_AFSR01000146.1        92     -40.5092     -40.5092      0.0000
  QRF01739_CACA01000349.1        84     -38.2460     -38.2460      0.0000
  QRF01739_AACY022751187.1       52     -49.4482     -49.4482      0.0000
  QRF01739_AACY022283709.1       52     -49.4482     -49.4482      0.0000
  QRF01739_ABPS01003770.1       123     -36.3518     -36.3518      0.0000
  QRF01739_AFEJ01000345.1        83     -44.8823     -44.8823      0.0000
  QRF00005_CABR01000029.1        73     -35.5787     -35.5787      0.0000
  QRF00005_AFSR01002788.1        74     -37.4226     -37.4226      0.0000
  QRF00005_CP000927.1            72     -45.5761     -45.5761      0.0000
  QRF00005_AY741371.1            72     -38.9771     -38.9771      0.0000
  QRF00005_AEGR01000006.1        73     -40.8057     -40.8057      0.0000
  QRF00005_CP001189.1            73     -43.4961     -43.4961      0.0000
  QRF00005_CP000493.1            72     -37.3565     -37.3565      0.0000
  QRF00005_AP012159.1            73     -43.4961     -43.4961      0.0000
  QRF00005_AM889285.1            73     -43.4961     -43.4961      0.0000
  QRF00005_AGFR01000003.1        73     -38.8846     -38.8846      0.0000
  QRF00005_AFCH01000046.1        73     -43.4961     -43.4961      0.0000
  QRF00005_ADTV01000009.1        73     -43.4961     -43.4961      0.0000
  QRF00005_ABCE01000025.1        73     -37.7852     -37.7852      0.0000
  QRF00005_HM565909.1            72     -42.1873     -42.1873      0.0000
  QRF00005_CAFG01000441.1        73     -40.9977     -40.9977      0.0000
  QRF00005_AACY020656879.1       72     -41.5595     -41.5595      0.0000
  QRF00005_CP001744.1            73     -43.6362     -43.6362      0.0000
  QRF00005_CP000880.1            73     -46.4627     -46.4627      0.0000
  QRF00005_CACD01000012.1        73     -46.4627     -46.4627      0.0000
  QRF00005_CACD01000012.1        73     -46.4627     -46.4627      0.0000
  QRF00005_CACD01000012.1        73     -46.4627     -46.4627      0.0000
  QRF00005_AM849034.1            74     -42.1453     -42.1453      0.0000
  QRF00005_AM711867.1            74     -42.1453     -42.1453      0.0000
  QRF00005_AEQT01000005.1        73     -46.4627     -46.4627      0.0000
  QRF00005_AEQT01000005.1        73     -46.4627     -46.4627      0.0000
  QRF00005_ACDJ01000003.1        73     -46.4627     -46.4627      0.0000
  QRF00005_ABWL02000007.1        73     -46.4627     -46.4627      0.0000
  QRF00005_Z71579.1              73     -38.5022     -38.5022      0.0000
  QRF00005_X53782.1              73     -38.5022     -38.5022      0.0000
  QRF00005_M19391.1              73     -38.5022     -38.5022      0.0000
  QRF00005_M15314.1              73     -38.5022     -38.5022      0.0000
  QRF00005_L42023.1              73     -38.5022     -38.5022      0.0000
  QRF00005_L42023.1              73     -38.5022     -38.5022      0.0000
  QRF00005_L42023.1              73     -38.5022     -38.5022      0.0000
  QRF00005_FQ670204.1            73     -38.5022     -38.5022      0.0000
