# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01366.cm
# date:    Tue May 10 02:37:49 2016
# seed:    1462847869
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  CRISPR-DR53                search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.09       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136      -3.9673      -3.9673      0.0000
  RF00418_AAIY01556911.1        141      -4.0651      -4.0651      0.0000
  RF00418_AAYZ01244227.1        137      -5.3261      -5.3261      0.0000
  RF00418_AF357386.1            126      -4.7623      -4.7623      0.0000
  RF00418_AABR04001620.1        135      -6.6633      -6.6633      0.0000
  RF00418_AAQQ01789110.1        137      -4.0636      -4.0636      0.0000
  RF00418_AJ609450.1            137      -3.6223      -3.6223      0.0000
  RF00418_AL590431.11           136      -5.9586      -5.9586      0.0000
  RF00418_AL049745.9            136      -3.0887      -3.0887      0.0000
  RF00418_ABDC01240840.1        136      -8.4289      -8.4289      0.0000
  RF00418_AAQR01162064.1        136      -4.1866      -4.1866      0.0000
  RF00418_AAEX02026315.1        137      -7.9523      -7.9523      0.0000
  RF00418_AANG01021210.1        136      -5.3065      -5.3065      0.0000
  RF00418_AAFC03027776.1        135      -4.8653      -4.8653      0.0000
  RF00418_AAPE01281662.1        136      -2.4553      -2.4553      0.0000
  RF00418_AALT01368588.1        136       0.4504       0.4504      0.0000
  RF00418_AAWR02038694.1        136      -7.5041      -7.5041      0.0000
  RF00418_AAGV020286123.1       137      -5.7701      -5.7701      0.0000
  RF00418_AAFR03052180.1        134      -7.1129      -7.1129      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.35    0.26        0  0.00000    0.00
#
# CPU time: 0.44u 0.00s 00:00:00.44 Elapsed: 00:00:01
