# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00009.cm
# date:    Sat May 14 02:01:52 2016
# seed:    1463191312
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RNaseP_nuc                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:13.97       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -81.0031     -81.0031      0.0000
  QRF01739_AGJC01000011.1        62     -80.8522     -80.8522      0.0000
  QRF01739_AP012205.1            62     -81.8018     -81.8018      0.0000
  QRF01739_AEPQ01000180.1        85     -79.1741     -79.1741      0.0000
  QRF01739_AACY023065314.1       57     -80.7026     -80.7026      0.0000
  QRF01739_AACY020081009.1       57     -80.7026     -80.7026      0.0000
  QRF01739_ACSK01000180.1        92     -73.4240     -73.4240      0.0000
  QRF01739_BA000039.2           113     -69.6080     -69.6080      0.0000
  QRF01739_AACY023081145.1       53     -88.1140     -88.1140      0.0000
  QRF01739_AFSR01000238.1        99     -65.9462     -65.9462      0.0000
  QRF01739_AGJC01000003.1        76     -78.5588     -78.5588      0.0000
  QRF01739_AFSR01000146.1        92     -78.5791     -78.5791      0.0000
  QRF01739_CACA01000349.1        84     -79.2979     -79.2979      0.0000
  QRF01739_AACY022751187.1       52     -85.1798     -85.1798      0.0000
  QRF01739_AACY022283709.1       52     -85.1798     -85.1798      0.0000
  QRF01739_ABPS01003770.1       123     -69.8256     -69.8256      0.0000
  QRF01739_AFEJ01000345.1        83     -80.3945     -80.3945      0.0000
  QRF00005_CABR01000029.1        73     -84.1930     -84.1930      0.0000
  QRF00005_AFSR01002788.1        74     -82.7454     -82.7454      0.0000
  QRF00005_CP000927.1            72     -83.8177     -83.8177      0.0000
  QRF00005_AY741371.1            72     -80.5298     -80.5298      0.0000
  QRF00005_AEGR01000006.1        73     -82.5274     -82.5274      0.0000
  QRF00005_CP001189.1            73     -83.9759     -83.9759      0.0000
  QRF00005_CP000493.1            72     -81.0204     -81.0204      0.0000
  QRF00005_AP012159.1            73     -83.9759     -83.9759      0.0000
  QRF00005_AM889285.1            73     -83.9759     -83.9759      0.0000
  QRF00005_AGFR01000003.1        73     -84.9810     -84.9810      0.0000
  QRF00005_AFCH01000046.1        73     -83.9759     -83.9759      0.0000
  QRF00005_ADTV01000009.1        73     -83.9759     -83.9759      0.0000
  QRF00005_ABCE01000025.1        73     -83.0665     -83.0665      0.0000
  QRF00005_HM565909.1            72     -79.9618     -79.9618      0.0000
  QRF00005_CAFG01000441.1        73     -82.1964     -82.1964      0.0000
  QRF00005_AACY020656879.1       72     -80.7629     -80.7629      0.0000
  QRF00005_CP001744.1            73     -82.7513     -82.7513      0.0000
  QRF00005_CP000880.1            73     -82.3929     -82.3929      0.0000
  QRF00005_CACD01000012.1        73     -82.3929     -82.3929      0.0000
  QRF00005_CACD01000012.1        73     -82.3929     -82.3929      0.0000
  QRF00005_CACD01000012.1        73     -82.3929     -82.3929      0.0000
  QRF00005_AM849034.1            74     -75.7487     -75.7487      0.0000
  QRF00005_AM711867.1            74     -75.7487     -75.7487      0.0000
  QRF00005_AEQT01000005.1        73     -82.3929     -82.3929      0.0000
