# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00457.cm
# date:    Sun May  8 20:39:51 2016
# seed:    1462714791
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_mnt                   search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.95       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -77.8043     -77.8043      0.0000
  trna_2                         74     -75.6126     -75.6126      0.0000
  trna_3                         73     -77.2683     -77.2683      0.0000
  trna_4                         72     -78.7984     -78.7984      0.0000
  trna_5                         72     -81.0561     -81.0561      0.0000
  trna_6                         73     -75.5220     -75.5220      0.0000
  trna_7                         73     -79.6826     -79.6826      0.0000
  trna_8                         73     -80.0759     -80.0759      0.0000
  trna_9                         73     -76.1207     -76.1207      0.0000
  trna_10                        72     -72.7440     -72.7440      0.0000
  u5_1                          114     -58.8129     -58.8129      0.0000
  u5_2                          116     -59.7706     -59.7706      0.0000
  u5_3                          118     -49.4967     -49.4967      0.0000
  u5_4                          117     -56.4575     -56.4575      0.0000
  u5_5                          107     -61.1765     -61.1765      0.0000
  u5_6                          116     -60.9210     -60.9210      0.0000
  u5_7                          116     -52.4882     -52.4882      0.0000
  u5_8                          126     -43.4062     -43.4062      0.0000
  u5_9                          115     -60.4894     -60.4894      0.0000
  u5_10                         115     -54.6721     -54.6721      0.0000
  rrtWT_uc011zgd.1_2370         100     -69.0997     -69.0997      0.0000
  rrtWT_uc007ino.1_879          100     -72.6392     -72.6392      0.0000
  rrtWT_uc012dtn.1_1041         100     -64.7169     -64.7169      0.0000
  rrtWT_uc007bjr.2_621          100     -57.2482     -57.2482      0.0000
  rrtWT_uc008hom.1_603          100     -69.8808     -69.8808      0.0000
  rrtWT_uc007wki.1_323          100     -62.2790     -62.2790      0.0000
  rrtWT_uc008fec.1_254          100     -67.4252     -67.4252      0.0000
  rrtWT_uc007wxx.1_716          100     -62.4502     -62.4502      0.0000
  rrtWT_uc009qex.2_2789         100     -67.0960     -67.0960      0.0000
  rrtWT_uc007xbv.1_1165         100     -55.7079     -55.7079      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.91    1.04        0  0.00000    0.00
#
# CPU time: 1.86u 0.03s 00:00:01.89 Elapsed: 00:00:02
