# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00485.cm
# date:    Sat May 14 05:11:42 2016
# seed:    1463202702
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  K_chan_RES                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:34.65       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -45.7142     -45.7142      0.0000
  QRF01739_AGJC01000011.1        62     -38.9362     -38.9362      0.0000
  QRF01739_AP012205.1            62     -41.8181     -41.8181      0.0000
  QRF01739_AEPQ01000180.1        85     -32.4841     -32.4841      0.0000
  QRF01739_AACY023065314.1       57     -46.2923     -46.2923      0.0000
  QRF01739_AACY020081009.1       57     -46.2923     -46.2923      0.0000
  QRF01739_ACSK01000180.1        92     -31.3111     -31.3111      0.0000
  QRF01739_BA000039.2           113     -19.8332     -19.8332      0.0000
  QRF01739_AACY023081145.1       53     -48.3966     -48.3966      0.0000
  QRF01739_AFSR01000238.1        99     -29.9409     -29.9409      0.0000
  QRF01739_AGJC01000003.1        76     -38.2051     -38.2051      0.0000
  QRF01739_AFSR01000146.1        92     -31.4504     -31.4504      0.0000
  QRF01739_CACA01000349.1        84     -38.7420     -38.7420      0.0000
  QRF01739_AACY022751187.1       52     -39.9303     -39.9303      0.0000
  QRF01739_AACY022283709.1       52     -39.9303     -39.9303      0.0000
  QRF01739_ABPS01003770.1       123     -27.1155     -27.1155      0.0000
  QRF01739_AFEJ01000345.1        83     -30.3283     -30.3283      0.0000
  QRF00005_CABR01000029.1        73     -25.6958     -25.6958      0.0000
  QRF00005_AFSR01002788.1        74     -28.8601     -28.8601      0.0000
  QRF00005_CP000927.1            72     -35.6586     -35.6586      0.0000
  QRF00005_AY741371.1            72     -36.3932     -36.3932      0.0000
  QRF00005_AEGR01000006.1        73     -23.1150     -23.1150      0.0000
  QRF00005_CP001189.1            73     -32.3908     -32.3908      0.0000
  QRF00005_CP000493.1            72     -35.1061     -35.1061      0.0000
  QRF00005_AP012159.1            73     -32.3908     -32.3908      0.0000
  QRF00005_AM889285.1            73     -32.3908     -32.3908      0.0000
  QRF00005_AGFR01000003.1        73     -33.2695     -33.2695      0.0000
  QRF00005_AFCH01000046.1        73     -32.3908     -32.3908      0.0000
  QRF00005_ADTV01000009.1        73     -32.3908     -32.3908      0.0000
  QRF00005_ABCE01000025.1        73     -33.7401     -33.7401      0.0000
  QRF00005_HM565909.1            72     -34.0122     -34.0122      0.0000
  QRF00005_CAFG01000441.1        73     -24.1867     -24.1867      0.0000
  QRF00005_AACY020656879.1       72     -33.4962     -33.4962      0.0000
  QRF00005_CP001744.1            73     -30.0993     -30.0993      0.0000
  QRF00005_CP000880.1            73     -30.6799     -30.6799      0.0000
  QRF00005_CACD01000012.1        73     -30.6799     -30.6799      0.0000
  QRF00005_CACD01000012.1        73     -30.6799     -30.6799      0.0000
  QRF00005_CACD01000012.1        73     -30.6799     -30.6799      0.0000
  QRF00005_AM849034.1            74     -27.6252     -27.6252      0.0000
  QRF00005_AM711867.1            74     -27.6252     -27.6252      0.0000
  QRF00005_AEQT01000005.1        73     -30.6799     -30.6799      0.0000
  QRF00005_AEQT01000005.1        73     -30.6799     -30.6799      0.0000
  QRF00005_ACDJ01000003.1        73     -30.6799     -30.6799      0.0000
  QRF00005_ABWL02000007.1        73     -30.6799     -30.6799      0.0000
  QRF00005_Z71579.1              73     -22.7967     -22.7967      0.0000
  QRF00005_X53782.1              73     -22.7967     -22.7967      0.0000
  QRF00005_M19391.1              73     -22.7967     -22.7967      0.0000
  QRF00005_M15314.1              73     -22.7967     -22.7967      0.0000
  QRF00005_L42023.1              73     -22.7967     -22.7967      0.0000
  QRF00005_L42023.1              73     -22.7967     -22.7967      0.0000
  QRF00005_L42023.1              73     -22.7967     -22.7967      0.0000
  QRF00005_FQ670204.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ670204.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ670204.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ670178.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ670178.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ670178.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ670178.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ312006.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ312006.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ312006.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ312002.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ312002.1            73     -22.7967     -22.7967      0.0000
  QRF00005_FQ312002.1            73     -22.7967     -22.7967      0.0000
  QRF00005_EF196803.1            73     -22.7967     -22.7967      0.0000
  QRF00005_EF196803.1            73     -22.7967     -22.7967      0.0000
  QRF00005_CP003022.1            73     -22.7967     -22.7967      0.0000
  QRF00001_EU093378.1           119     -25.0839     -25.0839      0.0000
  QRF00001_AAAA02047827.1       119     -25.2136     -25.2136      0.0000
  QRF00001_AAAA02043281.1       119     -24.5136     -24.5136      0.0000
  QRF00001_EF064700.1           119     -23.2866     -23.2866      0.0000
  QRF00001_EF064692.1           119     -23.2866     -23.2866      0.0000
  QRF00001_EF064687.1           119     -23.2866     -23.2866      0.0000
  QRF00001_EF064680.1           119     -23.2866     -23.2866      0.0000
  QRF00001_EF064678.1           119     -23.2866     -23.2866      0.0000
  QRF00001_EF064556.1           119     -23.2866     -23.2866      0.0000
  QRF00001_AJ390135.1           119     -23.2866     -23.2866      0.0000
  QRF00001_HQ270965.1           119     -25.0839     -25.0839      0.0000
  QRF00001_GQ324770.1           119     -25.0839     -25.0839      0.0000
  QRF00001_FJ882503.1           119     -25.0839     -25.0839      0.0000
  QRF00001_AF550740.1           119     -25.0839     -25.0839      0.0000
  QRF00001_HQ270648.1           119     -25.0839     -25.0839      0.0000
  QRF00001_EU924818.1           119     -25.0839     -25.0839      0.0000
  QRF00001_EU093153.1           119     -25.0839     -25.0839      0.0000
  QRF00001_EF524209.1           119     -25.0839     -25.0839      0.0000
  QRF00001_AY316209.1           119     -25.0839     -25.0839      0.0000
  QRF00001_AY034674.1           119     -25.0839     -25.0839      0.0000
  QRF00001_AJ409525.1           119     -25.0839     -25.0839      0.0000
  QRF00001_AF550715.1           119     -25.0839     -25.0839      0.0000
  QRF00001_ABXC01010155.1       119     -25.0839     -25.0839      0.0000
  QRF00001_ABXC01009775.1       119     -25.0839     -25.0839      0.0000
