# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01879.cm
# date:    Fri May 13 21:20:52 2016
# seed:    1463174452
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  LOC285194                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:23.78       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -72.8485     -72.8485      0.0000
  QRF01739_AGJC01000011.1        62     -76.1294     -76.1294      0.0000
  QRF01739_AP012205.1            62     -74.9238     -74.9238      0.0000
  QRF01739_AEPQ01000180.1        85     -60.5924     -60.5924      0.0000
  QRF01739_AACY023065314.1       57     -71.6834     -71.6834      0.0000
  QRF01739_AACY020081009.1       57     -71.6834     -71.6834      0.0000
  QRF01739_ACSK01000180.1        92     -61.9039     -61.9039      0.0000
  QRF01739_BA000039.2           113     -57.8727     -57.8727      0.0000
  QRF01739_AACY023081145.1       53     -74.9490     -74.9490      0.0000
  QRF01739_AFSR01000238.1        99     -66.8645     -66.8645      0.0000
  QRF01739_AGJC01000003.1        76     -68.8688     -68.8688      0.0000
  QRF01739_AFSR01000146.1        92     -72.0992     -72.0992      0.0000
  QRF01739_CACA01000349.1        84     -69.8081     -69.8081      0.0000
  QRF01739_AACY022751187.1       52     -77.9143     -77.9143      0.0000
  QRF01739_AACY022283709.1       52     -77.9143     -77.9143      0.0000
  QRF01739_ABPS01003770.1       123     -46.3869     -46.3869      0.0000
  QRF01739_AFEJ01000345.1        83     -66.2150     -66.2150      0.0000
  QRF00005_CABR01000029.1        73     -66.6117     -66.6117      0.0000
  QRF00005_AFSR01002788.1        74     -64.4027     -64.4027      0.0000
  QRF00005_CP000927.1            72     -68.0300     -68.0300      0.0000
  QRF00005_AY741371.1            72     -67.4068     -67.4068      0.0000
  QRF00005_AEGR01000006.1        73     -61.4346     -61.4346      0.0000
  QRF00005_CP001189.1            73     -63.7719     -63.7719      0.0000
  QRF00005_CP000493.1            72     -71.7686     -71.7686      0.0000
  QRF00005_AP012159.1            73     -63.7719     -63.7719      0.0000
  QRF00005_AM889285.1            73     -63.7719     -63.7719      0.0000
  QRF00005_AGFR01000003.1        73     -61.0202     -61.0202      0.0000
  QRF00005_AFCH01000046.1        73     -63.7719     -63.7719      0.0000
  QRF00005_ADTV01000009.1        73     -63.7719     -63.7719      0.0000
  QRF00005_ABCE01000025.1        73     -68.5260     -68.5260      0.0000
  QRF00005_HM565909.1            72     -69.6898     -69.6898      0.0000
  QRF00005_CAFG01000441.1        73     -63.2427     -63.2427      0.0000
  QRF00005_AACY020656879.1       72     -68.6860     -68.6860      0.0000
  QRF00005_CP001744.1            73     -65.7056     -65.7056      0.0000
  QRF00005_CP000880.1            73     -66.3536     -66.3536      0.0000
  QRF00005_CACD01000012.1        73     -66.3536     -66.3536      0.0000
  QRF00005_CACD01000012.1        73     -66.3536     -66.3536      0.0000
  QRF00005_CACD01000012.1        73     -66.3536     -66.3536      0.0000
  QRF00005_AM849034.1            74     -62.8368     -62.8368      0.0000
  QRF00005_AM711867.1            74     -62.8368     -62.8368      0.0000
  QRF00005_AEQT01000005.1        73     -66.3536     -66.3536      0.0000
  QRF00005_AEQT01000005.1        73     -66.3536     -66.3536      0.0000
  QRF00005_ACDJ01000003.1        73     -66.3536     -66.3536      0.0000
  QRF00005_ABWL02000007.1        73     -66.3536     -66.3536      0.0000
  QRF00005_Z71579.1              73     -61.1457     -61.1457      0.0000
  QRF00005_X53782.1              73     -61.1457     -61.1457      0.0000
  QRF00005_M19391.1              73     -61.1457     -61.1457      0.0000
  QRF00005_M15314.1              73     -61.1457     -61.1457      0.0000
  QRF00005_L42023.1              73     -61.1457     -61.1457      0.0000
  QRF00005_L42023.1              73     -61.1457     -61.1457      0.0000
  QRF00005_L42023.1              73     -61.1457     -61.1457      0.0000
  QRF00005_FQ670204.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ670204.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ670204.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ670178.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ670178.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ670178.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ670178.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ312006.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ312006.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ312006.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ312002.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ312002.1            73     -61.1457     -61.1457      0.0000
  QRF00005_FQ312002.1            73     -61.1457     -61.1457      0.0000
  QRF00005_EF196803.1            73     -61.1457     -61.1457      0.0000
  QRF00005_EF196803.1            73     -61.1457     -61.1457      0.0000
  QRF00005_CP003022.1            73     -61.1457     -61.1457      0.0000
  QRF00001_EU093378.1           119     -50.7052     -50.7052      0.0000
  QRF00001_AAAA02047827.1       119     -49.7822     -49.7822      0.0000
  QRF00001_AAAA02043281.1       119     -54.2404     -54.2404      0.0000
  QRF00001_EF064700.1           119     -50.5510     -50.5510      0.0000
  QRF00001_EF064692.1           119     -50.5510     -50.5510      0.0000
  QRF00001_EF064687.1           119     -50.5510     -50.5510      0.0000
  QRF00001_EF064680.1           119     -50.5510     -50.5510      0.0000
  QRF00001_EF064678.1           119     -50.5510     -50.5510      0.0000
  QRF00001_EF064556.1           119     -50.5510     -50.5510      0.0000
  QRF00001_AJ390135.1           119     -50.5510     -50.5510      0.0000
  QRF00001_HQ270965.1           119     -49.7822     -49.7822      0.0000
  QRF00001_GQ324770.1           119     -49.7822     -49.7822      0.0000
  QRF00001_FJ882503.1           119     -49.7822     -49.7822      0.0000
  QRF00001_AF550740.1           119     -49.7822     -49.7822      0.0000
  QRF00001_HQ270648.1           119     -50.9174     -50.9174      0.0000
  QRF00001_EU924818.1           119     -50.9174     -50.9174      0.0000
  QRF00001_EU093153.1           119     -50.9174     -50.9174      0.0000
  QRF00001_EF524209.1           119     -50.9174     -50.9174      0.0000
  QRF00001_AY316209.1           119     -50.9174     -50.9174      0.0000
  QRF00001_AY034674.1           119     -50.9174     -50.9174      0.0000
  QRF00001_AJ409525.1           119     -50.9174     -50.9174      0.0000
  QRF00001_AF550715.1           119     -50.9174     -50.9174      0.0000
  QRF00001_ABXC01010155.1       119     -50.9174     -50.9174      0.0000
  QRF00001_ABXC01009775.1       119     -50.9174     -50.9174      0.0000
  QRF00001_ABXC01009775.1       119     -50.9174     -50.9174      0.0000
  QRF00001_ABXC01009775.1       119     -50.9174     -50.9174      0.0000
